phase_bin,phase_center,mean_energy,std_energy,mean_helicity,std_helicity,mean_kurtosis,std_kurtosis,mean_slope,std_slope,n_samples
0,0.09817477042468103,1.6423402336666857e-08,1.4601713854474777e-08,0.0,0.0,1.5,4.16096891473086e-16,-0.32426357148038526,0.024163216243552717,43
1,0.2945243112740431,1.1421785299523445e-07,4.258828894505149e-08,0.0,0.0,1.4999999999999998,3.966139445122559e-16,-0.3613271637223987,0.0054631296359276,42
2,0.4908738521234052,3.133913718097668e-07,7.287053232083148e-08,0.0,0.0,1.5,4.4276554309100666e-16,-0.37593443369729673,0.003285163702860355,42
3,0.6872233929727672,6.244909870034978e-07,1.0723972474178913e-07,0.0,0.0,1.5,4.836387403829986e-16,-0.38564669361929793,0.002402578734502795,43
4,0.8835729338221293,1.0475839086533627e-06,1.3681013930590057e-07,0.0,0.0,1.5000000000000002,4.03945691602801e-16,-0.3928886940753723,0.0018184158546646915,42
5,1.0799224746714913,1.5468493940997817e-06,1.5034822881576951e-07,0.0,0.0,1.5,3.119457397665706e-16,-0.3983318100421393,0.001349396864851626,38
