phase_bin,phase_center,mean_energy,std_energy,mean_helicity,std_helicity,mean_kurtosis,std_kurtosis,mean_slope,std_slope,n_samples
0,0.09817477042468103,1.5154921172599578e-07,1.331146237072768e-07,0.0,0.0,1.5,5.279736140958783e-16,-0.3556588662860326,0.02280724327861472,26
1,0.2945243112740431,1.014585939455499e-06,3.6808227179415065e-07,0.0,0.0,1.4999999999999998,4.0458452495536697e-16,-0.39159004970478944,0.005303976000630522,25
2,0.4908738521234052,2.7516130841031102e-06,6.395582898295151e-07,0.0,0.0,1.5,4.085026588142248e-16,-0.405978787140626,0.0032862436799226697,26
3,0.6872233929727672,5.352050660191139e-06,8.576079687942807e-07,0.0,0.0,1.5,4.4186318475541773e-16,-0.4153835218208428,0.002239639482015482,25
4,0.8835729338221293,8.717752369479951e-06,1.0825904617591902e-06,0.0,0.0,1.5000000000000007,4.741575244451873e-16,-0.4222030756182229,0.0017286990297583798,25
5,1.0799224746714913,1.2919917462588755e-05,1.3413700660854392e-06,0.0,0.0,1.5,5.421499231807972e-16,-0.4276762441979448,0.0014427581181880637,26
6,1.2762720155208536,1.779727656749196e-05,1.4656308402256975e-06,0.0,0.0,1.5000000000000007,4.2826412465193167e-16,-0.43213338955002334,0.0011425909479845834,25
7,1.4726215563702154,2.312054262267158e-05,1.600006335847234e-06,0.0,0.0,1.5,4.572178254219406e-16,-0.43576610276415373,0.0009594428094788817,25
8,1.6689710972195777,2.8952528182411057e-05,1.7591437527896834e-06,0.0,0.0,1.5,4.28883579231832e-16,-0.4388844755056144,0.0008420943267101235,26
9,1.8653206380689396,3.501671684222785e-05,1.7315159617038514e-06,0.0,0.0,1.5,5.273267194922012e-16,-0.44152305705689726,0.0006849721302716154,25
10,2.061670178918302,4.100742440868485e-05,1.7172322433057524e-06,0.0,0.0,1.5,5.043883840194739e-16,-0.44371191008787636,0.0005799372665665381,25
11,2.2580197197676637,4.696688071737029e-05,1.7121527408516243e-06,0.0,0.0,1.5,2.424568164457103e-16,-0.44559137008095473,0.0005048108536952023,26
12,2.454369260617026,5.257725693196174e-05,1.518809253342128e-06,0.0,0.0,1.5,3.580361673049448e-16,-0.44715532953570175,0.00039992749153658396,25
13,2.650718801466388,5.763646953059626e-05,1.3907866246824367e-06,0.0,0.0,1.5,3.6433640732907645e-16,-0.4484276169709315,0.0003340652710261662,26
14,2.84706834231575,6.19695768765698e-05,1.1065602684836209e-06,0.0,0.0,1.5,4.070144838902081e-16,-0.44943191410675626,0.0002471719270673833,25
15,3.043417883165112,6.534899097922422e-05,8.393443512768024e-07,0.0,0.0,1.5,4.0213988308834453e-16,-0.4501673037021813,0.00017778022371290264,25
16,3.2397674240144743,6.777617318522916e-05,5.554687431065171e-07,0.0,0.0,1.5,5.243696565168441e-16,-0.45067232428446335,0.00011344391546122404,26
17,3.436116964863836,6.908528285711e-05,2.079384142080385e-07,0.0,0.0,1.5,4.1895292266754163e-16,-0.45093729881135525,4.165849583090775e-05,25
18,3.6324665057131984,6.92149142528267e-05,1.3628609065612825e-07,0.0,0.0,1.5,3.6350268448048564e-16,-0.45096325997702935,2.725163891735259e-05,25
19,3.8288160465625602,6.81554224474808e-05,4.872532952219061e-07,0.0,0.0,1.5,5.022030800785391e-16,-0.4507496042201131,9.895991530460571e-05,26
20,4.025165587411922,6.593658892174572e-05,7.884330457644163e-07,0.0,0.0,1.5,4.2363410620225113e-16,-0.45029125065516623,0.00016551220135666817,25
21,4.221515128261284,6.359781453693129e-05,5.233694329098618e-07,0.0,0.0,1.5,4.2666711178830267e-16,-0.4497923283723918,0.00011383586436259305,13
