phase_bin,phase_center,mean_energy,std_energy,mean_helicity,std_helicity,mean_kurtosis,std_kurtosis,mean_slope,std_slope,n_samples
0,0.09817477042468103,6.061968469039831e-09,5.324584948291071e-09,0.0,0.0,1.5,3.8211924771725986e-16,-0.3111434583956602,0.022807243242969323,26
1,0.2945243112740431,4.0583437578219965e-08,1.4723290871766022e-08,0.0,0.0,1.5,3.9720546451956367e-16,-0.3470746417989644,0.005303976000560256,25
2,0.4908738521234052,1.100645233641244e-07,2.55823315931806e-08,0.0,0.0,1.5,3.7962984501099154e-16,-0.36146337923468175,0.003286243679908198,26
3,0.6872233929727672,2.1408202640764555e-07,3.4304318751771224e-08,0.0,0.0,1.5,4.678770150358219e-16,-0.37086811391486807,0.0022396394820104735,25
4,0.8835729338221293,3.487100947791982e-07,4.330361847036761e-08,0.0,0.0,1.5000000000000002,3.7155169009665004e-16,-0.37768766771223605,0.0017286990297561726,25
5,1.0799224746714913,5.167966985035503e-07,5.36548026434176e-08,0.0,0.0,1.5000000000000004,4.483389641901796e-16,-0.3831608362919525,0.001442758118186259,26
6,1.2762720155208536,7.118910626996789e-07,5.862523360902803e-08,0.0,0.0,1.5000000000000007,3.552713678800501e-16,-0.38761798164402594,0.0011425909479839227,25
7,1.4726215563702154,9.248217049068638e-07,6.400025343388947e-08,0.0,0.0,1.5000000000000007,4.165926057296536e-16,-0.391250694858155,0.0009594428094788941,25
8,1.6689710972195777,1.1581011272964435e-06,7.036575011158742e-08,0.0,0.0,1.5000000000000004,4.419490084300652e-16,-0.3943690675996147,0.0008420943267103159,26
9,1.8653206380689396,1.3814465283173793e-06,5.813283147644946e-08,0.0,0.0,1.5000000000000004,2.4227052612512386e-16,-0.3968212251231315,0.0005826460417464564,21
