step,time,energy,helicity,kurtosis,slope
0,0.0,2.5000000000000005e-09,0.0,1.5000000000000004,-0.3095058563838496
1,0.01,1.0008828913115962e-08,0.0,1.4999999999999998,-0.32868980358891975
2,0.02,2.2538277681215483e-08,0.0,1.4999999999999993,-0.3399158567237806
3,0.03,4.0098194039973955e-08,0.0,1.4999999999999993,-0.34788324943051663
4,0.04,6.26964748482992e-08,0.0,1.4999999999999998,-0.3540646704454096
5,0.05,9.033905917055723e-08,0.0,1.4999999999999998,-0.35911609450041626
6,0.060000000000000005,1.2302992211579938e-07,0.0,1.4999999999999998,-0.36338743838598103
7,0.07,1.6077106943790115e-07,0.0,1.4999999999999993,-0.3670875711302723
8,0.08,2.035625329002316e-07,0.0,1.5,-0.37035121742326166
9,0.09,2.5140236640817797e-07,0.0,1.4999999999999993,-0.3732703662190527
10,0.09999999999999999,3.04286642912555e-07,0.0,1.4999999999999991,-0.3759106293740019
11,0.10999999999999999,3.6220945208663e-07,0.0,1.4999999999999996,-0.37832045213388205
12,0.11999999999999998,4.2516289877919784e-07,0.0,1.4999999999999998,-0.3805366242284827
13,0.12999999999999998,4.931371022458355e-07,0.0,1.5000000000000002,-0.38258774277114227
14,0.13999999999999999,5.661201961601682e-07,0.0,1.4999999999999991,-0.3844964775499357
15,0.15,6.440983294066719e-07,0.0,1.4999999999999998,-0.38628110373348407
16,0.16,7.270556676562368e-07,0.0,1.4999999999999998,-0.3879565690993432
17,0.17,8.149743957254022e-07,0.0,1.5000000000000004,-0.38953525575124787
18,0.18000000000000002,9.07834720719881e-07,0.0,1.4999999999999996,-0.39102753561489295
19,0.19000000000000003,1.005614875962667e-06,0.0,1.4999999999999998,-0.3924421832817568
20,0.20000000000000004,1.1082911257067246e-06,0.0,1.5,-0.3937866880215233
21,0.21000000000000005,1.2158377706319457e-06,0.0,1.4999999999999991,-0.39506749314392997
22,0.22000000000000006,1.3282271541257438e-06,0.0,1.4999999999999991,-0.39629018210945405
23,0.23000000000000007,1.4454296693463623e-06,0.0,1.4999999999999996,-0.3974596250015602
24,0.24000000000000007,1.56741376706764e-06,0.0,1.4999999999999991,-0.3985800950787406
25,0.25000000000000006,1.6941459643036908e-06,0.0,1.5,-0.39965536245354566
26,0.26000000000000006,1.8255908537116308e-06,0.0,1.4999999999999996,-0.40068877008234527
27,0.2700000000000001,1.9617111137701738e-06,0.0,1.5000000000000002,-0.401683295928628
28,0.2800000000000001,2.1024675197316207e-06,0.0,1.5000000000000007,-0.40264160421301104
29,0.2900000000000001,2.2478189553444436e-06,0.0,1.4999999999999987,-0.40356608797133986
30,0.3000000000000001,2.397722425343364e-06,0.0,1.4999999999999998,-0.4044589046318649
31,0.3100000000000001,2.5521330687035246e-06,0.0,1.4999999999999991,-0.4053220059421308
32,0.3200000000000001,2.711004172655019e-06,0.0,1.5,-0.40615716328931784
33,0.3300000000000001,2.874287187453779e-06,0.0,1.4999999999999996,-0.4069659892395644
34,0.34000000000000014,3.0419317419044684e-06,0.0,1.5000000000000002,-0.4077499559541835
35,0.35000000000000014,3.2138856596307715e-06,0.0,1.5000000000000004,-0.40851041101091684
36,0.36000000000000015,3.3900949760881155e-06,0.0,1.5,-0.40924859105695677
37,0.37000000000000016,3.5705039563136113e-06,0.0,1.4999999999999998,-0.4099656336408321
38,0.38000000000000017,3.755055113407661e-06,0.0,1.5,-0.4106625875071211
39,0.3900000000000002,3.943689227741392e-06,0.0,1.4999999999999998,-0.41134042158749057
40,0.4000000000000002,4.136345366883793e-06,0.0,1.4999999999999996,-0.4120000328813839
41,0.4100000000000002,4.3329609062421135e-06,0.0,1.4999999999999991,-0.412642253386874
42,0.4200000000000002,4.533471550408803e-06,0.0,1.5000000000000004,-0.41326785621582796
43,0.4300000000000002,4.737811355207987e-06,0.0,1.4999999999999998,-0.413877561005942
44,0.4400000000000002,4.9459127504341495e-06,0.0,1.4999999999999996,-0.4144720387245032
45,0.45000000000000023,5.157706563275464e-06,0.0,1.5000000000000007,-0.415051915944058
46,0.46000000000000024,5.3731220424138785e-06,0.0,1.5000000000000004,-0.4156177786581897
47,0.47000000000000025,5.592086882793792e-06,0.0,1.4999999999999998,-0.4161701756954935
48,0.48000000000000026,5.8145272510509014e-06,0.0,1.5,-0.4167096217814711
49,0.49000000000000027,6.040367811592508e-06,0.0,1.5,-0.41723660029104104
50,0.5000000000000002,6.269531753320278e-06,0.0,1.5,-0.41775156572841954
51,0.5100000000000002,6.501940816986212e-06,0.0,1.5,-0.41825494596612756
52,0.5200000000000002,6.737515323172311e-06,0.0,1.5000000000000004,-0.41874714427070087
