phase_bin,phase_center,mean_energy,std_energy,mean_helicity,std_helicity,mean_kurtosis,std_kurtosis,mean_slope,std_slope,n_samples
0,0.09817477042468103,2.527572810403173e+78,2.0187023755051598e+79,0.0,0.0,1.5000000000000002,2.9835306360683583e-15,-1.4119003620334547,0.38264527878783644,3131
1,0.2945243112740431,2.7456912726491762e+78,2.192314771349664e+79,0.0,0.0,1.5000000000000002,2.910537549422664e-15,-1.409883871764727,0.3790366890512968,3130
2,0.4908738521234052,2.985888124215916e+78,2.380583652870472e+79,0.0,0.0,1.5000000000000002,2.816748012718845e-15,-1.4054381502517896,0.3731147040798924,3130
3,0.6872233929727672,3.311016272967674e+78,2.617067048266137e+79,0.0,0.0,1.5,2.7149625114454434e-15,-1.403374576229727,0.3715806638675341,3131
4,0.8835729338221293,3.5220213497350935e+78,2.8121804905557222e+79,0.0,0.0,1.5,2.6685197423034086e-15,-1.4033557845069655,0.3718254884475911,3130
5,1.0799224746714913,3.830132624948117e+78,3.053681429431218e+79,0.0,0.0,1.5,2.662113304651379e-15,-1.4092741398066966,0.37638522651430356,3130
6,1.2762720155208536,4.24718908454005e+78,3.3570292878514964e+79,0.0,0.0,1.5,2.6652532082478905e-15,-1.4123472791034257,0.37799216637025984,3131
7,1.4726215563702154,4.517854760859988e+78,3.607310051828717e+79,0.0,0.0,1.5,2.665282988118504e-15,-1.4094496295885666,0.37281098730434525,3130
8,1.6689710972195777,4.913082913494696e+78,3.917094138325774e+79,0.0,0.0,1.5000000000000002,2.6888837963225866e-15,-1.4096111230554491,0.37150212786349374,3130
9,1.8653206380689396,5.4480599258008965e+78,4.306212042772526e+79,0.0,0.0,1.5000000000000002,2.7100279640498304e-15,-1.4057524241259074,0.36748290831636193,3131
10,2.061670178918302,5.794593373451163e+78,4.627265210375362e+79,0.0,0.0,1.5,2.7127815673350433e-15,-1.40697824773655,0.3669817686614917,3130
11,2.2580197197676637,6.292677485479095e+78,5.0244286166392935e+79,0.0,0.0,1.5,2.6859032504899693e-15,-1.4062711989544352,0.3640764461686805,3130
12,2.454369260617026,6.843169572842814e+78,5.455910248883857e+79,0.0,0.0,1.5,2.613540408856175e-15,-1.4131034298767515,0.3691016747003922,3130
13,2.650718801466388,7.588310369233834e+78,5.997891699136328e+79,0.0,0.0,1.5,2.5372990889692177e-15,-1.4144923404101137,0.3688780410879359,3131
14,2.84706834231575,8.071899660252345e+78,6.445059950585576e+79,0.0,0.0,1.5000000000000002,2.512652645345925e-15,-1.4180227526699676,0.36907195680355037,3130
15,3.043417883165112,8.775236962215966e+78,6.997440663275196e+79,0.0,0.0,1.5,2.5677869568376527e-15,-1.422006614325193,0.37209476798714014,3131
16,3.2397674240144743,9.733866074123845e+78,7.693764709888484e+79,0.0,0.0,1.5,2.637821833795928e-15,-1.4224929245753832,0.3715291935857257,3131
17,3.436116964863836,1.0354187748463844e+79,8.267367483155994e+79,0.0,0.0,1.5,2.675526145346792e-15,-1.4230425057210212,0.3695932844804087,3130
18,3.6324665057131984,1.1259986343697858e+79,8.97734218638579e+79,0.0,0.0,1.5,2.6696410584042345e-15,-1.4258434971913156,0.3716485084594244,3130
19,3.8288160465625602,1.2486066612816416e+79,9.86913708689491e+79,0.0,0.0,1.5000000000000002,2.650569158672618e-15,-1.4347563547063564,0.3760581342427011,3131
20,4.025165587411922,1.3281780519946105e+79,1.060492309896541e+80,0.0,0.0,1.5,2.6089829769930463e-15,-1.4326636911375652,0.3733128180928487,3130
21,4.221515128261284,1.4420276830282627e+79,1.1515188431509387e+80,0.0,0.0,1.5000000000000002,2.566454610997965e-15,-1.4322057958339716,0.3704552820724872,3130
22,4.417864669110647,1.5683430810047117e+79,1.2504058241340674e+80,0.0,0.0,1.5,2.5676603771061307e-15,-1.4298271185676905,0.36915462267026683,3130
23,4.614214209960009,1.7391172230093085e+79,1.3746191507933459e+80,0.0,0.0,1.5000000000000002,2.542544112426555e-15,-1.4245460620269175,0.3630833990953952,3131
24,4.81056375080937,1.849948017211268e+79,1.47710283554501e+80,0.0,0.0,1.5000000000000002,2.522903618636201e-15,-1.424667824010562,0.3642698652911622,3130
25,5.006913291658733,2.0117840159350234e+79,1.6039516358968267e+80,0.0,0.0,1.5000000000000002,2.5415592171306068e-15,-1.4223157243168982,0.3606341522336956,3130
26,5.203262832508095,2.2308436677299458e+79,1.7632856414252398e+80,0.0,0.0,1.5000000000000002,2.6248176383972582e-15,-1.4214567190657235,0.35931842014952453,3131
27,5.399612373357457,2.2114725998488138e+79,1.8224299535758673e+80,0.0,0.0,1.5,2.7374201502287103e-15,-1.4234787291485893,0.36229830203988794,3127
28,5.595961914206819,1.878986248577288e+78,1.4747752587041052e+79,0.0,0.0,1.5000000000000007,2.8500698116009796e-15,-1.419533985150336,0.3621471573548187,3088
29,5.792311455056181,1.9980922745880408e+78,1.5844804813310657e+79,0.0,0.0,1.5000000000000007,2.9560969138516227e-15,-1.4235944744800675,0.3655969540459598,3088
30,5.988660995905543,2.1728881364181227e+78,1.7205499826878736e+79,0.0,0.0,1.5000000000000002,2.9853291150562656e-15,-1.423846972561592,0.3666373163299644,3088
31,6.1850105367549055,2.409460726487183e+78,1.891459347648909e+79,0.0,0.0,1.5000000000000007,3.0574622071061393e-15,-1.4227235671119687,0.36296880236408485,3089
