step,time,energy,helicity,kurtosis,slope
0,0.0,6.250000000000002e-08,0.0,1.5,-0.35402126428732433
1,0.01,2.502452206450932e-07,0.0,1.5000000000000004,-0.3732065654017791
2,0.02,5.636040634884256e-07,0.0,1.5,-0.3844348751077157
3,0.03,1.0029456919613985e-06,0.0,1.5,-0.3924054271359037
4,0.04,1.5686400327476367e-06,0.0,1.4999999999999993,-0.3985909103451316
5,0.05,2.261057777159353e-06,0.0,1.5000000000000004,-0.40364729962473017
6,0.060000000000000005,3.080570382516114e-06,0.0,1.4999999999999993,-0.407924511957519
7,0.07,4.027550073526009e-06,0.0,1.5000000000000002,-0.4116314165990946
8,0.08,5.102369843669229e-06,0.0,1.5,-0.4149027385019408
9,0.09,6.305403456584063e-06,0.0,1.4999999999999996,-0.4178304669178284
10,0.09999999999999999,7.637025447455295e-06,0.0,1.5000000000000009,-0.4204802140359795
11,0.10999999999999999,9.097611124405058e-06,0.0,1.5000000000000004,-0.42290042547028645
12,0.11999999999999998,1.0687536569886068e-05,0.0,1.4999999999999996,-0.4251278913540126
13,0.12999999999999998,1.2407178642077329e-05,0.0,1.4999999999999996,-0.42719120923934656
14,0.13999999999999999,1.4256914976282258e-05,0.0,1.5,-0.4291130493887136
15,0.15,1.6237123986329234e-05,0.0,1.5,-0.4309116874806513
16,0.16,1.8348184865974628e-05,0.0,1.5000000000000004,-0.432602071838301
17,0.17,2.059047759030824e-05,0.0,1.5,-0.43419658514674886
18,0.18000000000000002,2.2964382917161218e-05,0.0,1.5000000000000002,-0.4357055999489164
19,0.19000000000000003,2.547028238851642e-05,0.0,1.5,-0.4371378914894796
20,0.20000000000000004,2.8108558331921247e-05,0.0,1.4999999999999996,-0.4385009497274663
21,0.21000000000000005,3.087959386190293e-05,0.0,1.5,-0.43980121869814853
22,0.22000000000000006,3.378377288138629e-05,0.0,1.5000000000000009,-0.44104428262393475
23,0.23000000000000007,3.682148008311401e-05,0.0,1.4999999999999993,-0.442235012386734
24,0.24000000000000007,3.99931009510693e-05,0.0,1.4999999999999996,-0.44337768208013084
25,0.25000000000000006,4.329902176190115e-05,0.0,1.4999999999999998,-0.4444760626885922
26,0.26000000000000006,4.673962958635198e-05,0.0,1.4999999999999996,-0.44553349807737846
27,0.2700000000000001,5.0315312290687866e-05,0.0,1.4999999999999996,-0.4465529671560121
28,0.2800000000000001,5.402645853813116e-05,0.0,1.4999999999999991,-0.44753713512849397
29,0.2900000000000001,5.787345779029574e-05,0.0,1.4999999999999998,-0.4484883960515366
30,0.3000000000000001,6.185670030862467e-05,0.0,1.5,-0.44940890841197245
31,0.3100000000000001,6.597657715583038e-05,0.0,1.4999999999999996,-0.4503006250538226
32,0.3200000000000001,7.023348019733744e-05,0.0,1.4999999999999996,-0.45116531849885955
33,0.3300000000000001,7.462780210272765e-05,0.0,1.5000000000000002,-0.45200460248613644
34,0.34000000000000014,7.915993634718808e-05,0.0,1.4999999999999998,-0.4528199503884254
35,0.35000000000000014,8.383027721296099e-05,0.0,1.5,-0.45361271103369927
36,0.36000000000000015,8.8639219790797e-05,0.0,1.4999999999999998,-0.4543841223584036
37,0.37000000000000016,9.358715998141018e-05,0.0,1.5,-0.4551353232395831
38,0.38000000000000017,9.867449449693617e-05,0.0,1.4999999999999996,-0.4558673637898241
39,0.3900000000000002,0.00010390162086239242,0.0,1.5000000000000004,-0.4565812143486147
40,0.4000000000000002,0.00010926893741714141,0.0,1.5000000000000002,-0.4572777733632522
41,0.4100000000000002,0.00011477684331635602,0.0,1.4999999999999996,-0.4579578743199804
42,0.4200000000000002,0.00012042573853248776,0.0,1.4999999999999996,-0.4586222918594657
43,0.4300000000000002,0.00012621602385673737,0.0,1.5000000000000007,-0.45927174718912805
44,0.4400000000000002,0.00013214810090052823,0.0,1.4999999999999996,-0.45990691288718305
45,0.45000000000000023,0.00013822237209698204,0.0,1.5,-0.4605284171786415
46,0.46000000000000024,0.0001444392407023972,0.0,1.5,-0.461136847751413
47,0.47000000000000025,0.00015079911079773,0.0,1.4999999999999996,-0.4617327551706072
48,0.48000000000000026,0.00015730238729007805,0.0,1.5000000000000002,-0.46231665594078974
49,0.49000000000000027,0.00016394947591416646,0.0,1.5000000000000004,-0.4628890352588183
50,0.5000000000000002,0.00017074078323383668,0.0,1.5000000000000004,-0.46345034949408986
51,0.5100000000000002,0.0001776767166435379,0.0,1.4999999999999998,-0.4640010284279384
52,0.5200000000000002,0.00018475768436982082,0.0,1.4999999999999993,-0.46454147727970657
53,0.5300000000000002,0.00019198409547283458,0.0,1.5,-0.46507207854343463
54,0.5400000000000003,0.00019935635984782572,0.0,1.5000000000000004,-0.4655931936560223
55,0.5500000000000003,0.0002068748882266402,0.0,1.4999999999999998,-0.4661051645150565
56,0.5600000000000003,0.00021454009217922756,0.0,1.5,-0.4666083148623366
57,0.5700000000000003,0.0002223523841151486,0.0,1.4999999999999996,-0.4671029515470276
58,0.5800000000000003,0.0002303121772850843,0.0,1.4999999999999993,-0.4675893656808769
59,0.5900000000000003,0.0002384198857823489,0.0,1.4999999999999996,-0.4680678336962963
60,0.6000000000000003,0.0002466759245444046,0.0,1.5000000000000002,-0.46853861831705135
61,0.6100000000000003,0.0002550807093543792,0.0,1.5000000000000002,-0.4690019694499415
62,0.6200000000000003,0.0002636346568425866,0.0,1.5,-0.469458125005191
63,0.6300000000000003,0.00027233818448804963,0.0,1.4999999999999996,-0.4699073116522353
64,0.6400000000000003,0.0002811917106200258,0.0,1.4999999999999996,-0.4703497455168678
65,0.6500000000000004,0.0002901956544195355,0.0,1.5,-0.4707856328252103
66,0.6600000000000004,0.00029935043592089306,0.0,1.5,-0.4712151704992404
67,0.6700000000000004,0.0003086564760132405,0.0,1.4999999999999996,-0.47163854670818706
68,0.6800000000000004,0.0003181141964420837,0.0,1.4999999999999998,-0.4720559413796978
69,0.6900000000000004,0.0003277240198108318,0.0,1.5,-0.4724675266742155
70,0.7000000000000004,0.0003374863695823383,0.0,1.5000000000000002,-0.4728734674257077
71,0.7100000000000004,0.00034740167008044627,0.0,1.5,-0.47327392155156445
72,0.7200000000000004,0.0003574703464915349,0.0,1.5000000000000002,-0.4736690404342465
73,0.7300000000000004,0.0003676928248660696,0.0,1.5,-0.4740589692769549
74,0.7400000000000004,0.00037806953212015455,0.0,1.5000000000000002,-0.4744438474354272
75,0.7500000000000004,0.0003886008960370881,0.0,1.5000000000000004,-0.47482380872774377
76,0.7600000000000005,0.00039928734526892035,0.0,1.4999999999999996,-0.47519898172393565
77,0.7700000000000005,0.0004101293093380143,0.0,1.5,-0.47556949001683346
78,0.7800000000000005,0.0004211272186386093,0.0,1.4999999999999998,-0.4759354524757219
79,0.7900000000000005,0.0004322815044383871,0.0,1.4999999999999996,-0.47629698348401495
80,0.8000000000000005,0.00044359259888004053,0.0,1.4999999999999996,-0.47665419316216917
