step,time,energy,helicity,kurtosis,slope
0,0.0,2.5000000000000005e-09,0.0,1.5000000000000004,-0.3095058563838496
1,0.01,1.0009667887991665e-08,0.0,1.4999999999999993,-0.32869096277624127
2,0.02,2.2543316091262884e-08,0.0,1.4999999999999991,-0.33991894794709177
3,0.03,4.0115003454210496e-08,0.0,1.4999999999999993,-0.3478890456241711
4,0.04,6.273853394438601e-08,0.0,1.5,-0.35407394466375797
5,0.05,9.042745537081814e-08,0.0,1.5,-0.35912961995209836
6,0.060000000000000005,1.2319505811471104e-07,0.0,1.4999999999999996,-0.36340598846831096
7,0.07,1.610543738726156e-07,0.0,1.4999999999999991,-0.367111919463605
8,0.08,2.0401817441217183e-07,0.0,1.5000000000000007,-0.3703821378854044
9,0.09,2.5209897034051906e-07,0.0,1.5,-0.3733086329797682
10,0.09999999999999999,3.0530900988546964e-07,0.0,1.4999999999999998,-0.3759570169295163
11,0.10999999999999999,3.636602776895434e-07,0.0,1.5,-0.3783757353414714
12,0.11999999999999998,4.2716449361695647e-07,0.0,1.5,-0.3806015783411447
13,0.12999999999999998,4.958331115736604e-07,0.0,1.5,-0.382663143472317
14,0.13999999999999999,5.696773183405247e-07,0.0,1.4999999999999996,-0.38458310098831555
15,0.15,6.487080324197573e-07,0.0,1.4999999999999991,-0.3863797265579093
16,0.16,7.329359028946548e-07,0.0,1.5000000000000004,-0.3880679684937941
17,0.17,8.22371308302777e-07,0.0,1.4999999999999991,-0.38966020946995183
18,0.18000000000000002,9.170243555226329e-07,0.0,1.5,-0.39116682201749237
19,0.19000000000000003,1.0169048786739753e-06,0.0,1.5000000000000004,-0.3925965813686406
20,0.20000000000000004,1.122022438031791e-06,0.0,1.4999999999999996,-0.3939569774692663
21,0.21000000000000005,1.2323863189540748e-06,0.0,1.5000000000000002,-0.3952544543408355
22,0.22000000000000006,1.3480055308234829e-06,0.0,1.5000000000000004,-0.39649459619124955
23,0.23000000000000007,1.4688888060029467e-06,0.0,1.4999999999999993,-0.39768227388724414
24,0.24000000000000007,1.5950445988053403e-06,0.0,1.4999999999999991,-0.39882176150655796
25,0.25000000000000006,1.7264810844772877e-06,0.0,1.4999999999999998,-0.3999168300171248
26,0.26000000000000006,1.8632061581971972e-06,0.0,1.5,-0.40097082326700884
27,0.2700000000000001,2.0052274340876053e-06,0.0,1.4999999999999996,-0.40198672014783965
28,0.2800000000000001,2.1525522442419206e-06,0.0,1.5,-0.4029671858450577
29,0.2900000000000001,2.3051876377656508e-06,0.0,1.4999999999999998,-0.4039146143961299
30,0.3000000000000001,2.463140379832195e-06,0.0,1.4999999999999993,-0.4048311642679743
31,0.3100000000000001,2.6264169507532857e-06,0.0,1.4999999999999991,-0.4057187882840042
32,0.3200000000000001,2.795023545064165e-06,0.0,1.4999999999999987,-0.4065792589447168
33,0.3300000000000001,2.9689660706235753e-06,0.0,1.4999999999999993,-0.40741418996719514
34,0.34000000000000014,3.148250147728647e-06,0.0,1.4999999999999993,-0.4082250547015674
35,0.35000000000000014,3.33288110824476e-06,0.0,1.5,-0.40901320195249835
36,0.36000000000000015,3.5228639947504655e-06,0.0,1.4999999999999996,-0.409779869632397
37,0.37000000000000016,3.718203559697541e-06,0.0,1.4999999999999996,-0.41052619659363093
38,0.38000000000000017,3.918904264586264e-06,0.0,1.5,-0.41125323292341676
39,0.3900000000000002,4.124970279155971e-06,0.0,1.4999999999999993,-0.41196194893517246
40,0.4000000000000002,4.336405480590992e-06,0.0,1.4999999999999996,-0.41265324304945245
41,0.4100000000000002,4.55321345274203e-06,0.0,1.4999999999999998,-0.4133279487250797
42,0.4200000000000002,4.7753974853630546e-06,0.0,1.5,-0.41398684057459906
43,0.4300000000000002,5.002960573363805e-06,0.0,1.5,-0.41463063977662545
44,0.4400000000000002,5.235905416077944e-06,0.0,1.4999999999999996,-0.41526001887988884
45,0.45000000000000023,5.474234416546975e-06,0.0,1.5000000000000004,-0.4158756060792254
46,0.46000000000000024,5.717949680819964e-06,0.0,1.4999999999999993,-0.4164779890316766
47,0.47000000000000025,5.967053017269141e-06,0.0,1.5,-0.41706771827079725
48,0.48000000000000026,6.221545935921487e-06,0.0,1.4999999999999993,-0.4176453102689056
49,0.49000000000000027,6.481429647806312e-06,0.0,1.4999999999999998,-0.4182112501899204
50,0.5000000000000002,6.746705064318965e-06,0.0,1.4999999999999993,-0.4187659943696147
51,0.5100000000000002,7.017372796600691e-06,0.0,1.4999999999999991,-0.4193099725550082
52,0.5200000000000002,7.2934331549347255e-06,0.0,1.4999999999999998,-0.41984358993042226
53,0.5300000000000002,7.574886148158694e-06,0.0,1.5000000000000004,-0.4203672289542
54,0.5400000000000003,7.861731483093377e-06,0.0,1.5000000000000004,-0.42088125102682433
55,0.5500000000000003,8.153968563987907e-06,0.0,1.4999999999999996,-0.4213859980088016
56,0.5600000000000003,8.451596491981455e-06,0.0,1.4999999999999996,-0.4218817936041207
57,0.5700000000000003,8.754614064581506e-06,0.0,1.4999999999999991,-0.42236894462346536
58,0.5800000000000003,9.06301977515871e-06,0.0,1.5,-0.42284774213939674
59,0.5900000000000003,9.376811812458475e-06,0.0,1.5,-0.42331846254443567
60,0.6000000000000003,9.695988060129257e-06,0.0,1.5,-0.423781368521757
61,0.6100000000000003,1.0020546096267684e-05,0.0,1.4999999999999996,-0.4242367099368687
62,0.6200000000000003,1.035048319298055e-05,0.0,1.4999999999999996,-0.4246847246580154
63,0.6300000000000003,1.0685796315963707e-05,0.0,1.5,-0.4251256393119278
64,0.6400000000000003,1.1026482124097978e-05,0.0,1.5000000000000004,-0.42555966998100464
65,0.6500000000000004,1.1372536969062077e-05,0.0,1.5000000000000004,-0.4259870228472705
66,0.6600000000000004,1.1723956894962638e-05,0.0,1.5,-0.4264078947878945
67,0.6700000000000004,1.2080737637981393e-05,0.0,1.4999999999999998,-0.4268224739265879
68,0.6800000000000004,1.2442874626039569e-05,0.0,1.4999999999999996,-0.4272309401447718
69,0.6900000000000004,1.2810362978479506e-05,0.0,1.5,-0.4276334655559661
70,0.7000000000000004,1.3183197505763628e-05,0.0,1.5000000000000002,-0.4280302149464905
71,0.7100000000000004,1.3561372709190756e-05,0.0,1.5000000000000004,-0.42842134618538136
72,0.7200000000000004,1.3944882780629826e-05,0.0,1.5000000000000004,-0.4288070106060429
73,0.7300000000000004,1.4333721602271097e-05,0.0,1.4999999999999996,-0.4291873533618929
74,0.7400000000000004,1.472788274639482e-05,0.0,1.4999999999999996,-0.42956251375816945
75,0.7500000000000004,1.5127359475157536e-05,0.0,1.5000000000000002,-0.4299326255617561
76,0.7600000000000005,1.5532144740395914e-05,0.0,1.5,-0.4302978172907528
77,0.7700000000000005,1.5942231183448294e-05,0.0,1.4999999999999998,-0.4306582124853489
78,0.7800000000000005,1.635761113499387e-05,0.0,1.4999999999999996,-0.43101392996146515
79,0.7900000000000005,1.677827661490968e-05,0.0,1.4999999999999998,-0.43136508404843626
80,0.8000000000000005,1.720421933214532e-05,0.0,1.5,-0.43171178481190714
81,0.8100000000000005,1.7635430684615548e-05,0.0,1.5000000000000004,-0.4320541382630913
82,0.8200000000000005,1.8071901759110668e-05,0.0,1.4999999999999998,-0.43239224655530367
83,0.8300000000000005,1.8513623331224917e-05,0.0,1.5000000000000004,-0.43272620816877466
84,0.8400000000000005,1.896058586530276e-05,0.0,1.4999999999999991,-0.4330561180844624
85,0.8500000000000005,1.941277951440311e-05,0.0,1.5,-0.43338206794776857
86,0.8600000000000005,1.987019412028171e-05,0.0,1.5000000000000009,-0.43370414622272535
87,0.8700000000000006,2.033281921339144e-05,0.0,1.5,-0.4340224383374456
88,0.8800000000000006,2.08006440129008e-05,0.0,1.5,-0.4343370268212686
89,0.8900000000000006,2.127365742673047e-05,0.0,1.5000000000000004,-0.4346479914343125
90,0.9000000000000006,2.17518480516081e-05,0.0,1.5000000000000007,-0.4349554092898361
91,0.9100000000000006,2.2235204173141237e-05,0.0,1.5,-0.43525935496992485
92,0.9200000000000006,2.272371376590849e-05,0.0,1.4999999999999998,-0.4355599006349098
93,0.9300000000000006,2.3217364493568986e-05,0.0,1.5,-0.4358571161269589
94,0.9400000000000006,2.3716143708990076e-05,0.0,1.5000000000000004,-0.43615106906815326
95,0.9500000000000006,2.422003845439338e-05,0.0,1.5000000000000002,-0.43644182495347206
96,0.9600000000000006,2.472903546151917e-05,0.0,1.5000000000000009,-0.4367294472388981
97,0.9700000000000006,2.5243121151809134e-05,0.0,1.5,-0.43701399742508845
98,0.9800000000000006,2.576228163660749e-05,0.0,1.5000000000000007,-0.43729553513670005
99,0.9900000000000007,2.6286502717380608e-05,0.0,1.5,-0.43757411819781566
100,1.0000000000000007,2.681576988595496e-05,0.0,1.5000000000000004,-0.43784980270356094
101,1.0100000000000007,2.7350068324773672e-05,0.0,1.5000000000000004,-0.43812264308822046
102,1.0200000000000007,2.7889382907171445e-05,0.0,1.5000000000000004,-0.43839269219002064
103,1.0300000000000007,2.843369819766805e-05,0.0,1.5000000000000002,-0.43866000131278454
104,1.0400000000000007,2.8982998452280325e-05,0.0,1.5000000000000009,-0.43892462028463325
105,1.0500000000000007,2.9537267618852743e-05,0.0,1.5000000000000004,-0.43918659751391564
106,1.0600000000000007,3.009648933740651e-05,0.0,1.5000000000000007,-0.4394459800424989
107,1.0700000000000007,3.0660646940507277e-05,0.0,1.5,-0.4397028135965909
108,1.0800000000000007,3.122972345365142e-05,0.0,1.5,-0.4399571426352016
109,1.0900000000000007,3.180370159567093e-05,0.0,1.5000000000000009,-0.4402090103964393
110,1.1000000000000008,3.2382563779156995e-05,0.0,1.5000000000000004,-0.44045845894163876
111,1.1100000000000008,3.296629211090206e-05,0.0,1.5000000000000009,-0.44070552919756584
112,1.1200000000000008,3.355486839236073e-05,0.0,1.5,-0.44095026099673673
113,1.1300000000000008,3.414827412012914e-05,0.0,1.5000000000000013,-0.44119269311594816
114,1.1400000000000008,3.4746490486443164e-05,0.0,1.5000000000000004,-0.441432863313128
115,1.1500000000000008,3.534949837969514e-05,0.0,1.5000000000000002,-0.4416708083625919
116,1.1600000000000008,3.595727838496937e-05,0.0,1.4999999999999998,-0.4419065640887989
117,1.1700000000000008,3.656981078459631e-05,0.0,1.5000000000000004,-0.4421401653986496
118,1.1800000000000008,3.718707555872536e-05,0.0,1.5000000000000004,-0.4423716463124335
119,1.1900000000000008,3.780905238591648e-05,0.0,1.5,-0.4426010399934761
120,1.2000000000000008,3.843572064375033e-05,0.0,1.5000000000000002,-0.4428283787765604
121,1.2100000000000009,3.9067059409457304e-05,0.0,1.5000000000000009,-0.4430536941951904
