loop_index,completed_steps,physical_time,stage,route,quantity_id,dominant_direction,real_rms,imaginary_rms,imaginary_ratio,real_max_abs,imaginary_max_abs,ratio_denominator,denominator_uses_floor,threshold,threshold_pass,is_historical_failure,raw_to_rc_real_difference_rms,raw_to_rc_real_difference_max_abs,raw_to_rc_real_difference_relative,raw_to_rc_real_cosine_similarity,relevant_nyquist_power_fraction,raw_hermitian_residual,rc_hermitian_residual,state_sha256
3058,3059,15.295,1,raw,omega_gradient_imaginary_ratio,y,0.17700068945018865,1.4938426868187017e-16,8.439756316537385e-16,0.5018519695445278,6.581224606606463e-16,0.17700068945018865,False,1e-13,True,False,2.5160885336157633e-17,1.3877787807814457e-16,1.5358708081135713e-16,1.0,4.970192595163436e-34,1.9892863169795142e-15,1.889967514424371e-15,5D7CDB62D2F4D1D355EBAD8B100E829292966A4593353AA3AD50AE8EDB0690A8
3058,3059,15.295,1,real_compatible,omega_gradient_imaginary_ratio,y,0.17700068945018865,1.4199752028958154e-16,8.022427524472571e-16,0.5018519695445278,6.315024492101282e-16,0.17700068945018865,False,1e-13,True,False,2.5160885336157633e-17,1.3877787807814457e-16,1.5358708081135713e-16,1.0,4.970192595163436e-34,1.9892863169795142e-15,1.889967514424371e-15,5D7CDB62D2F4D1D355EBAD8B100E829292966A4593353AA3AD50AE8EDB0690A8
3058,3059,15.295,1,raw,projected_baseline_transport_imaginary_ratio,projection,0.0011185005215080467,1.8641609157486208e-19,1.6666607479406613e-16,0.004696268882926805,8.200309183756124e-19,0.0011185005215080467,False,1e-13,True,False,0.0,0.0,0.0,1.0000000000000002,3.572628790863783e-21,1.0730471444893425e-09,1.2028029199944324e-15,5D7CDB62D2F4D1D355EBAD8B100E829292966A4593353AA3AD50AE8EDB0690A8
3058,3059,15.295,1,real_compatible,projected_baseline_transport_imaginary_ratio,projection,0.0011185005215080467,1.8641609157486208e-19,1.6666607479406613e-16,0.004696268882926805,8.200309183756124e-19,0.0011185005215080467,False,1e-13,True,False,0.0,0.0,0.0,1.0000000000000002,3.572628790863783e-21,1.0730471444893425e-09,1.2028029199944324e-15,5D7CDB62D2F4D1D355EBAD8B100E829292966A4593353AA3AD50AE8EDB0690A8
3058,3059,15.295,1,raw,projected_pseudo_transport_imaginary_ratio,projection,0.0011589535295473848,1.9219008902372234e-19,1.6583071203793636e-16,0.004842318613719036,1.0043454402542637e-18,0.0011589535295473848,False,1e-13,True,False,4.2641041643935426e-19,2.6020852139652106e-18,3.679271045542988e-16,0.9999999999999999,6.741199749240422e-22,4.6484245254530896e-10,1.142862084524657e-15,5D7CDB62D2F4D1D355EBAD8B100E829292966A4593353AA3AD50AE8EDB0690A8
3058,3059,15.295,1,real_compatible,projected_pseudo_transport_imaginary_ratio,projection,0.0011589535295473848,1.59897772239805e-19,1.3796737156687476e-16,0.004842318613719035,6.487906762528997e-19,0.0011589535295473848,False,1e-13,True,False,4.2641041643935426e-19,2.6020852139652106e-18,3.679271045542988e-16,0.9999999999999999,6.741199749240422e-22,4.6484245254530896e-10,1.142862084524657e-15,5D7CDB62D2F4D1D355EBAD8B100E829292966A4593353AA3AD50AE8EDB0690A8
3058,3059,15.295,1,raw,u_x_gradient_imaginary_ratio,y_auxiliary,0.03388497583074801,1.1001448239594096e-16,3.2467038768288357e-15,0.09269178652340639,3.4773691708923245e-16,0.03388497583074801,False,1e-13,True,False,6.05910713460715e-18,2.7755575615628914e-17,1.909769213694502e-16,1.0,5.208806378916704e-32,6.488601313636534e-15,1.9752124846804785e-15,5D7CDB62D2F4D1D355EBAD8B100E829292966A4593353AA3AD50AE8EDB0690A8
3058,3059,15.295,1,real_compatible,u_x_gradient_imaginary_ratio,y_auxiliary,0.03388497583074801,3.373155996262182e-17,9.954724515994202e-16,0.09269178652340639,1.225085721530964e-16,0.03388497583074801,False,1e-13,True,False,6.05910713460715e-18,2.7755575615628914e-17,1.909769213694502e-16,1.0,5.208806378916704e-32,6.488601313636534e-15,1.9752124846804785e-15,5D7CDB62D2F4D1D355EBAD8B100E829292966A4593353AA3AD50AE8EDB0690A8
3058,3059,15.295,1,raw,v_y_gradient_imaginary_ratio,y,0.045529184988369824,8.39790105729183e-17,1.844509419493678e-15,0.13820576513703792,2.5386153546465087e-16,0.045529184988369824,False,1e-13,True,False,6.5700533031466734e-18,4.163336342344337e-17,1.7142129170533108e-16,1.0,1.9883494592015802e-32,5.705375914290688e-15,2.025469204883527e-15,5D7CDB62D2F4D1D355EBAD8B100E829292966A4593353AA3AD50AE8EDB0690A8
3058,3059,15.295,1,real_compatible,v_y_gradient_imaginary_ratio,y,0.04552918498836982,3.000685324144056e-17,6.590685348113665e-16,0.13820576513703794,1.382116401906514e-16,0.04552918498836982,False,1e-13,True,False,6.5700533031466734e-18,4.163336342344337e-17,1.7142129170533108e-16,1.0,1.9883494592015802e-32,5.705375914290688e-15,2.025469204883527e-15,5D7CDB62D2F4D1D355EBAD8B100E829292966A4593353AA3AD50AE8EDB0690A8
