phase_bin,phase_center,mean_energy,std_energy,mean_helicity,std_helicity,mean_kurtosis,std_kurtosis,mean_slope,std_slope,n_samples
0,0.09817477042468103,2.3585625774835893e-09,2.0378638011692014e-09,0.0,0.0,1.5,3.3766115072321297e-16,-0.2989252543055209,0.021180307800555572,16
1,0.2945243112740431,1.5092607358031727e-08,5.299141875116026e-09,0.0,0.0,1.4999999999999998,4.4777466067618635e-16,-0.3334602970898077,0.005117018312445659,15
2,0.4908738521234052,3.913265898050124e-08,8.562113628172388e-09,0.0,0.0,1.4999999999999998,3.802952790799786e-16,-0.34720680015193767,0.003086722000988442,15
3,0.6872233929727672,7.426345290506068e-08,1.1661323437979753e-08,0.0,0.0,1.5,2.923353064529547e-16,-0.35623344009017077,0.0021944428704994347,15
4,0.8835729338221293,1.2142883367530062e-07,1.5537915649658127e-08,0.0,0.0,1.5,5.147892387644517e-16,-0.363092023149119,0.00178252076723616,16
5,1.0799224746714913,1.7817183867466437e-07,1.7039143394293725e-08,0.0,0.0,1.5,2.6272671962866383e-16,-0.3684452000491695,0.0013282880191987233,15
6,1.2762720155208536,2.4072303317886794e-07,1.8924830247469663e-08,0.0,0.0,1.5000000000000002,3.759489045762708e-16,-0.372627150632699,0.0010906820329937106,15
7,1.4726215563702154,3.088242468183957e-07,2.0224601280346435e-08,0.0,0.0,1.5000000000000002,3.6259732146947156e-16,-0.37608558710242845,0.0009078972308929787,15
8,1.6689710972195777,3.803241067789616e-07,2.0874496448365513e-08,0.0,0.0,1.5000000000000002,3.802952790799786e-16,-0.37897446424301745,0.000760535339304869,15
9,1.8653206380689396,4.552876656915131e-07,2.221059904160511e-08,0.0,0.0,1.5000000000000004,5.057306561942087e-16,-0.38146685532494873,0.0006758943151111148,16
10,2.061670178918302,5.287122611893064e-07,2.0007194419176843e-08,0.0,0.0,1.5000000000000002,5.378187413813669e-16,-0.3835411458381269,0.0005240433150120596,15
11,2.2580197197676637,5.957312314141062e-07,1.8510858365256665e-08,0.0,0.0,1.5000000000000002,5.223163757617918e-16,-0.38519486243644,0.0004302317644598418,15
12,2.454369260617026,6.563903020432569e-07,1.6352602394688706e-08,0.0,0.0,1.5000000000000002,5.588000014763635e-16,-0.3865382412227643,0.0003449032373265505,15
13,2.650718801466388,7.084915739600506e-07,1.3595008107963104e-08,0.0,0.0,1.5000000000000002,4.727690660487634e-16,-0.3875963216631439,0.00026563114275373803,15
14,2.84706834231575,7.512121171992999e-07,1.0892221402979818e-08,0.0,0.0,1.5000000000000004,4.440892098500626e-16,-0.38840713034932783,0.00020073233274803815,16
15,3.043417883165112,7.811074099175888e-07,6.39841433720046e-09,0.0,0.0,1.5,4.998059156512527e-16,-0.3889478120133003,0.0001133841029473413,15
16,3.2397674240144743,7.937576662454124e-07,1.433959425387345e-09,0.0,0.0,1.5,3.510833468576701e-16,-0.38917043216950525,2.4986772553742442e-05,6
