block_id,label,step_count,time_start,time_end,classification,integrity_failure_count,median_normalized_unfiltered_closure,maximum_normalized_unfiltered_closure,median_normalized_filtered_closure,maximum_normalized_filtered_closure,median_normalized_mask_crosscheck,maximum_normalized_mask_crosscheck,integrated_non_forcing_non_viscous,cancellation_ratio,advection_activity_share,rk2_activity_share,mask_activity_share,advection_integrated_signed,rk2_integrated_signed,mask_integrated_signed,advection_reduction_fraction,rk2_reduction_fraction,mask_reduction_fraction,advection_n90_steps,rk2_n90_steps,mask_n90_steps,advection_dominance_pass,rk2_dominance_pass,mask_dominance_pass,advection_mean_signed_rate,advection_median_signed_rate,advection_mean_absolute_rate,advection_maximum_absolute_rate,advection_integrated_signed,advection_integrated_absolute_activity,advection_positive_count,advection_negative_count,advection_zero_count,viscous_mean_signed_rate,viscous_median_signed_rate,viscous_mean_absolute_rate,viscous_maximum_absolute_rate,viscous_integrated_signed,viscous_integrated_absolute_activity,viscous_positive_count,viscous_negative_count,viscous_zero_count,forcing_mean_signed_rate,forcing_median_signed_rate,forcing_mean_absolute_rate,forcing_maximum_absolute_rate,forcing_integrated_signed,forcing_integrated_absolute_activity,forcing_positive_count,forcing_negative_count,forcing_zero_count,rk2_mean_signed_rate,rk2_median_signed_rate,rk2_mean_absolute_rate,rk2_maximum_absolute_rate,rk2_integrated_signed,rk2_integrated_absolute_activity,rk2_positive_count,rk2_negative_count,rk2_zero_count,mask_mean_signed_rate,mask_median_signed_rate,mask_mean_absolute_rate,mask_maximum_absolute_rate,mask_integrated_signed,mask_integrated_absolute_activity,mask_positive_count,mask_negative_count,mask_zero_count,non_forcing_non_viscous_mean_signed_rate,non_forcing_non_viscous_median_signed_rate,non_forcing_non_viscous_mean_absolute_rate,non_forcing_non_viscous_maximum_absolute_rate,non_forcing_non_viscous_integrated_signed,non_forcing_non_viscous_integrated_absolute_activity,non_forcing_non_viscous_positive_count,non_forcing_non_viscous_negative_count,non_forcing_non_viscous_zero_count,observed_mean_signed_rate,observed_median_signed_rate,observed_mean_absolute_rate,observed_maximum_absolute_rate,observed_integrated_signed,observed_integrated_absolute_activity,observed_positive_count,observed_negative_count,observed_zero_count
1,0.005 <= t <= 20.005,4001,0.005,20.005,LEADING LEDGER CONTRIBUTOR: DISCRETE ADVECTION,0,4.6269737946784464e-14,5.157316052327582e-13,1.9005181468166808e-13,9.045798300477062e-13,8.35238971903811e-23,5.006161782245972e-16,2.105976932496368e-06,0.9999999999645695,0.9999999982642558,1.7180289656459554e-09,1.7715250199356353e-11,2.105976928915547e-06,3.61812937113917e-15,-3.7307908274568006e-17,0.9999999982996864,1.7180288303109137e-09,-1.7715384714733773e-11,1352,2933,356,True,False,False,1.0527252831369892e-07,2.4340672968516365e-08,1.0527252831369892e-07,5.758611897682419e-07,2.105976928915547e-06,2.105976928915547e-06,4000,1,0,-3.0783683189483305e-05,-2.4448842111961927e-05,3.0783683189483305e-05,8.709526774029904e-05,-0.0006158275822056135,0.0006158275822056135,0,4001,0,0.00023188385459848034,0.00023660330741806211,0.00023188385459848034,0.0004444451862173467,0.004638836511242599,0.004638836511242599,4001,0,0,1.808612532436476e-16,1.6964218490198806e-16,1.808612532436476e-16,3.629855684900569e-16,3.61812937113917e-15,3.61812937113917e-15,4001,0,0,-1.864929181433042e-18,-3.416351915893997e-24,1.864929181433042e-18,4.5817048745853056e-17,-3.7307908274568006e-17,3.7307908274568006e-17,0,4001,0,1.0527252849269523e-07,2.4340673138158546e-08,1.0527252849269523e-07,5.758611900854105e-07,2.105976932496368e-06,2.105976932496368e-06,4001,0,0,0.00020120544393756415,0.0002121788059793097,0.00020120544393756415,0.0003579257796671245,0.004025114905970971,0.004025114905970971,4001,0,0
2,20.005 < t <= 40.005,4000,20.01,40.005,LEADING LEDGER CONTRIBUTOR: DISCRETE ADVECTION,0,1.4182615062918244e-13,8.214987465478281e-13,5.256585715099411e-13,1.596235951445626e-12,1.3733379166115984e-16,5.743748687057573e-16,6.677416498198376e-05,0.9999978311639198,0.9999989153813362,2.0062376424519764e-10,1.084418039984812e-06,6.677423737985341e-05,1.3396513387857024e-14,-7.241126615955195e-11,0.9999989157802321,2.0062418393251846e-10,-1.0844203919280204e-06,2779,3326,1090,True,False,False,3.3387118689926703e-06,2.9883548792814254e-06,3.3387118689926703e-06,7.388363356213925e-06,6.677423737985341e-05,6.677423737985341e-05,4000,0,0,-0.000178035215468209,-0.00017578576922987253,0.000178035215468209,0.0002777399935972465,-0.00356070430936418,0.00356070430936418,0,4000,0,0.0006061995370800452,0.0006139979721056211,0.0006061995370800452,0.0007370501012351849,0.012123990741600905,0.012123990741600905,4000,0,0,6.698256693928512e-16,6.035995284180963e-16,6.698256693928512e-16,1.2807250303005025e-15,1.3396513387857024e-14,1.3396513387857024e-14,4000,0,0,-3.620563307977598e-12,-3.236716955144848e-13,3.620563307977598e-12,2.4668229088227384e-11,-7.241126615955195e-11,7.241126615955195e-11,0,4000,0,3.3387082490991876e-06,2.9883545562133294e-06,3.3387082490991876e-06,7.388338689265562e-06,6.677416498198376e-05,6.677416498198376e-05,4000,0,0,0.0004315030298613671,0.00044120055743227665,0.0004315030298613671,0.00046669844632717117,0.008630060597227342,0.008630060597227342,4000,0,0
3,40.005 < t <= 60.005,4000,40.01,60.005,LEADING LEDGER CONTRIBUTOR: DISCRETE ADVECTION,0,2.0910941130587683e-13,1.3422533508046478e-12,8.153099429626196e-13,2.0743593549430056e-12,1.426563344517766e-16,5.304318000439627e-16,0.00023561790659288847,0.9999742000319625,0.9999870996122175,4.03763708025612e-10,1.289998401874802e-05,0.00023562094604340182,9.513641415962146e-14,-3.0395456497597373e-09,0.9999871000869276,4.0377412524605916e-10,-1.2900316846531368e-05,3417,2903,2788,True,False,False,1.1781047302170091e-05,1.1695823082644636e-05,1.1781047302170091e-05,1.6920491636233386e-05,0.00023562094604340182,0.00023562094604340182,4000,0,0,-0.0003781519565841591,-0.0003790457854907604,0.0003781519565841591,0.0004752290084086903,-0.007563039131683182,0.007563039131683182,0,4000,0,0.0008027057439549033,0.0008127369138749387,0.0008027057439549033,0.0008313468624545947,0.016054114879098066,0.016054114879098066,4000,0,0,4.756820707981073e-15,3.832075193681096e-15,4.756820707981073e-15,1.2211298715240471e-14,9.513641415962146e-14,9.513641415962146e-14,4000,0,0,-1.5197728248798685e-10,-1.320493231407585e-10,1.5197728248798685e-10,3.5105395622794996e-10,-3.0395456497597373e-09,3.0395456497597373e-09,0,4000,0,1.1780895329644422e-05,1.169569103715357e-05,1.1780895329644422e-05,1.6920140594488455e-05,0.00023561790659288847,0.00023561790659288847,4000,0,0,0.0004363346827013764,0.0004453868194226329,0.0004363346827013764,0.0004667089228447413,0.008726693654027529,0.008726693654027529,4000,0,0
4,60.005 < t <= 80.005,4000,60.01,80.005,LEADING LEDGER CONTRIBUTOR: DISCRETE ADVECTION,0,2.4284143460603686e-13,1.1392600681910793e-12,1.0992052096630696e-12,2.5300070539772318e-12,1.538860364483998e-16,5.163632010635455e-16,0.0005840420043799198,0.9999366847752145,0.9999683406342665,1.7533406228732842e-09,3.1657612392764115e-05,0.0005840604939019592,1.0240894121949836e-12,-1.8490546128837097e-08,0.9999683421365232,1.7534517171569064e-09,-3.165961692852548e-05,3367,2840,3105,True,False,False,2.9203024695097958e-05,2.9797397542636342e-05,2.9203024695097958e-05,3.917763552744032e-05,0.0005840604939019592,0.0005840604939019592,4000,0,0,-0.000576067633396802,-0.000576022357565894,0.000576067633396802,0.0006692151175789882,-0.01152135266793604,0.01152135266793604,0,4000,0,0.0007074228640574629,0.0007290033162700188,0.0007074228640574629,0.0008266460682414495,0.014148457281149258,0.014148457281149258,4000,0,0,5.120447060974918e-14,4.172901925673662e-14,5.120447060974918e-14,1.275523121335615e-13,1.0240894121949836e-12,1.0240894121949836e-12,4000,0,0,-9.245273064418549e-10,-7.332845555709125e-10,9.245273064418549e-10,2.372922536814199e-09,-1.8490546128837097e-08,1.8490546128837097e-08,0,4000,0,2.920210021899599e-05,2.9796664299809792e-05,2.920210021899599e-05,3.917526273245582e-05,0.0005840420043799198,0.0005840420043799198,4000,0,0,0.0001605573308810997,0.00018277762300553113,0.00018454394221180222,0.0003682939508586891,0.0032111466176219937,0.0036908788442360442,3211,789,0
5,80.005 < t <= 100.005,4000,80.01,100.005,LEADING LEDGER CONTRIBUTOR: DISCRETE ADVECTION,0,2.9173440030122493e-13,1.6528296892035835e-12,1.1870937080836278e-12,2.645205267472769e-12,1.3800647349038614e-16,5.340597862407678e-16,0.0006482504457510879,0.9998742074719738,0.9999370944163035,9.319683494679555e-09,6.289626401301826e-05,0.0006482912173695466,6.0422490494679745e-12,-4.07776607075446e-08,0.9999371051439673,9.320855975936126e-09,-6.29041768884786e-05,3478,3215,3152,True,False,False,3.2414560868477325e-05,3.2772493600505505e-05,3.2414560868477325e-05,3.9338892670361616e-05,0.0006482912173695466,0.0006482912173695466,4000,0,0,-0.0006322622625405596,-0.0006407166578053619,0.0006322622625405596,0.0006759143708868067,-0.012645245250811192,0.012645245250811192,0,4000,0,0.000404465219824691,0.000385328686164522,0.000404465219824691,0.0005118747214304378,0.00808930439649382,0.00808930439649382,4000,0,0,3.0211245247339874e-13,2.823841773680874e-13,3.0211245247339874e-13,5.105411083200017e-13,6.0422490494679745e-12,6.0422490494679745e-12,4000,0,0,-2.03888303537723e-09,-2.141968688509255e-09,2.03888303537723e-09,3.040849110264484e-09,-4.07776607075446e-08,4.07776607075446e-08,0,4000,0,3.24125222875544e-05,3.2770351914201176e-05,3.24125222875544e-05,3.93361453293253e-05,0.0006482504457510879,0.0006482504457510879,4000,0,0,-0.00019538452042704003,-0.00020082394996505382,0.00019538452042704003,0.00023151370239504754,-0.0039076904085408,0.0039076904085408,0,4000,0
6,full run: 0.005 <= t <= 100.005,20001,0.005,100.005,LEADING LEDGER CONTRIBUTOR: DISCRETE ADVECTION,0,1.6251817196760687e-13,1.6528296892035835e-12,7.223760179314604e-13,2.645205267472769e-12,1.3021660178165204e-16,5.743748687057573e-16,0.0015367904986383764,0.9999188241987635,0.9999594074286692,4.670712634742986e-09,4.058790061826739e-05,0.0015368528716236765,7.178489518581576e-12,-6.23801637896089e-08,0.9999594134754507,4.6710918466530416e-09,-4.059119564114866e-05,10199,4798,6625,True,False,False,1.5367760328220354e-05,1.1694849261564825e-05,1.5367760328220354e-05,3.9338892670361616e-05,0.0015368528716236765,0.0015368528716236765,20000,1,0,-0.0003590437372331405,-0.0003790211036363523,0.0003590437372331405,0.0006759143708868067,-0.035906168942000216,0.035906168942000216,0,20001,0,0.0005505195121202405,0.0005732900701429333,0.0005505195121202405,0.0008313468624545947,0.055054703809584646,0.055054703809584646,20001,0,0,7.178130612050973e-14,3.830985953562527e-15,7.178130612050973e-14,5.105411083200017e-13,7.178489518581576e-12,7.178489518581576e-12,20001,0,0,-6.237704493736202e-10,-1.320115530949797e-10,6.237704493736202e-10,3.040849110264484e-09,-6.23801637896089e-08,6.23801637896089e-08,0,20001,0,1.5367136629552284e-05,1.1694717253842716e-05,1.5367136629552284e-05,3.93361453293253e-05,0.0015367904986383764,0.0015367904986383764,20001,0,0,0.00020684291151749446,0.00029352194329231376,0.00028978989460529657,0.0004667089228447413,0.020685325366307034,0.028980438410002685,15212,4789,0
