loop_index,completed_steps,physical_time,dt,forcing_sha256,z_current,z_stage,z_unfiltered,z_filtered,stage1_advection_work_rate,stage1_viscous_work_rate,stage1_forcing_work_rate,stage1_total_work_rate,stage1_advection_rms,stage1_viscous_rms,stage1_total_rhs_rms,stage2_advection_work_rate,stage2_viscous_work_rate,stage2_forcing_work_rate,stage2_total_work_rate,stage2_advection_rms,stage2_viscous_rms,stage2_total_rhs_rms,rk2_advection_rate,rk2_viscous_rate,rk2_viscous_dissipation_rate,rk2_forcing_rate,rk2_quadratic_remainder_rate,rk2_quadratic_remainder_expanded,rk2_remainder_crosscheck_residual,mask_field_removal_rms,mask_enstrophy_change,mask_enstrophy_change_rate,mask_enstrophy_loss,mask_enstrophy_loss_rate,mask_enstrophy_loss_spectral,mask_enstrophy_loss_crosscheck_residual,normalized_mask_enstrophy_loss_crosscheck_residual,observed_unfiltered_enstrophy_rate,unfiltered_ledger_rate,unfiltered_closure_residual,normalized_unfiltered_closure_residual,observed_filtered_enstrophy_rate,filtered_ledger_rate,filtered_closure_residual,normalized_filtered_closure_residual,filter_bookkeeping_residual,normalized_filter_bookkeeping_residual,stage1_viscous_dissipation_actual,stage1_viscous_dissipation_gradient,stage1_viscous_identity_residual,normalized_stage1_viscous_identity_residual,stage2_viscous_dissipation_actual,stage2_viscous_dissipation_gradient,stage2_viscous_identity_residual,normalized_stage2_viscous_identity_residual,stage1_forcing_identity_residual,normalized_stage1_forcing_identity_residual,stage2_forcing_identity_residual,normalized_stage2_forcing_identity_residual,stage_reconstruction_rms,normalized_stage_reconstruction_rms,unfiltered_reconstruction_rms,normalized_unfiltered_reconstruction_rms,filtered_reconstruction_rms,normalized_filtered_reconstruction_rms,inverse_fft_imaginary_rms,normalized_inverse_fft_imaginary_rms,all_numeric_values_finite,rk2_remainder_sign_pass,mask_rate_sign_pass,all_integrity_gates_pass
16000,16001,80.005,0.005,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,0.02459360604555842,0.02459301862226062,0.02459301578671244,0.024593015774847835,3.917692071652928e-05,-0.0006692035008725849,0.000512041220766071,-0.0001179853593899846,0.01701498839494639,0.0049543611855269514,0.01415202925232664,3.917835033835136e-05,-0.0006692267342853916,0.0005119302046905734,-0.00011811817925646672,0.01701553936959225,0.004954966364087218,0.014152963128211505,3.917763552744032e-05,-0.0006692151175789882,0.0006692151175789882,0.0005119857127283222,1.275523121335615e-13,1.2755231212677296e-13,6.788545675323038e-24,4.871265273844217e-06,-1.1864612684070994e-11,-2.372922536814199e-09,1.1864612684070994e-11,2.372922536814199e-09,1.1864612684070993e-11,1.6155871338926322e-27,1.3616855239292065e-16,-0.00011805176919552074,-0.00011805176919567346,1.5272342852173937e-16,1.2514407278083377e-13,-0.00011805414211682463,-0.00011805414211821027,1.3856374814907868e-15,1.1354139931899906e-12,1.2329194284022581e-15,1.0102743251269625e-12,0.0006692035008725849,0.000669203500872585,-1.0842021724855044e-19,1.620138225624636e-16,0.0006692267342853916,0.0006692267342853915,1.0842021724855044e-19,1.6200819796047578e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.279919874662643e-17,1.478912032600453e-16,True,True,True,True
16001,16002,80.01,0.005,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,0.024593015774847835,0.024592427687079452,0.024592424851284295,0.024592424839412905,3.917796758275179e-05,-0.0006692265171331435,0.0005119302170705589,-0.00011811833247983278,0.017015643575839037,0.004954963403729687,0.014153145277328768,3.9179393705538615e-05,-0.0006692497126890456,0.0005118192257903166,-0.00011825109319319043,0.017016193324700134,0.004955568344618448,0.014154078406780478,3.91786806441452e-05,-0.0006692381149110945,0.0006692381149110945,0.0005118747214304378,1.2761481228665165e-13,1.2761481226543661e-13,2.1215031961613165e-23,4.872656898844242e-06,-1.1871392626928302e-11,-2.3742785253856603e-09,1.1871392626928302e-11,2.3742785253856603e-09,1.1871392626928299e-11,3.2311742677852644e-27,2.7218156869446615e-16,-0.00011818471270796937,-0.0001181847127088967,9.27331670654008e-16,7.59924864981772e-13,-0.00011818708698582703,-0.00011818708698742209,1.595064683633518e-15,1.3071151915824575e-12,6.677326759034104e-16,5.471900503753417e-13,0.0006692265171331435,0.0006692265171331436,-1.0842021724855044e-19,1.620082505292899e-16,0.0006692497126890456,0.0006692497126890456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.814378827145329e-17,1.7199196124769712e-16,True,True,True,True
16002,16003,80.015,0.005,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,0.024592424839412905,0.024591836087470627,0.024591833251428833,0.02459183323955067,3.917901108399596e-05,-0.0006692494954678759,0.0005118192381928316,-0.0001182512461910483,0.017016297583021076,0.004955565383142632,0.014154260636581534,3.918043370790645e-05,-0.0006692726531542762,0.0005117082717529023,-0.00011838394769346744,0.017016846106296148,0.004956170086038321,0.014155193019707902,3.91797223959512e-05,-0.000669261074311076,0.000669261074311076,0.0005117637549728669,1.2767733210566492e-13,1.2767733210608664e-13,-4.217187290439111e-25,4.8740476528875015e-06,-1.1878170261302383e-11,-2.3756340522604766e-09,1.1878170261302383e-11,2.3756340522604766e-09,1.187817026130238e-11,3.2311742677852644e-27,2.7202626302739847e-16,-0.00011831759681446563,-0.00011831759681458061,1.1497964039208775e-16,9.422962434180125e-14,-0.00011831997244679537,-0.00011831997244863287,1.837492289401277e-15,1.5058858035283403e-12,1.722517449551874e-15,1.4116601133903013e-12,0.0006692494954678759,0.000669249495467876,-1.0842021724855044e-19,1.6200268805993387e-16,0.0006692726531542762,0.0006692726531542762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.518427717951275e-17,1.5864930830625524e-16,True,True,True,True
16003,16004,80.02,0.005,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,0.02459183323955067,0.024591243823731474,0.024591240987443395,0.024591240975558457,3.9180051220431916e-05,-0.0006692724358642078,0.0005117082841779427,-0.00011838410046583309,0.01701695041664325,0.004956167123444548,0.014155375330117891,3.918147034561992e-05,-0.0006692955556685376,0.0005115973426233754,-0.00011851674269954236,0.0170174977145325,0.004956771588025876,0.014156306967027849,3.918076078302592e-05,-0.0006692839957663727,0.0006692839957663727,0.0005116528134006591,1.2773987157925006e-13,1.2773987159790103e-13,-1.8650968962380723e-23,4.875437533100792e-06,-1.1884945569585978e-11,-2.3769891139171957e-09,1.1884945569585978e-11,2.3769891139171957e-09,1.1884945569585977e-11,1.6155871338926322e-27,1.3593559385134925e-16,-0.00011845042145533502,-0.0001184504214549477,-3.873176735932904e-16,3.1744229288634834e-13,-0.00011845279844283074,-0.00011845279844406162,1.2308811738956371e-15,1.0088198105887825e-12,1.6181947355741025e-15,1.3262587333844811e-12,0.0006692724358642078,0.0006692724358642077,1.0842021724855044e-19,1.6199713515550846e-16,0.0006692955556685376,0.0006692955556685376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.443480812751269e-17,1.5527174964881605e-16,True,True,True,True
16004,16005,80.025,0.005,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,0.024591240975558457,0.02459065089615961,0.024590648059625596,0.024590648047733886,3.918108799222356e-05,-0.000669295338309593,0.0005115973550709367,-0.0001185168952464327,0.017017602076857583,0.004956768624314482,0.014156489357971647,3.918250361883806e-05,-0.0006693184202193132,0.000511486438446772,-0.00011864947815370327,0.017018148149562665,0.004957372850260439,0.014157420248775228,3.918179580553081e-05,-0.0006693068792644531,0.0006693068792644531,0.0005115418967588544,1.2780243069593627e-13,1.2780243065617652e-13,3.975975082639148e-23,4.87682653662532e-06,-1.1891718534170428e-11,-2.3783437068340854e-09,1.1891718534170428e-11,2.3783437068340854e-09,1.1891718534170428e-11,0.0,0.0,-0.00011858318657229083,-0.00011858318657226542,-2.541098841762901e-17,2.0828116495848196e-14,-0.00011858556491425865,-0.00011858556491597225,1.7136086386676519e-15,1.40455930984962e-12,1.739021582540249e-15,1.4253890291341204e-12,0.000669295338309593,0.000669295338309593,0.0,0.0,0.0006693184202193132,0.0006693184202193132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.947786046003654e-17,1.7801378022694184e-16,True,True,True,True
16005,16006,80.03,0.005,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,0.024590648047733886,0.02459005730505294,0.02459005446827334,0.024590054456374858,3.9182121399528815e-05,-0.0006693182027915153,0.0005114864509168497,-0.00011864963047513679,0.01701825256381739,0.004957369885431758,0.014157602720177465,3.918353352771416e-05,-0.0006693412467941153,0.0005113755592681188,-0.00011878215399828231,0.01701879741154141,0.004957973872421613,0.014158532864985814,3.9182827463621486e-05,-0.0006693297247928153,0.0006693297247928153,0.0005114310050924843,1.278650094441309e-13,1.2786500941643836e-13,2.7692551870112905e-23,4.878214660588298e-06,-1.189848913738285e-11,-2.37969782747657e-09,1.189848913738285e-11,2.37969782747657e-09,1.1898489137382847e-11,3.2311742677852644e-27,2.715617277519305e-16,-0.00011871589210912803,-0.00011871589210884446,-2.835730782135837e-16,2.3244724997432015e-13,-0.00011871827180556793,-0.00011871827180667193,1.104002414660521e-15,9.049601142304576e-13,1.3875740246285174e-15,1.1374061606714552e-12,0.0006693182027915153,0.0006693182027915155,-2.168404344971009e-19,3.239721160917598e-16,0.0006693412467941153,0.0006693412467941154,-1.0842021724855044e-19,1.6198048120871256e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.914545332584962e-17,1.765170186705294e-16,True,True,True,True
16006,16007,80.035,0.005,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,0.024590054456374858,0.024589463050709665,0.024589460213684824,0.024589460201779573,3.918315144249923e-05,-0.0006693410292974869,0.0005113755717607088,-0.0001187823060942789,0.017018901877677257,0.00495797090647598,0.014158715416770856,3.9184560072394776e-05,-0.0006693640353804853,0.0005112647051324347,-0.0001189147701756558,0.017019445500624807,0.00495857465418928,0.014159644815696242,3.9183855757447e-05,-0.0006693525323389861,0.0006693525323389861,0.0005113201384465717,1.2792760781217597e-13,1.2792760779398322e-13,1.8192748061530425e-23,4.879601902128448e-06,-1.1905257361627041e-11,-2.381051472325408e-09,1.1905257361627041e-11,2.381051472325408e-09,1.190525736162704e-11,1.6155871338926322e-27,1.3570367148046573e-16,-0.00011884853800686601,-0.00011884853800703971,1.7370274055933388e-16,1.4239576352617188e-13,-0.00011885091905708411,-0.00011885091905851204,1.4279213662177215e-15,1.1705627242447158e-12,1.254222210245572e-15,1.0281698992445995e-12,0.0006693410292974869,0.0006693410292974869,0.0,0.0,0.0006693640353804853,0.0006693640353804851,2.168404344971009e-19,3.23949933123973e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.708866400610881e-17,1.6724444215846945e-16,True,True,True,True
16007,16008,80.04,0.005,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,0.024589460201779573,0.02458886813342826,0.02458886529615853,0.024588865284246513,3.9184178121280525e-05,-0.0006693638178150493,0.0005112647176475324,-0.00011891492204623637,0.017019550018593076,0.0049585716871270325,0.014159827447788209,3.918558325302066e-05,-0.0006693867859659934,0.0005111538760847289,-0.00011904732662824366,0.01702009241697017,0.004959175195243603,0.014160756100943993,3.918488068715059e-05,-0.0006693753018905213,0.0006693753018905213,0.0005112092968661307,1.2799022578856076e-13,1.2799022580575184e-13,-1.7191084038516993e-23,4.88098825838165e-06,-1.1912023189239142e-11,-2.382404637847828e-09,1.1912023189239142e-11,2.382404637847828e-09,1.1912023189239142e-11,0.0,0.0,-0.00011898112420860585,-0.0001189811242092497,6.438534601305168e-16,5.27847444428881e-13,-0.00011898350661190826,-0.00011898350661388756,1.9792923810352248e-15,1.6226742415816357e-12,1.3354333684548462e-15,1.0948222451131194e-12,0.0006693638178150493,0.0006693638178150493,0.0,0.0,0.0006693867859659934,0.0006693867859659934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.382502781569599e-17,1.5252952604776034e-16,True,True,True,True
16008,16009,80.045,0.005,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,0.024588865284246513,0.024588272553507498,0.024588269715993222,0.024588269704074444,3.9185201436012014e-05,-0.0006693865683317728,0.00051115388862233,-0.0001190474782734309,0.01702019698672201,0.004959172227065082,0.01416093881326676,3.918660306972631e-05,-0.000669409498538239,0.000511043072170002,-0.00011917982329851068,0.017020738160736154,0.004959775495265028,0.014161866720767436,3.918590225286916e-05,-0.0006693980334350059,0.0006693980334350059,0.000511098480396166,1.2805286336162764e-13,1.2805286338398153e-13,-2.2353894673262636e-23,4.882373726494739e-06,-1.191878660258079e-11,-2.383757320516158e-09,1.191878660258079e-11,2.383757320516158e-09,1.191878660258079e-11,0.0,0.0,-0.0001191136506581425,-0.00011911365065791793,-2.245653749760601e-16,1.8411754822368159e-13,-0.00011911603441383534,-0.00011911603441523846,1.4031202415221156e-15,1.150395775660483e-12,1.6276798266474781e-15,1.3345085768784647e-12,0.0006693865683317728,0.0006693865683317728,0.0,0.0,0.000669409498538239,0.000669409498538239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.636974120316259e-17,1.6400656353186295e-16,True,True,True,True
16009,16010,80.05,0.005,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,0.024588269704074444,0.02458767631124643,0.02458767347348797,0.024587673461562425,3.918622138682714e-05,-0.0006694092808352569,0.0005110430847301017,-0.000119179974718328,0.01702084278222252,0.004959772525970574,0.014162049513244597,3.918761952264018e-05,-0.0006694321730848507,0.0005109322934332453,-0.00011931226012896519,0.017021382732082663,0.00496037555393428,0.014162976675205765,3.918692045473366e-05,-0.0006694207269600538,0.0006694207269600538,0.0005109876890816735,1.2811552051958566e-13,1.281155205286723e-13,-9.086642642638406e-24,4.8837583035996025e-06,-1.1925547583985699e-11,-2.38510951679714e-09,1.1925547583985699e-11,2.38510951679714e-09,1.1925547583985696e-11,3.2311742677852644e-27,2.709455683296479e-16,-0.00011924611729510759,-0.00011924611729553107,4.2347581604568196e-16,3.472258175782421e-13,-0.00011924850240388474,-0.00011924850240504787,1.1631320906424492e-15,9.537014295079545e-13,7.39649546723255e-16,6.064700954603123e-13,0.0006694092808352569,0.000669409280835257,-1.0842021724855044e-19,1.6196401865428109e-16,0.0006694321730848507,0.0006694321730848507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.54698253085146e-17,1.5995040103689832e-16,True,True,True,True
