scope,cadence,cadence_multiple_of_base,interval_count,normalized_energy_residual_median,normalized_energy_residual_mean,normalized_energy_residual_maximum,normalized_energy_residual_p90,normalized_enstrophy_residual_median,normalized_enstrophy_residual_mean,normalized_enstrophy_residual_maximum,normalized_enstrophy_residual_p90,signed_energy_residual_mean,signed_energy_residual_rms,signed_enstrophy_residual_mean,signed_enstrophy_residual_rms,median_energy_gate_pass,maximum_energy_gate_pass,median_enstrophy_gate_pass,maximum_enstrophy_gate_pass
full_run,0.5,1.0,200,0.0023055356491464792,0.0032693723457030773,0.010790902277951337,0.00909533905204737,0.014404222905639669,0.022496974439698628,0.058535163738413304,0.056908411204841976,1.5109330289077473e-07,2.8080844963438683e-07,1.53713793842243e-05,2.0716677179154825e-05,True,True,False,False
final_window,0.5,1.0,40,0.006975630021169467,0.006676241004355707,0.010790902277951337,0.010363119208679997,0.05107587377269546,0.05086578886965495,0.05843424054745961,0.05807526936974141,5.302511239693619e-08,3.542401832812623e-07,3.237611471758469e-05,3.284322458278004e-05,True,True,False,False
full_run,1.0,2.0,100,0.002403345257411135,0.003361356114374121,0.010358112597988684,0.008892479235655103,0.014445543418049515,0.02259021282753276,0.05837114353563254,0.05625107669756813,1.5223114215972119e-07,2.80479141151504e-07,1.5382190103614443e-05,2.0691326749896897e-05,True,True,False,False
final_window,1.0,2.0,20,0.007019499033126146,0.006594992417164454,0.010358112597988684,0.010187629837590813,0.050867057740764464,0.05070765115289784,0.05815445047309384,0.05771109770058187,4.407997528836951e-08,3.484515109722953e-07,3.22682850430569e-05,3.271956590672224e-05,True,True,False,False
full_run,2.0,4.0,50,0.0028291160034204007,0.0036802271100654393,0.009700398962356133,0.008838462569074168,0.014612038323306637,0.02291966013055179,0.05791329703102148,0.055272860368639896,1.5678083071324277e-07,2.8054594295767626e-07,1.5425452681531853e-05,2.059322640020364e-05,True,True,False,False
final_window,2.0,4.0,10,0.006991089088174221,0.006274763910107071,0.009700398962356133,0.009409110354122932,0.05004046448508341,0.05007409741281602,0.05699742550686053,0.05630807886747837,8.270639233933365e-09,3.275370479707189e-07,3.183672189060393e-05,3.222713802885352e-05,True,True,False,False
full_run,2.5,5.0,40,0.0030393597878018586,0.003896773080552085,0.012061578861976282,0.008714655721972542,0.014738184479899268,0.023120888566565058,0.057718202802052226,0.053893448237275716,1.601913850194106e-07,2.820395794418631e-07,1.545792108944889e-05,2.0523126420983816e-05,True,True,False,False
final_window,2.5,5.0,8,0.006970483975052884,0.006025905698250268,0.009484656033754915,0.008926186795974437,0.04942944963443678,0.04959788571549537,0.05608938594352463,0.055243502374808066,-1.8616523141008676e-08,3.145029962982735e-07,3.1512794442560706e-05,3.1860177481544784e-05,True,True,False,False
full_run,5.0,10.0,20,0.004223083821629225,0.005990109019605313,0.02371992732380818,0.00951114671979843,0.018851382289242435,0.02463962279191001,0.054635195072387774,0.04826549926741709,1.885618335633675e-07,3.364123383483744e-07,1.5729377446921904e-05,2.0055700154051693e-05,True,True,False,False
final_window,5.0,10.0,4,0.0073027872861958065,0.006539268269723572,0.009726550712214996,0.009654749381409474,0.04498671900392583,0.04559595151823426,0.04783416992652382,0.047080724456096554,-2.43668472722877e-07,3.2128548763409276e-07,2.8805439823294043e-05,2.8888124172549432e-05,True,True,False,True
