block_id,interval_start_time,physical_time,interval_duration,loop_index,completed_steps,energy,enstrophy,observed_energy_rate,mean_continuous_energy_rhs,energy_budget_residual,normalized_energy_budget_residual,observed_enstrophy_rate,absolute_observed_enstrophy_rate,mean_continuous_enstrophy_rhs,absolute_mean_continuous_enstrophy_rhs,enstrophy_budget_residual,normalized_enstrophy_budget_residual,energy_injection_rate,viscous_energy_dissipation_rate,enstrophy_injection_rate,viscous_enstrophy_dissipation_rate,mean_enstrophy_injection_rate,mean_viscous_enstrophy_dissipation_rate,stage1_advection_rms,stage2_advection_rms,max_stage_advection_rms,mask_removal_rms,vorticity_rms,maximum_absolute_vorticity,dominant_shell,tail_fraction_k_gt_4,high_k_fraction_k_ge_10,middle_k_fraction_5_le_k_le_9,low_k_fraction_k_le_4
1,0.005,0.505,0.5,100,101,3.209816900513434e-07,3.170059441950978e-06,6.41900137212348e-07,6.403478843703708e-07,1.5522528419772463e-09,0.0024121348956191897,6.339493918492838e-06,6.339493918492838e-06,6.322328817441305e-06,6.322328817441305e-06,1.716510105153259e-08,0.002700022149105686,1.2743876220309432e-06,6.340118883901956e-09,1.2589788822825001e-05,7.012081095346892e-08,6.357392681840812e-06,3.506386439950582e-08,1.46392777122651e-06,1.4932544417828812e-06,1.4932544417828812e-06,7.198003642435497e-19,0.0025179592697067116,0.008013511552482817,,,,,
1,0.505,1.0050000000000001,0.5000000000000001,200,201,1.264994561777474e-06,1.2485904202403479e-05,1.8880257434522608e-06,1.8864933662041465e-06,1.5323772481143016e-09,0.0008056030218386428,1.8631689520904998e-05,1.8631689520904998e-05,1.861477725207366e-05,1.861477725207366e-05,1.69122688313364e-08,0.0009001722356916858,2.5299110376660587e-06,2.4971808404806957e-08,2.4985839841929662e-05,2.759533496538711e-07,1.8787814332377333e-05,1.7303708030367e-07,5.816949387137976e-06,5.874876361536255e-06,5.874876361536255e-06,1.5910667441273414e-18,0.004997180045266226,0.01590194655459958,,,,,
1,1.0050000000000001,1.5050000000000001,0.5,300,301,2.822875816466927e-06,2.784637119520812e-05,3.115762509378906e-06,3.114249643267341e-06,1.5128661115650243e-09,0.0004795773736651869,3.072093398560928e-05,3.072093398560928e-05,3.0704268675246286e-05,3.0704268675246286e-05,1.66653103629959e-08,0.0005350069571339044,3.7792527996638468e-06,5.5692742390416244e-08,3.7313575673240224e-05,6.149248150234484e-07,3.114970775758494e-05,4.4543908233865976e-07,1.3001636038899154e-05,1.3087593733312983e-05,1.3087593733312983e-05,2.3132602598441506e-18,0.007462757023407384,0.02374522740514587,,,,,
1,1.5050000000000001,2.005,0.4999999999999998,400,401,4.985548377723182e-06,4.915147347810937e-05,4.325345122512512e-06,4.323851268915786e-06,1.4938535967257607e-09,0.0003394466745321908,4.261020456580252e-05,4.261020456580252e-05,4.2593777250657983e-05,4.2593777250657983e-05,1.642731514453987e-08,0.00037813065504858125,5.02244542751436e-06,9.830294695621874e-08,4.957340333897094e-05,1.0844996958717513e-06,4.344348950610558e-05,8.497122554475998e-07,2.296148007001755e-05,2.307490789279849e-05,2.307490789279849e-05,2.8568892220943656e-18,0.009914784261708307,0.03154369360894765,,,,,
1,2.005,2.505,0.5,500,501,7.744050418080202e-06,7.630268073376043e-05,5.51700408071404e-06,5.515528497035642e-06,1.475583678397954e-09,0.00026158273648858437,5.430241451130212e-05,5.430241451130212e-05,5.428621044097392e-05,5.428621044097392e-05,1.620407032820292e-08,0.00029107598883596896,6.259519874980664e-06,1.5260536146752086e-07,6.176570362759136e-05,1.6821863887427038e-06,5.566955348328115e-05,1.3833430423072276e-06,3.5640847029314314e-05,3.578119284556441e-05,3.578119284556441e-05,3.891565329912791e-18,0.012353354259775799,0.039297672239526446,3,8.505419974666574e-07,9.196429252976502e-14,8.505419055023648e-07,0.9999991494580027
1,2.505,3.005,0.5,600,601,1.1089533111391758e-05,0.00010920288436958522,6.690965386623112e-06,6.689506937980121e-06,1.4584486429911238e-09,0.00021213759863520317,6.580040727164957e-05,6.580040727164957e-05,6.578440229298391e-05,6.578440229298391e-05,1.600497866565396e-08,0.0002359632654808538,7.490505131186268e-06,2.1840576873917043e-07,7.389082437509145e-05,2.405537027972296e-06,6.78282640013414e-05,2.0438617083575e-06,5.098491673170271e-05,5.11516362224163e-05,5.11516362224163e-05,4.143511347080204e-18,0.014778557735420951,0.04700747796554833,,,,,
1,3.005,3.505,0.5,700,701,1.5013258245526883e-05,0.00014775635984524982,7.847450268270251e-06,7.84600724391159e-06,1.4430243586607518e-09,0.0001780859344260239,7.71069509513292e-05,7.71069509513292e-05,7.709110706432312e-05,7.709110706432312e-05,1.5843887006083794e-08,0.00019824696021462565,8.715427845066582e-06,2.9551271969049966e-07,8.594907419314813e-05,3.252147411621044e-06,7.991994928411978e-05,2.82884221979667e-06,6.893961423041234e-05,6.913217015509695e-05,6.913217015509695e-05,5.946916772764276e-18,0.01719048340479405,0.054673413080641525,,,,,
1,3.505,4.005,0.5,800,801,1.950659570814164e-05,0.00019186872636583005,8.986674925229517e-06,8.985244822587628e-06,1.4301026418890117e-09,0.0001533643531626756,8.822473304116046e-05,8.822473304116046e-05,8.820899320971115e-05,8.820899320971115e-05,1.573983144931019e-08,0.00017118765950816737,9.934311972530834e-06,3.837374527316601e-07,9.794071663092985e-05,4.219656993034636e-06,9.194489541203899e-05,3.73590220232784e-06,8.945153158029924e-05,8.966939295178186e-05,8.966939295178186e-05,8.342758406946562e-18,0.019589217767222358,0.06229576753772492,,,,,
1,4.005,4.505,0.5,900,901,2.4561020857986742e-05,0.00024144690408967658,1.0108850299690202e-05,1.0107429578698729e-05,1.420720991472698e-09,0.0001347837333397316,9.915635544769307e-05,9.915635544769307e-05,9.914063774294317e-05,9.914063774294317e-05,1.571770474989814e-08,0.00015127237146308312,1.1147178445777638e-05,4.828938081793531e-07,0.00010986596475945115,5.3057489114600125e-06,0.00010390334069519051,4.762702952247324e-06,0.0001124678412555278,0.00011271048243552925,0.00011271048243552925,2.4194621550727316e-17,0.021974844895456102,0.06987481899000825,,,,,
1,4.505,5.005,0.5,1000,1001,3.0168111793907722e-05,0.0002963990690099535,1.121418187184196e-05,1.121276568194416e-05,1.416189897798876e-09,0.00012052052602648949,0.00010990432984055382,0.00010990432984055382,0.00010988852098955903,0.00010988852098955903,1.58088509947873e-08,0.0001365239152391925,1.2354044864309944e-05,5.92798138019907e-07,0.00012172497616968778,6.5081500385608485e-06,0.00011579547046456947,5.9069494750104305e-06,0.00013793620207680173,0.0001382031018008229,0.0001382031018008229,7.701931476482309e-17,0.0243474462319954,0.0774108328417051,3,1.2649008405310043e-05,1.978948087851688e-11,1.2648988615829166e-05,0.9999873509915947
1,5.005,5.505,0.5,1100,1101,3.6319546533407604e-05,0.00035663460567806823,1.2302869478999763e-05,1.2301451361118457e-05,1.418117881306515e-09,0.00010946925928640206,0.00012047107333622948,0.00012047107333622948,0.00012045502174416663,0.00012045502174416663,1.6051592062851002e-08,0.00012577507000475366,1.3554925207303014e-05,7.132692113561365e-07,0.00013351784837804386,7.824631020837515e-06,0.00012762141227386583,7.166390529699181e-06,0.00016580465850381625,0.0001660952988439278,0.0001660952988439278,2.2354358625730073e-16,0.026707100392145466,0.08490406231225603,,,,,
1,5.505,6.005,0.5,1200,1201,4.3007100112368404e-05,0.0004220640579458197,1.3375107157921601e-05,1.3373678723571732e-05,1.428434349868776e-09,0.00010093246602942865,0.0001308589045355029,0.0001308589045355029,0.00013084241284575573,0.00013084241284575573,1.649168974716649e-08,0.0001183207349289706,1.4749829567088224e-05,8.441281158916394e-07,0.000145244614635166,9.25300630086089e-06,0.00013938123150660493,8.538818660849203e-06,0.0001960215341578399,0.00019633539943210342,0.00019633539943210342,5.92309455728157e-16,0.029053882974425974,0.09235474851847689,,,,,
1,6.005,6.505,0.5,1300,1301,5.0222641617277125e-05,0.0004925990779112625,1.4431083009817442e-05,1.4429633599500269e-05,1.4494103171731616e-09,9.445922104942963e-05,0.00014107003993088572,0.00014107003993088572,0.0001410528571839605,0.0001410528571839605,1.7182746925227966e-08,0.00011373658900622884,1.593876390362648e-05,9.851981558225252e-07,0.0001569052401364932,1.0791134102877336e-05,0.0001510749273858296,1.0022070201869112e-05,0.00022853532045729328,0.00022887189609476334,0.00022887189609476334,1.4509752314162592e-15,0.031387866378945306,0.09976312057953973,,,,,
1,6.505,7.005,0.5,1400,1401,5.7958131161064746e-05,0.000568152373261032,1.5470979087575242e-05,1.5469495410617434e-05,1.4836769578083176e-09,8.975528134657753e-05,0.000151106590699539,0.000151106590699539,0.00015108840414906904,0.00015108840414906904,1.8186550469962478e-08,0.00011177798966252895,1.712172981995298e-05,1.1363047465220642e-06,0.00016849961863525312,1.2436916370730881e-05,0.00016270242938587316,1.161402523680411e-05,0.0002632945612756036,0.0002636533326461644,0.0002636533326461644,3.322025039710243e-15,0.033709119634337294,0.1071293957500345,,,,,
1,7.005,7.505,0.5,1500,1501,6.620561681345464e-05,0.0006486376532093753,1.649497130477978e-05,1.6493437062846634e-05,1.5342419331447715e-09,8.663028008659693e-05,0.0001609705598966866,0.0001609705598966866,0.00016095098653858963,0.00016095098653858963,1.957335809697671e-08,0.00011232040865391691,1.8298724358681103e-05,1.2972753064187507e-06,0.00018002756946083713,1.4188298648180154e-05,0.00017426359404804512,1.3312607509455518e-05,0.00030024773456513177,0.0003006281857838088,0.0003006281857838088,7.186677628615278e-15,0.03601770823385007,0.11445377958657141,3,5.963044055162716e-05,4.598874803647859e-10,5.9629980664146786e-05,0.9999403695594482
1,7.505,8.005,0.5000000000000009,1600,1601,7.495723149652354e-05,0.000733969573241416,1.7503229366137772e-05,1.750162486276638e-05,1.6045033713934977e-09,8.496524316229218e-05,0.00017066384006408109,0.00017066384006408109,0.00017064241793332633,0.00017064241793332633,2.142213075475457e-08,0.00011532266408998727,1.9469739819753236e-05,1.4679391464828322e-06,0.00019148883494755738,1.6043269893561732e-05,0.00018575820220419724,1.5115784270870943e-05,0.0003393431319330017,0.0003397447446488379,0.0003397447446488379,1.4807643484291877e-14,0.038313693981171175,0.12173646615343556,,,,,
1,8.005,8.505,0.5,1700,1701,8.420518985600151e-05,0.0008240636788752643,1.8495916718955945e-05,1.84942184576197e-05,1.6982613362456767e-09,8.469180223890193e-05,0.00018018821126769644,0.00018018821126769644,0.00018016439055614165,0.00018016439055614165,2.3820711554797206e-08,0.00012080328621684932,2.0634763599719527e-05,1.6481273577505285e-06,0.00020288307828065673,1.799986222236909e-05,0.00019718595661410705,1.7021566057965412e-05,0.00038052873720342335,0.00038095098938353535,0.00038095098938353535,2.9257058866705793e-14,0.040597134846569266,0.12897763827271558,,,,,
1,8.505,9.005,0.5,1800,1801,9.394178511868113e-05,0.0009188363486645601,1.9473190525359237e-05,1.9471370798774735e-05,1.8197265845021902e-09,8.577841771704776e-05,0.00018954533957859176,0.00018954533957859176,0.00018951847362684189,0.00018951847362684189,2.686595174987102e-08,0.00012882476724964098,2.1793778052909592e-05,1.8376726973291203e-06,0.00021420988176807786,2.005615057268173e-05,0.0002085464800243673,1.9028006397525408e-05,0.0004237521050556899,0.00042419446977568436,0.00042419446977568436,5.575072775632548e-14,0.042868084833931175,0.13617746782407558,,,,,
1,9.005,9.505,0.5,1900,1901,0.00010415938594616719,0.0010182047366698907,2.0435201654972116e-05,2.0433228128588244e-05,1.973526383871986e-09,8.822094919822031e-05,0.00019873677601066103,0.00019873677601066103,0.00019870611222687232,0.00019870611222687232,3.066378378871557e-08,0.0001394827125253137,2.29467603749358e-05,2.0364094733397814e-06,0.0002254687455478431,2.2210252289494565e-05,0.0002198393136579605,2.1133201431088147e-05,0.0004689602408862311,0.00046942218513877355,0.00046942218513877355,1.029322539837307e-13,0.04512659385927306,0.1433361160989483,,,,,
1,9.505,10.005,0.5,2000,2001,0.00011485043329506907,0.0011220867146342136,2.1382094697803763e-05,2.1379929990677112e-05,2.164707126651479e-09,9.203600110616712e-05,0.00020776395592864583,0.00020776395592864583,0.00020772862668769513,0.00020772862668769513,3.5329240950700974e-08,0.0001528981311324682,2.409368250902664e-05,2.2441734292684274e-06,0.00023665908674191005,2.4460326624868333e-05,0.0002310639161448766,2.333528945718145e-05,0.0005160994831055263,0.0005165804666394927,0.0005165804666394927,1.8483373228806867e-13,0.04737270764130363,0.15045373421337294,3,0.00017520682484689035,4.691348422471546e-09,0.00017520213349846785,0.9998247931751533
1,10.005,10.505,0.5,2100,2101,0.0001260074372936238,0.001230400814103964,2.231400799710949e-05,2.2311609263642355e-05,2.3987334671333018e-09,9.725608390712858e-05,0.00021662819893950068,0.00021662819893950068,0.00021658721251679894,0.00021658721251679894,4.098642270174667e-08,0.0001692117898695478,2.5234511075734422e-05,2.4608016282079277e-06,0.00024778023906800846,2.6804574151452327e-05,0.00024221966290495926,2.5632450388160328e-05,0.0005651153891446715,0.0005656148633479498,0.0005656148633479498,3.2378867201567555e-13,0.04960646760461712,0.1575304635830241,,,,,
1,10.505,11.005,0.5,2200,2201,0.00013762297414463386,0.001343066168743889,2.3231073702020095e-05,2.322839221831456e-05,2.6814837055342416e-09,0.00010392598783786235,0.00022533070927985028,0.00022533070927985028,0.00022528294087520613,0.00022528294087520613,4.7768404644148166e-08,0.00018857995344160754,2.6369207326590403e-05,2.686132337487778e-06,0.00025883145292118607,2.9241236087329973e-05,0.0002533058459945973,2.802290511939115e-05,0.0006159526265100542,0.0006164700333496939,0.0006164700333496939,5.546882927604769e-13,0.051827910796093044,0.1645664364631672,,,,,
