block_id,label,interval_count,time_start,time_end,normalized_enstrophy_residual_median,normalized_enstrophy_residual_mean,normalized_enstrophy_residual_maximum,normalized_enstrophy_residual_p90,normalized_energy_residual_median,normalized_energy_residual_mean,normalized_energy_residual_maximum,normalized_energy_residual_p90,signed_enstrophy_residual_mean,signed_enstrophy_residual_rms,positive_enstrophy_residual_count,negative_enstrophy_residual_count,zero_enstrophy_residual_count,positive_enstrophy_residual_fraction,negative_enstrophy_residual_fraction,mean_stage1_advection_rms,mean_stage2_advection_rms,mean_max_stage_advection_rms,mean_mask_removal_rms,mean_enstrophy,mean_absolute_observed_enstrophy_rate,mean_absolute_continuous_enstrophy_rhs,mean_enstrophy_injection_rate,mean_viscous_enstrophy_dissipation_rate
1,0.005 <= t <= 20.005,40,0.505,20.005,0.000278908720306898,0.0004647779010287016,0.002700022149105686,0.0009814021752290742,0.00016949011277286137,0.00028182024337144844,0.0024121348956191897,0.0004819409010619581,1.1953776352647628e-07,1.914896831500484e-07,40,0,0,1.0,0.0,0.0006624172852820788,0.0006628695427081997,0.0006628695427081997,6.151237732596595e-11,0.00146905357618638,0.00020125572967441335,0.00020113619191088685,0.00023749023111444036,3.188837359728942e-05
2,20.005 < t <= 40.005,40,20.505,40.005,0.00488887639447322,0.005167583249889365,0.009912130778447215,0.008908161925087182,0.0019259511215429712,0.0019311774620542357,0.003232777817164903,0.003071903914131707,3.350884738831726e-06,3.92263474304828e-06,40,0,0,1.0,0.0,0.0032581446624373746,0.0032588491862431553,0.0032588491862431553,1.3110547329245515e-07,0.008269253861633803,0.0004315030298613669,0.0004281521451225352,0.0006098473170713476,0.00018042103496903223
3,40.005 < t <= 60.005,40,40.505,60.005,0.014404222905639669,0.014604161800020327,0.020232768909651012,0.01844136082238769,0.002111997788611521,0.001887237609121649,0.0032968212196704044,0.00327950393517176,1.1793641950449913e-05,1.2067453176400724e-05,40,0,0,1.0,0.0,0.0065498955301979385,0.006551067318627401,0.006551067318627401,1.184460335485374e-06,0.0172854608288631,0.00043633468270137647,0.00042454104075092657,0.0008038118362027398,0.0003806196452904784
4,60.005 < t <= 80.005,40,60.505,80.005,0.04092611197560586,0.041382560377899794,0.058535163738413304,0.058486415958998485,0.006012587506978223,0.005570385409612348,0.010251036984784951,0.009751892043407632,2.921671775072871e-05,3.010280730996526e-05,40,0,0,1.0,0.0,0.013641755476925801,0.013643627909811998,0.013643627909811998,2.9640304338806187e-06,0.023869553218733946,0.00018453895402475382,0.0001725596020549323,0.0007034689610992585,0.0005784870631940587
5,80.005 < t <= 100.005,40,80.505,100.005,0.05107587377269546,0.05086578886965495,0.05843424054745961,0.05807526936974141,0.006975630021169467,0.006676241004355707,0.010790902277951337,0.010363119208679997,3.237611471758469e-05,3.284322458278004e-05,40,0,0,1.0,0.0,0.017089631061108047,0.017089603539997736,0.01708971888482552,4.396942222349014e-06,0.02257791001957799,0.00019538452042704,0.0002277606351446247,0.0004029479485194691,0.0006309129859069886
