phase_bin,phase_center,mean_energy,std_energy,mean_helicity,std_helicity,mean_kurtosis,std_kurtosis,mean_slope,std_slope,n_samples
0,0.09817477042468103,3.162853212448414e+81,2.0668999935802132e+82,0.0,0.0,1.499999999999999,2.4792866614811786e-15,-1.4507818204234593,0.3544396398946249,3173
1,0.2945243112740431,3.575957996913025e+81,2.3553446453504406e+82,0.0,0.0,1.499999999999999,2.6086863400994805e-15,-1.4469838970340154,0.34960985039573705,3177
2,0.4908738521234052,4.167413902991881e+81,2.7242508491945717e+82,0.0,0.0,1.499999999999999,2.885073171850228e-15,-1.4533628588032772,0.3543757387970672,3175
3,0.6872233929727672,4.719151915304482e+81,3.106820314643948e+82,0.0,0.0,1.499999999999999,3.1408576007500185e-15,-1.445042446358893,0.3505132614729084,3174
4,0.8835729338221293,5.489309649314688e+81,3.5901125752809425e+82,0.0,0.0,1.499999999999999,3.112806327569431e-15,-1.4511538592734834,0.3462992300126632,3178
5,1.0799224746714913,6.3199930208005025e+81,4.130156609167691e+82,0.0,0.0,1.499999999999999,2.9393894358715575e-15,-1.4592788707623743,0.34813251232355186,3172
6,1.2762720155208536,7.141132223268144e+81,4.7043394229404785e+82,0.0,0.0,1.499999999999999,2.643788415184824e-15,-1.4566525275605913,0.34624054173103896,3179
7,1.4726215563702154,8.331422786943365e+81,5.444520183484889e+82,0.0,0.0,1.499999999999999,2.5292940069065764e-15,-1.461194006934003,0.34577957498001227,3173
8,1.6689710972195777,9.419602291020666e+81,6.204326037177447e+82,0.0,0.0,1.499999999999999,2.480091832354148e-15,-1.4595198184382165,0.34552778334707496,3177
9,1.8653206380689396,1.5997522782878898e+81,2.5835848632217145e+82,0.0,0.0,1.499999999999999,2.6018332267727114e-15,-1.4504009765558554,0.34111683942752347,3114
10,2.061670178918302,1.518819661317145e+80,9.885593948496113e+80,0.0,0.0,1.499999999999999,2.7674651721923826e-15,-1.4518856196861005,0.3441902029968687,3104
11,2.2580197197676637,1.7677759200100108e+80,1.1426773469530436e+81,0.0,0.0,1.499999999999999,3.011896319681737e-15,-1.4528464706082151,0.3396292635438071,3106
12,2.454369260617026,2.0031220157730153e+80,1.3035639490021826e+81,0.0,0.0,1.499999999999999,3.1766375024797e-15,-1.4463960014130912,0.3359738007580768,3103
13,2.650718801466388,2.329961091685579e+80,1.506317932563015e+81,0.0,0.0,1.499999999999999,3.2259253376825164e-15,-1.4487993344151866,0.3378549981052777,3107
14,2.84706834231575,2.6809351021314607e+80,1.7323970192464843e+81,0.0,0.0,1.499999999999999,3.2820458731239745e-15,-1.451991720347704,0.3367840295954689,3103
15,3.043417883165112,3.0310624999390326e+80,1.973819209357933e+81,0.0,0.0,1.499999999999999,3.2390429937862173e-15,-1.4574596962559272,0.34154533371625984,3108
16,3.2397674240144743,3.536435582922642e+80,2.2844183309630434e+81,0.0,0.0,1.499999999999999,3.1216301378542985e-15,-1.4500657409719926,0.33414883837751724,3102
17,3.436116964863836,3.998219467248272e+80,2.6031928736204533e+81,0.0,0.0,1.499999999999999,2.931807976952473e-15,-1.4463824241590388,0.33285443310364554,3106
18,3.6324665057131984,4.6595835198210457e+80,3.0109274180978693e+81,0.0,0.0,1.499999999999999,2.8351810918165734e-15,-1.4456371313238403,0.3289278477738529,3104
19,3.8288160465625602,5.273120832607624e+80,3.432700216649854e+81,0.0,0.0,1.499999999999999,2.8502459092689567e-15,-1.4506131725210887,0.3315508428243182,3105
20,4.025165587411922,6.139438008935567e+80,3.968487553441235e+81,0.0,0.0,1.499999999999999,2.770438523186371e-15,-1.4550303050703635,0.3307482938235346,3106
21,4.221515128261284,6.959031319485792e+80,4.527954812484785e+81,0.0,0.0,1.499999999999999,2.7564094190753026e-15,-1.453249227257554,0.32851044122364037,3102
22,4.417864669110647,8.089288352378649e+80,5.230579944889515e+81,0.0,0.0,1.499999999999999,2.6724447537936227e-15,-1.4576595768460474,0.3310927418005576,3108
23,4.614214209960009,9.315474390940388e+80,6.0174959472394276e+81,0.0,0.0,1.4999999999999991,2.677276061386216e-15,-1.4563222067704282,0.3285007974839043,3102
24,4.81056375080937,1.0525143708348703e+81,6.855039985264383e+81,0.0,0.0,1.499999999999999,2.5915632475593567e-15,-1.4622275606372277,0.3351477317351119,3108
25,5.006913291658733,1.2277987461337353e+81,7.932475272124593e+81,0.0,0.0,1.499999999999999,2.5819105992658664e-15,-1.464517958108509,0.33374003465640084,3103
26,5.203262832508095,1.3890179919289892e+81,9.04223990533384e+81,0.0,0.0,1.499999999999999,2.5500555005273167e-15,-1.4570171396733345,0.32534273745065395,3105
27,5.399612373357457,1.6177395883204696e+81,1.0455225884300049e+82,0.0,0.0,1.499999999999999,2.48814689049079e-15,-1.4594773586501042,0.32488403711265584,3105
28,5.595961914206819,1.8325209861780313e+81,1.1925425783161035e+82,0.0,0.0,1.499999999999999,2.5332853625258942e-15,-1.4578129070575276,0.32347276847470136,3103
29,5.792311455056181,2.1308381544898396e+81,1.377812093124683e+82,0.0,0.0,1.499999999999999,2.4748189602184167e-15,-1.4601857205302569,0.3245364687375082,3108
30,5.988660995905543,2.4538336865630423e+81,1.585097402924864e+82,0.0,0.0,1.499999999999999,2.4849466892462447e-15,-1.4554107258062259,0.3198526504124481,3102
31,6.1850105367549055,2.772478470079922e+81,1.805718885872036e+82,0.0,0.0,1.499999999999999,2.489088082640314e-15,-1.4559571889020975,0.3193226493762959,3108
