phase_bin,phase_center,mean_energy,std_energy,mean_helicity,std_helicity,mean_kurtosis,std_kurtosis,mean_slope,std_slope,n_samples
0,0.09817477042468103,9.125169001809868e-06,8.995582316102804e-06,0.0,0.0,1.5000000000000036,3.7090465398751766e-15,-0.476859508778729,0.04609967026420487,39
1,0.2945243112740431,1.0741783481729363e-05,8.322935014400972e-06,0.0,0.0,1.5000000000000029,3.0142095077897492e-15,-0.501155992739419,0.01947129415332927,40
2,0.4908738521234052,1.5161878199389436e-05,8.60665119535879e-06,0.0,0.0,1.5000000000000009,1.4398917586202106e-15,-0.5123385674561026,0.011949476718253667,39
3,0.6872233929727672,2.1671181771198906e-05,9.737817960967407e-06,0.0,0.0,1.5000000000000004,4.952320998410167e-16,-0.5203267000358246,0.00861183746537211,39
4,0.8835729338221293,3.173218319678193e-05,1.1711389897384415e-05,0.0,0.0,1.4999999999999996,5.999314860941094e-16,-0.5278058204246838,0.006896158400150842,40
5,1.0799224746714913,4.459134519115249e-05,1.4794877440457456e-05,0.0,0.0,1.4999999999999996,7.95841871529974e-16,-0.5341159503746938,0.006153333975222072,39
6,1.2762720155208536,5.838434525930434e-05,1.849352495513579e-05,0.0,0.0,1.4999999999999996,5.127900497022837e-16,-0.5390230899573191,0.005771114627130266,39
7,1.4726215563702154,7.55725018893244e-05,2.293802358957939e-05,0.0,0.0,1.4999999999999996,4.1540741810552243e-16,-0.5436845041311364,0.005547172870615227,40
8,1.6689710972195777,9.467952651901341e-05,2.8472729747127375e-05,0.0,0.0,1.4999999999999996,4.2961986059657295e-16,-0.5477006724723363,0.005535172146011276,39
9,1.8653206380689396,0.00011220069754533973,3.429888695132122e-05,0.0,0.0,1.4999999999999996,4.281460316882493e-16,-0.5507064371600572,0.005556097470411489,39
10,2.061670178918302,0.0001336561111560534,4.069818630076802e-05,0.0,0.0,1.4999999999999998,5.333338897353783e-16,-0.5538073333691553,0.005620128985506929,39
11,2.2580197197676637,0.00015083657361956437,4.734587581122499e-05,0.0,0.0,1.5,5.380537506743749e-16,-0.5559190362719968,0.0057183209435547715,39
12,2.454369260617026,0.00017087044676522128,5.409482874153584e-05,0.0,0.0,1.5000000000000002,5.540001768389157e-16,-0.5581098326179381,0.005819932902772472,40
13,2.650718801466388,0.00019008544472020486,6.120851571811489e-05,0.0,0.0,1.5,7.321344627159198e-16,-0.5599587692457437,0.005982166372504404,39
14,2.84706834231575,0.00020222436501294064,6.780595462743097e-05,0.0,0.0,1.5000000000000004,7.066534275061924e-16,-0.5609963699792243,0.006141170076012973,39
15,3.043417883165112,0.0002170679404039374,7.398086724419926e-05,0.0,0.0,1.5000000000000007,6.558778181783044e-16,-0.5622054912181763,0.0063095717260618685,40
16,3.2397674240144743,0.00022948263125246725,7.980821706742444e-05,0.0,0.0,1.5000000000000009,7.4835865378852505e-16,-0.5631308043282888,0.006514992750480295,39
17,3.436116964863836,0.00023223026568604596,8.472311047751611e-05,0.0,0.0,1.5000000000000007,7.9980327914022e-16,-0.5632506791586699,0.006731375556928403,39
18,3.6324665057131984,0.00023313421960172558,8.856746842129228e-05,0.0,0.0,1.5000000000000009,7.346747138368236e-16,-0.5632262418841711,0.0069593759729713175,38
19,3.8288160465625602,0.0001460142832890564,1.2293348206441808e-06,0.0,0.0,1.500000000000001,4.805719610549539e-16,-0.5562497380881753,0.00014986482329905517,19
20,4.025165587411922,0.00014043742451164354,1.9959705004675247e-06,0.0,0.0,1.5000000000000013,5.347542221830668e-16,-0.5555559679435024,0.0002530229024289761,20
21,4.221515128261284,0.00013261044973619855,2.498792087475302e-06,0.0,0.0,1.5000000000000016,5.415052190604006e-16,-0.5545346874564907,0.00033545086811621926,19
22,4.417864669110647,0.00012277080952136074,3.171520251484182e-06,0.0,0.0,1.500000000000001,5.416250078505088e-16,-0.5531607198869783,0.00045997963479755497,20
23,4.614214209960009,0.00011099066188661319,3.6041342581489985e-06,0.0,0.0,1.500000000000001,4.2998752849492583e-16,-0.5513632110619674,0.0005782816312562402,20
24,4.81056375080937,9.82969384937238e-05,3.691448898140205e-06,0.0,0.0,1.5000000000000007,4.724030039992582e-16,-0.549199960664149,0.0006687911128387743,19
25,5.006913291658733,8.490229812858496e-05,4.013019538270608e-06,0.0,0.0,1.500000000000001,4.915166856007381e-16,-0.546587215990281,0.0008420379410954508,20
26,5.203262832508095,7.101474567834098e-05,3.971168005732596e-06,0.0,0.0,1.5000000000000004,4.684036072284178e-16,-0.5434025557419769,0.0009964166950671358,20
27,5.399612373357457,5.790560173289012e-05,3.5688235316175674e-06,0.0,0.0,1.5000000000000004,3.5292631672191377e-16,-0.5397670683908743,0.0010981424461299486,19
28,5.595961914206819,4.5821012477558294e-05,3.3713672563877575e-06,0.0,0.0,1.5000000000000004,5.438959822042073e-16,-0.5355896385531098,0.0013111710524239383,20
29,5.792311455056181,3.5073267409776554e-05,2.8055879210338627e-06,0.0,0.0,1.5000000000000004,5.551115123125783e-16,-0.5308268387158486,0.0014245110351287168,20
30,5.988660995905543,2.6740030130990976e-05,1.9958502272870076e-06,0.0,0.0,1.5000000000000027,8.99789087912733e-16,-0.5260095922053785,0.0013265101602504728,19
31,6.1850105367549055,2.1044922009019094e-05,1.2657559988073273e-06,0.0,0.0,1.5000000000000058,1.0821115497893178e-15,-0.521767501729667,0.0010644347115147889,20
