start_index,end_index,n_snapshots,score,mean_slope,slope_std,mean_r2,mean_cv,mean_plateau_width,slope_drift_per_index,cv_drift_per_index
38,43,6,0.3236295246979595,-3.0035904443227337,0.052910110067137806,0.9650245632863745,0.2432632815311125,32.0,0.03094882620052244,0.0039763113576880655
37,43,7,0.3565468703141102,-2.98711840624886,0.06346276308963754,0.964287065605302,0.24300251825219693,32.0,0.03169704493073213,0.0026807670577417265
37,42,6,0.3619875151178538,-2.9708768200358704,0.05340648047258732,0.9640256746721824,0.24022404397363983,32.0,0.031225368433583537,0.0009550581581182078
37,44,8,0.3661002748867211,-3.0038508807947286,0.07405343977559031,0.964303270925615,0.24626909761385743,32.0,0.03228634631773367,0.003964897612934786
38,44,7,0.3843028991786109,-3.0203601240788873,0.0639287652303108,0.9649377268408649,0.24695926319030795,32.0,0.03192027619244176,0.005257180842951628
36,45,10,0.39960756524038166,-3.0029422297485975,0.09486274326143505,0.9636706218434595,0.2487593297013287,32.0,0.032996433721957166,0.003813559609982931
36,44,9,0.40174750732344133,-2.986479664328154,0.08537365920263863,0.9637197194925609,0.24582425163676946,32.0,0.033023172302358475,0.0030423359153071436
36,43,8,0.41052778399782436,-2.969667347042197,0.07520544051889598,0.9636325959081551,0.24291038894818057,32.0,0.0327654027582635,0.001848597574505432
39,44,6,0.4121610152824953,-3.035972489687261,0.05533365288825081,0.9655898072411876,0.2481869228572151,32.0,0.032337603177857666,0.006938297748434043
37,45,9,0.41457422260245025,-3.0202124849878245,0.08376279082976984,0.9641838789340519,0.24948086813258008,32.0,0.032417404938271055,0.0047024906402879625
36,42,7,0.42200023916651,-2.9532529789729685,0.06563829831394283,0.9633150508658889,0.24051567823741493,32.0,0.03273373606816625,0.00037818565099256976
35,46,12,0.42339530683845217,-3.000799626590308,0.11462003727073074,0.9631348279174302,0.25089857134725596,32.0,0.03315636663116232,0.0035516248876911387
38,45,8,0.434310211739983,-3.0367032733856,0.07379509367646836,0.9647241038609502,0.2504862343268147,32.0,0.032175616999436406,0.005856101319638893
36,46,11,0.4365914181921985,-3.0184607655977516,0.1029033728707805,0.9635832945262609,0.2515234093686629,32.0,0.0325065932160449,0.0042422095411543325
35,45,11,0.44030210882951115,-2.9850863086358554,0.10662642161778214,0.9631734466958989,0.24832896819318784,32.0,0.033675285847839305,0.003075350461557601
36,41,6,0.446867955104801,-2.937480322490011,0.057315039260531296,0.9626932393957278,0.23920287988638045,32.0,0.03344678992951707,0.0009702609796532979
34,47,14,0.45093444424280016,-2.997815063680808,0.13387603174846494,0.9627051737030384,0.25303840824142,32.0,0.03313136392846655,0.0032809622038134996
37,46,10,0.4515938841708341,-3.035555848897971,0.09183329439558024,0.9640364931760741,0.2524492019235226,32.0,0.03194540208791352,0.005039084351632614
35,47,13,0.45495440705952084,-3.0157370800856067,0.12167451157383351,0.9630946804288812,0.25346225004427764,32.0,0.032453196708184334,0.0038892818533380457
35,44,10,0.45517885197236785,-2.9684844076461814,0.0973358047407745,0.963167917065334,0.24564436178427046,32.0,0.03383244713733675,0.0023107296761318953
