run,output_dir,saved_index,step,fit_kmin,fit_kmax,fit_points,slope,r_squared
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,39,39000,6,40,35,-3.3090665747285364,0.9019901824869344
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,40,40000,6,40,35,-3.364565397376612,0.9016243642997008
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,41,41000,6,40,35,-3.418835066336239,0.9014505195023812
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,42,42000,6,40,35,-3.4718931584515205,0.9014357891114179
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,43,43000,6,40,35,-3.5237963069860982,0.9015342152664534
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,44,44000,6,40,35,-3.5745964357796347,0.9017029288590419
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,45,45000,6,40,35,-3.6242973203670843,0.9019175694462034
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,46,46000,6,40,35,-3.672832427883108,0.9021801393688459
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,47,47000,6,40,35,-3.7200799249571954,0.9025141558390768
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,48,48000,6,40,35,-3.7659153221224595,0.9029468191449077
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,49,49000,6,40,35,-3.8102770403308486,0.9034866559730478
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,0,0,9,35,27,-1.1172466051394239,0.8363112014594375
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,1,1000,9,35,27,-1.1800244769822403,0.8539942763320736
