ensemble,description,n,mean_slope,median_slope,std_slope,min_slope,max_slope,p10_slope,p90_slope,mean_abs_distance_from_minus3,median_abs_distance_from_minus3,mean_r_squared,min_r_squared,mean_compensated_cv,max_compensated_cv,minus3_inside_minmax,minus3_inside_p10_p90
all_tested,All 40 tested time-window and fit-range combinations,40,-2.9662855689736936,-3.000650739541195,0.16240627775560018,-3.2212107197750934,-2.6722288435150925,-3.1621386745478532,-2.7519963474265423,0.14085368754219915,0.13454311950627096,0.9651688608248035,0.958395052922218,0.22997149711965176,0.25734164210696986,True,True
high_quality,R^2 >= 0.95 and compensated CV <= 0.30,40,-2.9662855689736936,-3.000650739541195,0.16240627775560018,-3.2212107197750934,-2.6722288435150925,-3.1621386745478532,-2.7519963474265423,0.14085368754219915,0.13454311950627096,0.9651688608248035,0.958395052922218,0.22997149711965176,0.25734164210696986,True,True
near_minus3,abs(slope + 3) <= 0.25,36,-2.9947557172265893,-3.029153234379071,0.14482467341649252,-3.2212107197750934,-2.7526341855939123,-3.162227424975077,-2.792485268585909,0.12428790112440262,0.13204564581863432,0.9646905363977218,0.958395052922218,0.23246313777096603,0.25734164210696986,True,True
accepted_high_quality_near_minus3,"Intersection: R^2 >= 0.95, CV <= 0.30, and abs(slope + 3) <= 0.25",36,-2.9947557172265893,-3.029153234379071,0.14482467341649252,-3.2212107197750934,-2.7526341855939123,-3.162227424975077,-2.792485268585909,0.12428790112440262,0.13204564581863432,0.9646905363977218,0.958395052922218,0.23246313777096603,0.25734164210696986,True,True
core_fit_k_9_41,All tested windows using the baseline/core fit range k=9:41,8,-3.0002615178547374,-3.000650739541195,0.04235742340630239,-3.0645867753605214,-2.9355842638826064,-3.042571231383933,-2.957098506833006,0.03255406304509595,0.03268703457821043,0.9664395985700951,0.9641926866001533,0.23613422952803703,0.24627223693882938,True,True
