phase,test_type,method,N64_result,N128_result,both_method_results_pass,N64_final_rms,N128_final_rms,final_rms_relative_difference,N64_final_energy,N128_final_energy,final_energy_relative_difference,N64_final_enstrophy,N128_final_enstrophy,final_enstrophy_relative_difference,N64_dominant_shell,N128_dominant_shell,dominant_shell_same,N64_low_k_fraction_k_le_4,N128_low_k_fraction_k_le_4,low_k_absolute_difference,N64_high_k_fraction_k_ge_10,N128_high_k_fraction_k_ge_10,high_k_absolute_difference,N64_spectrum_direct_relative_error,N128_spectrum_direct_relative_error,spectrum_error_absolute_difference,numeric_finite,consistency_result
12A,method_resolution_consistency,fd_centered,PASS,PASS,PASS,0.0138383261748864,0.0138383254141516,5.497303879187615e-08,1.0816100364762377e-05,1.0816099910964457e-05,4.1955781091314984e-08,9.574963566127409e-05,9.57496251339775e-05,1.099460867460294e-07,3.0,3.0,PASS,0.9999994138820876,0.9999993822142555,3.1667832023352105e-08,3.940095470626035e-14,4.8111729431662725e-14,8.710774725402373e-15,1.5662446143969546e-16,6.264978720439882e-16,4.698734106042928e-16,PASS,PASS
12A,method_resolution_consistency,pseudo_spectral,PASS,PASS,PASS,0.0138383251416208,0.013838325141622,8.674667151484831e-14,1.0816099748267923e-05,1.08160997482699e-05,1.8278075691820112e-13,9.57496213626075e-05,9.574962136262437e-05,1.7607739375072452e-13,3.0,3.0,PASS,0.9999993713576256,0.9999993713576258,2.220446049250313e-16,5.145804156149937e-14,5.145804105619643e-14,5.053029343295976e-22,1.566244703669533e-16,4.698734111007742e-16,3.132489407338209e-16,PASS,PASS
12A,method_resolution_consistency,arakawa,PASS,PASS,PASS,0.0138383251131135,0.0138383251340101,1.5100527137422789e-09,1.081609967044019e-05,1.0816099727726753e-05,5.296415919227938e-09,9.57496209681148e-05,9.57496212572892e-05,3.020110175399869e-09,3.0,3.0,PASS,0.9999994315887628,0.9999993869242946,4.4664468235033894e-08,3.456885984340001e-14,4.663544254778328e-14,1.206658270438327e-14,1.5662447149395176e-16,4.698734119932103e-16,3.1324894049925854e-16,PASS,PASS
