run,output_dir,saved_index,step,peak_k,peak_kmin,peak_kmax,mid_kmin,mid_kmax,total_energy,peak_mode_energy,midrange_energy,high_k_energy,peak_fraction,midrange_fraction,high_k_fraction
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,22,22000,3.0,2.0,4.0,9,35,6.762182674598761e-05,6.762182516148163e-05,4.3045544364991383e-13,5.327562447729798e-15,0.9999999765681281,6.365628737994056e-09,7.878465732288003e-11
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,23,23000,3.0,2.0,4.0,9,35,7.388651070325847e-05,7.388650913177827e-05,4.22221935378757e-13,4.6158951825124044e-15,0.9999999787311624,5.714465757822512e-09,6.247277261543276e-11
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,24,24000,3.0,2.0,4.0,9,35,8.04266691592376e-05,8.042666760048242e-05,4.1424699457434607e-13,4.010977538773961e-15,0.9999999806189265,5.150617312699773e-09,4.987123774618323e-11
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,25,25000,3.0,2.0,4.0,9,35,8.724205312166775e-05,8.724205157537874e-05,4.0650742279411234e-13,3.4942013093781784e-15,0.9999999822758754,4.659535261362971e-09,4.005180052909995e-11
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,26,26000,3.0,2.0,4.0,9,35,9.433241377276684e-05,9.433241223872287e-05,3.9897941834317976e-13,3.0502584333445816e-15,0.9999999837378912,4.229505027871582e-09,3.23352102564895e-11
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,27,27000,3.0,2.0,4.0,9,35,0.00010169750246911929,0.00010169750094713346,3.916386739681298e-13,2.6668021928603247e-15,0.9999999850341867,3.851015653870673e-09,2.6222887761379452e-11
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,28,28000,3.0,2.0,4.0,9,35,0.00010933707074156137,0.00010933706923147799,3.8446074612425467e-13,2.3341057507634493e-15,0.9999999861887339,3.5162890638711147e-09,2.1347798463345932e-11
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,29,29000,3.0,2.0,4.0,9,35,0.00011725087029507046,0.00011725086879676213,3.7742173229746573e-13,2.0446539703238494e-15,0.9999999872213458,3.2189247836511244e-09,1.7438283956258293e-11
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,30,30000,3.0,2.0,4.0,9,35,0.00012543865300864912,0.0001254386515220146,3.704992198847632e-13,1.79265436885237e-15,0.9999999881485133,2.9536288137534203e-09,1.4291084333700273e-11
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,31,31000,3.0,2.0,4.0,9,35,0.00013390017093521707,0.00013390016946017867,3.636733725116726e-13,1.5735132171789614e-15,0.9999999889840439,2.716003795750367e-09,1.1751390653117619e-11
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,32,32000,3.0,2.0,4.0,9,35,0.00014263517630149676,0.00014263517483799898,3.569279259449423e-13,1.3833707133063232e-15,0.9999999897395733,2.502383599894613e-09,9.69866444713615e-12
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,33,33000,3.0,2.0,4.0,9,35,0.00015164342150790125,0.00015164342005590824,3.5025081882477954e-13,1.2187978712898266e-15,0.9999999904249521,2.3097000538630687e-09,8.037261749770808e-12
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,34,34000,3.0,2.0,4.0,9,35,0.00016092465912842437,0.0001609246576879186,3.436342257663375e-13,1.0767101444908791e-15,0.9999999910485703,2.1353733332571705e-09,6.690771633896213e-12
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,35,35000,3.0,2.0,4.0,9,35,0.0001704786419105246,0.0001704786404815051,3.3707391094341465e-13,9.544575577533283e-16,0.9999999916176039,1.9772207659908932e-09,5.598692874702003e-12
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,36,36000,3.0,2.0,4.0,9,35,0.00018030512277501895,0.00018030512135749934,3.305680520136919e-13,8.499503118769376e-16,0.9999999921382178,1.833381364467209e-09,4.713955426199888e-12
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,37,37000,3.0,2.0,4.0,9,35,0.000190403854815969,0.00019040385340997627,3.2411591736512295e-13,7.616361114596011e-16,0.9999999926157339,1.7022550183051212e-09,4.000108675298329e-12
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,38,38000,3.0,2.0,4.0,9,35,0.00020077459130056708,0.00020077458990613975,3.17716903511679e-13,6.882123011027526e-16,0.999999993054762,1.582455735327808e-09,3.427785840054198e-12
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,39,39000,3.0,2.0,4.0,9,35,0.00021141708566902725,0.00021141708428621363,3.113703632989104e-13,6.281285432891535e-16,0.99999999345931,1.4727776722187897e-09,2.9710396456438084e-12
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,40,40000,3.0,2.0,4.0,9,35,0.00022233109153447397,0.00022233109016333094,3.050763679597545e-13,5.791318853020992e-16,0.9999999938328777,1.3721714127079268e-09,2.6048173528275993e-12
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,41,41000,3.0,2.0,4.0,9,35,0.000233516362682829,0.00023351636132341988,2.988371459525267e-13,5.381907146708691e-16,0.9999999941785274,1.2797267931002287e-09,2.304723782469414e-12
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,42,42000,3.0,2.0,4.0,9,35,0.0002449726530727029,0.0002449726517250963,2.926586091713834e-13,5.020007603722353e-16,0.9999999944989509,1.1946582832840868e-09,2.0492114286048563e-12
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,43,43000,3.0,2.0,4.0,9,35,0.0002566997168352837,0.0002566997154995516,2.865512838027541e-13,4.679433188713081e-16,0.9999999947965188,1.116289832086668e-09,1.8229210559338983e-12
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,44,44000,3.0,2.0,4.0,9,35,0.00026869730827421825,0.00026869730695043445,2.805301668759508e-13,4.3501352445822325e-16,0.9999999950733269,1.0440378754730828e-09,1.6189723940750142e-12
