method_a,method_b_reference,N,Re,nu,dt,steps,final_time,method_a_l2,method_b_l2,diff_l2,diff_max_abs,relative_error_vs_method_b,cosine_similarity,method_a_energy,method_b_energy,energy_abs_diff,method_a_enstrophy,method_b_enstrophy,enstrophy_abs_diff,positive_alignment,no_large_pairwise_disagreement,pairwise_result
pseudo_spectral,fd_centered,128,1000000,1e-06,0.001,1000,1.0,0.009999889308042496,0.00999988951644766,2.3323086848111882e-07,8.542671117595796e-07,2.3323344532707523e-05,0.9999999997280109,5.059581224752943e-06,5.059581310709718e-06,8.595677473835842e-14,4.999889308655131e-05,4.9998895170579906e-05,2.0840285944981503e-12,PASS,PASS,PASS
arakawa,fd_centered,128,1000000,1e-06,0.001,1000,1.0,0.009999889308046815,0.00999988951644766,1.3111421387602942e-07,3.9326424546969746e-07,1.3111566248844533e-05,0.9999999999140439,5.0595812247529685e-06,5.059581310709718e-06,8.595674932737e-14,4.99988930865945e-05,4.9998895170579906e-05,2.083985402594104e-12,PASS,PASS,PASS
arakawa,pseudo_spectral,128,1000000,1e-06,0.001,1000,1.0,0.009999889308046815,0.009999889308042496,2.6826844374128414e-07,1.0667356139778053e-06,2.682714132900721e-05,0.9999999996401524,5.0595812247529685e-06,5.059581224752943e-06,2.541098841762901e-20,4.99988930865945e-05,4.999889308655131e-05,4.319190404639128e-17,PASS,PASS,PASS
