method,N,Re,nu,dt,steps,final_time,forcing_zero,initial_rms,final_rms,final_rms_ratio,initial_energy,final_energy,relative_energy_drift,final_energy_ratio,initial_enstrophy,final_enstrophy,relative_enstrophy_drift,final_enstrophy_ratio,initial_max_abs_vorticity,final_max_abs_vorticity,finite_throughout,real_throughout,input_not_mutated_each_step,solver_w_unchanged,run_disabled,metadata_method_ok,metadata_run_disabled_ok,metadata_no_turbulence_claim,metadata_no_k_minus_3_claim,final_rms_nonexplosive,final_energy_nonexplosive,final_enstrophy_nonexplosive,energy_monotone_nonincreasing_logged,enstrophy_monotone_nonincreasing_logged,overall_result
fd_centered,64,1000000,1e-06,0.001,5000,5.0,PASS,0.01,0.009999466242702442,0.9999466242702442,5.059681223643773e-06,5.059189410024989e-06,-9.72024910355387e-05,0.9999027975089645,5e-05,4.999466256947285e-05,-0.00010674861054309139,0.999893251389457,0.031829093294364445,0.031832321007355696,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
pseudo_spectral,64,1000000,1e-06,0.001,5000,5.0,PASS,0.01,0.009999446535699088,0.9999446535699088,5.059681223643773e-06,5.059181251322257e-06,-9.881498446584566e-05,0.9999011850155342,5e-05,4.9994465510152245e-05,-0.00011068979695514855,0.9998893102030448,0.031829093294364445,0.0318323466654843,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
arakawa,64,1000000,1e-06,0.001,5000,5.0,PASS,0.01,0.009999446537769316,0.9999446537769315,5.059681223643773e-06,5.059181251322195e-06,-9.881498447806646e-05,0.9999011850155219,5e-05,4.999446553085337e-05,-0.00011068938293262677,0.9998893106170674,0.031829093294364445,0.03183123355251785,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
