method,N,Re,nu,dt,steps,step,time,rms_vorticity,kinetic_energy,enstrophy,max_abs_vorticity,finite,real
fd_centered,64,1000000,1e-06,0.001,1000,0,0.0,0.01,5.059681223643773e-06,5e-05,0.031829093294364445,PASS,PASS
fd_centered,64,1000000,1e-06,0.001,1000,100,0.1,0.0103547733898573,5.511018300345792e-06,5.361066597764843e-05,0.03280994134619256,PASS,PASS
fd_centered,64,1000000,1e-06,0.001,1000,200,0.2,0.010721130832349516,5.993604261807748e-06,5.7471323162177715e-05,0.03379077762499928,PASS,PASS
fd_centered,64,1000000,1e-06,0.001,1000,300,0.3,0.01109792511865412,6.507439031968148e-06,6.158197096962703e-05,0.03477160216399166,PASS,PASS
fd_centered,64,1000000,1e-06,0.001,1000,400,0.4,0.01148412894538238,7.052522534698446e-06,6.59426088170847e-05,0.035752414996849065,PASS,PASS
fd_centered,64,1000000,1e-06,0.001,1000,500,0.5,0.011878824531298519,7.628854693803267e-06,7.055323612268973e-05,0.036733216157732076,PASS,PASS
fd_centered,64,1000000,1e-06,0.001,1000,600,0.6,0.012281193126535694,8.236435433020678e-06,7.54138523056338e-05,0.037714005681291414,PASS,PASS
fd_centered,64,1000000,1e-06,0.001,1000,700,0.7000000000000001,0.012690504858843248,8.875264676022309e-06,8.052445678616204e-05,0.038694783602678376,PASS,PASS
fd_centered,64,1000000,1e-06,0.001,1000,800,0.8,0.013106109185076636,9.545342346413643e-06,8.588504898557507e-05,0.039675549957555165,PASS,PASS
fd_centered,64,1000000,1e-06,0.001,1000,900,0.9,0.013527426091184545,1.0246668367734147e-05,9.149562832623019e-05,0.040656304782106426,PASS,PASS
fd_centered,64,1000000,1e-06,0.001,1000,1000,1.0,0.013953938098726294,1.0979242663457463e-05,9.735619423154259e-05,0.041637048113051425,PASS,PASS
pseudo_spectral,64,1000000,1e-06,0.001,1000,0,0.0,0.01,5.059681223643773e-06,5e-05,0.031829093294364445,PASS,PASS
pseudo_spectral,64,1000000,1e-06,0.001,1000,100,0.1,0.010354773381678064,5.511018296830174e-06,5.361066589295427e-05,0.03280994196391493,PASS,PASS
pseudo_spectral,64,1000000,1e-06,0.001,1000,200,0.2,0.010721130798434134,5.993604246587064e-06,5.747132279856646e-05,0.0337907787878403,PASS,PASS
pseudo_spectral,64,1000000,1e-06,0.001,1000,300,0.3,0.011097925039728649,6.507438995026246e-06,6.158197009371806e-05,0.03477160380253472,PASS,PASS
pseudo_spectral,64,1000000,1e-06,0.001,1000,400,0.4,0.011484128800548984,7.052522464073365e-06,6.594260715379932e-05,0.0357524170449057,PASS,PASS
pseudo_spectral,64,1000000,1e-06,0.001,1000,500,0.5,0.011878824298112167,7.6288545754679976e-06,7.055323335271001e-05,0.03673321855238366,PASS,PASS
pseudo_spectral,64,1000000,1e-06,0.001,1000,600,0.6,0.012281192781066522,8.236435250763803e-06,7.541384806286023e-05,0.03771400836293114,PASS,PASS
pseudo_spectral,64,1000000,1e-06,0.001,1000,700,0.7000000000000001,0.012690504375726863,8.875264411328616e-06,8.052445065517133e-05,0.038694786515053425,PASS,PASS
pseudo_spectral,64,1000000,1e-06,0.001,1000,800,0.8,0.013106108537554303,9.545341978344613e-06,8.588504049907689e-05,0.039675553047810216,PASS,PASS
pseudo_spectral,64,1000000,1e-06,0.001,1000,900,0.9,0.013527425251135036,1.0246667872808327e-05,9.149561696252289e-05,0.040656308000827535,PASS,PASS
pseudo_spectral,64,1000000,1e-06,0.001,1000,1000,1.0,0.013953937036691065,1.0979242015530884e-05,9.73561794119693e-05,0.04163705141431055,PASS,PASS
arakawa,64,1000000,1e-06,0.001,1000,0,0.0,0.01,5.059681223643773e-06,5e-05,0.031829093294364445,PASS,PASS
arakawa,64,1000000,1e-06,0.001,1000,100,0.1,0.010354773381624183,5.511018296760413e-06,5.3610665892396355e-05,0.032809919666971644,PASS,PASS
arakawa,64,1000000,1e-06,0.001,1000,200,0.2,0.010721130798010355,5.993604246018962e-06,5.747132279402307e-05,0.033790734683638815,PASS,PASS
arakawa,64,1000000,1e-06,0.001,1000,300,0.3,0.011097925038322834,6.5074389930754165e-06,6.158197007811645e-05,0.034771538377904,PASS,PASS
arakawa,64,1000000,1e-06,0.001,1000,400,0.4,0.011484128797273474,7.052522459369766e-06,6.594260711618294e-05,0.035752330783747385,PASS,PASS
arakawa,64,1000000,1e-06,0.001,1000,500,0.5,0.011878824291822859,7.628854566126155e-06,7.055323327800042e-05,0.03673311193559928,PASS,PASS
arakawa,64,1000000,1e-06,0.001,1000,600,0.6,0.01228119277038013,8.236435234352958e-06,7.541384793161859e-05,0.03771388186834744,PASS,PASS
arakawa,64,1000000,1e-06,0.001,1000,700,0.7000000000000001,0.012690504359036282,8.87526438484283e-06,8.052445044335943e-05,0.038694640617346,PASS,PASS
arakawa,64,1000000,1e-06,0.001,1000,800,0.8,0.01310610851304216,9.545341938172864e-06,8.58850401778181e-05,0.03967538821842484,PASS,PASS
arakawa,64,1000000,1e-06,0.001,1000,900,0.9,0.013527425216785597,1.0246667814704645e-05,9.149561649786342e-05,0.04065612470789929,PASS,PASS
arakawa,64,1000000,1e-06,0.001,1000,1000,1.0,0.013953936990300486,1.0979241934584279e-05,9.735617876463808e-05,0.04163685012258074,PASS,PASS
