method_a,method_b_reference,N,Re,nu,dt,steps,final_time,method_a_l2,method_b_l2,diff_l2,diff_max_abs,relative_error_vs_method_b,cosine_similarity,method_a_energy,method_b_energy,energy_abs_diff,method_a_enstrophy,method_b_enstrophy,enstrophy_abs_diff,positive_alignment,no_large_pairwise_disagreement,pairwise_result
pseudo_spectral,fd_centered,64,1000000,1e-06,0.001,1000,1.0,0.009999889308041536,0.009999890095266997,9.271077934012329e-07,3.3572091941626997e-06,9.2711798286667e-05,0.9999999957022643,5.059581224751877e-06,5.059581548908734e-06,3.241568568540629e-13,4.999889308654172e-05,4.99989009587095e-05,7.872167774960505e-12,PASS,PASS,PASS
arakawa,fd_centered,64,1000000,1e-06,0.001,1000,1.0,0.009999889308058113,0.009999890095266997,5.157686719299266e-07,1.5304237215591626e-06,5.1577434053404524e-05,0.9999999986698873,5.0595812247518894e-06,5.059581548908734e-06,3.241568441485687e-13,4.9998893086707484e-05,4.99989009587095e-05,7.872002014000859e-12,PASS,PASS,PASS
arakawa,pseudo_spectral,64,1000000,1e-06,0.001,1000,1.0,0.009999889308058113,0.009999889308041536,1.058264569272612e-06,4.2050022824677985e-06,0.00010582762835400541,0.9999999944002566,5.0595812247518894e-06,5.059581224751877e-06,1.2705494208814505e-20,4.9998893086707484e-05,4.999889308654172e-05,1.6576095964587756e-16,PASS,PASS,PASS
