phase,test_type,method,N,Re,dt,steps,final_time,log_every,initial_rms,initial_energy,initial_enstrophy,run_disabled,final_w_exists,final_w_finite,final_w_real,final_w_shape_ok,solver_w_unchanged,initial_w_unchanged,output_keys_present,output_files_exist,initial_state_matches,final_state_matches,diagnostics_columns_ok,diagnostics_rows_ok,diagnostics_steps_ok,diagnostics_step0_present,diagnostics_final_step_present,diagnostics_numeric_finite,diagnostics_finite_flags_ok,diagnostics_real_flags_ok,diagnostics_time_monotone,spectrum_columns_ok,spectrum_file_finite,spectrum_file_nonnegative,metadata_method_ok,metadata_diagnostic_method_ok,metadata_run_enabled_false,metadata_run_method_enabled_false,metadata_production_ready_false,metadata_turbulence_false,metadata_k_minus_3_false,summary_method_ok,summary_production_ready_false,summary_turbulence_false,summary_k_minus_3_false,final_rms,final_energy,final_enstrophy,final_max_abs,rms_ratio,energy_ratio,enstrophy_ratio,rms_ratio_ok,energy_ratio_ok,enstrophy_ratio_ok,diagnostics_min_rms,diagnostics_max_rms,diagnostics_min_energy,diagnostics_max_energy,diagnostics_min_enstrophy,diagnostics_max_enstrophy,spectrum_energy_sum,spectrum_direct_relative_error,spectrum_direct_relative_error_ok,dominant_shell,low_k_fraction_k_le_4,high_k_fraction_k_ge_10,method_result,run_path
11V,method_audit,fd_centered,128,1000,0.001,1000,1.0,100,0.01,5.059681223643774e-06,4.9999999999999996e-05,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.013838325414151633,1.0816099910964457e-05,9.57496251339775e-05,0.04128885381453009,1.3838325414151633,2.1377038261661765,1.91499250267955,PASS,PASS,PASS,0.01,0.0138383254141516,5.059681223643774e-06,1.0816099910964457e-05,5e-05,9.57496251339775e-05,1.081609991096445e-05,6.264978720439882e-16,PASS,3.0,0.9999993822142555,4.8111729431662725e-14,PASS,experiments\selectable_diagnostics\phase11V_N128_fd_centered
11V,method_audit,pseudo_spectral,128,1000,0.001,1000,1.0,100,0.01,5.059681223643774e-06,4.9999999999999996e-05,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.013838325141622042,1.0816099748269899e-05,9.574962136262437e-05,0.04128885568852364,1.3838325141622043,2.1377037940110757,1.9149924272524874,PASS,PASS,PASS,0.01,0.013838325141622,5.059681223643774e-06,1.08160997482699e-05,5e-05,9.574962136262437e-05,1.0816099748269894e-05,4.698734111007742e-16,PASS,3.0,0.9999993713576258,5.145804105619643e-14,PASS,experiments\selectable_diagnostics\phase11V_N128_pseudo_spectral
11V,method_audit,arakawa,128,1000,0.001,1000,1.0,100,0.01,5.059681223643774e-06,4.9999999999999996e-05,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.013838325134010199,1.0816099727726753e-05,9.574962125728919e-05,0.04128880322810676,1.3838325134010199,2.1377037899509097,1.914992425145784,PASS,PASS,PASS,0.01,0.0138383251340101,5.059681223643774e-06,1.0816099727726753e-05,5e-05,9.57496212572892e-05,1.0816099727726748e-05,4.698734119932103e-16,PASS,3.0,0.9999993869242946,4.663544254778328e-14,PASS,experiments\selectable_diagnostics\phase11V_N128_arakawa
