N,method_a,method_b_reference,spectrum_diff_l2,spectrum_diff_max_abs,relative_spectrum_error,spectrum_cosine_similarity,method_a_direct_energy,method_b_direct_energy,direct_energy_relative_difference,method_a_spectrum_energy_sum,method_b_spectrum_energy_sum,spectrum_energy_relative_difference,method_a_enstrophy,method_b_enstrophy,enstrophy_relative_difference,method_a_dominant_shell,method_b_dominant_shell,dominant_shell_agreement,method_a_low_k_fraction,method_b_low_k_fraction,low_k_fraction_abs_difference,method_a_high_k_fraction,method_b_high_k_fraction,high_k_fraction_abs_difference,spectrum_cosine_ok,relative_spectrum_error_ok,direct_energy_difference_ok,spectrum_energy_difference_ok,low_k_fraction_difference_ok,high_k_fraction_difference_ok,pairwise_result
64,pseudo_spectral,fd_centered,3.024849741831769e-13,1.7171428113246326e-12,1.961468317670261e-07,0.9999999999999823,1.0979242015530884e-05,1.0979242663457463e-05,5.901377707500374e-08,1.0979242015530879e-05,1.0979242663457456e-05,5.9013776920706625e-08,9.73561794119693e-05,9.735619423154259e-05,1.5222013767395785e-07,3.0,3.0,PASS,0.9999993421580775,0.9999993866682462,4.451016866191537e-08,5.803815274165572e-14,4.444260485332445e-14,1.3595547888331274e-14,PASS,PASS,PASS,PASS,PASS,PASS,PASS
64,arakawa,fd_centered,1.8262824667057413e-13,1.076172071446638e-12,1.184255584011496e-07,0.9999999999999983,1.0979241934584279e-05,1.0979242663457463e-05,6.638647188007917e-08,1.0979241934584274e-05,1.0979242663457456e-05,6.638647172578206e-08,9.735617876463808e-05,9.735619423154259e-05,1.5886923915015224e-07,3.0,3.0,PASS,0.9999994052424742,0.9999993866682462,1.8574228044521135e-08,3.898503509839888e-14,4.444260485332445e-14,5.457569754925572e-15,PASS,PASS,PASS,PASS,PASS,PASS,PASS
64,arakawa,pseudo_spectral,2.711361775713783e-13,1.6083868697087017e-12,1.7581866812457584e-07,0.9999999999999857,1.0979241934584279e-05,1.0979242015530884e-05,7.37269524016602e-09,1.0979241934584274e-05,1.0979242015530879e-05,7.372695240166023e-09,9.735617876463808e-05,9.73561794119693e-05,6.649102488321681e-09,3.0,3.0,PASS,0.9999994052424742,0.9999993421580775,6.308439670643651e-08,3.898503509839888e-14,5.803815274165572e-14,1.9053117643256846e-14,PASS,PASS,PASS,PASS,PASS,PASS,PASS
128,pseudo_spectral,fd_centered,5.504724852040093e-14,4.4465764381420697e-13,5.076069567639548e-08,0.9999999999999987,1.0979242015532832e-05,1.0979242186596745e-05,1.5580666665593214e-08,1.0979242015532827e-05,1.0979242186596738e-05,1.5580666511296065e-08,9.7356179411986e-05,9.735618332269813e-05,4.016911927866465e-08,3.0,3.0,PASS,0.9999993421580773,0.9999993535219105,1.1363833207767016e-08,5.803815205372491e-14,5.4264283878357086e-14,3.773868175367828e-15,PASS,PASS,PASS,PASS,PASS,PASS,PASS
128,arakawa,fd_centered,3.371975963076541e-14,2.831616912517612e-13,3.1093987490839664e-08,0.9999999999999999,1.0979241994174226e-05,1.0979242186596745e-05,1.752602921904755e-08,1.0979241994174219e-05,1.0979242186596738e-05,1.752602921904756e-08,9.735617924117959e-05,9.735618332269813e-05,4.1923567707580556e-08,3.0,3.0,PASS,0.9999993584626122,0.9999993535219105,4.9407017366220884e-09,5.2597345829205287e-14,5.4264283878357086e-14,1.6669380491517992e-15,PASS,PASS,PASS,PASS,PASS,PASS,PASS
128,arakawa,pseudo_spectral,4.950194664418058e-14,4.170998644736847e-13,4.564720952450173e-08,0.9999999999999991,1.0979241994174226e-05,1.0979242015532832e-05,1.945362583764382e-09,1.0979241994174219e-05,1.0979242015532827e-05,1.9453627380615455e-09,9.735617924117959e-05,9.7356179411986e-05,1.7544484993905511e-09,3.0,3.0,PASS,0.9999993584626122,0.9999993421580773,1.6304534944389104e-08,5.2597345829205287e-14,5.803815205372491e-14,5.440806224519627e-15,PASS,PASS,PASS,PASS,PASS,PASS,PASS
