method,N,Re,nu,dt,steps,final_time,forcing_zero,initial_rms,final_rms,final_rms_ratio,initial_energy,final_energy,relative_energy_drift,final_energy_ratio,initial_enstrophy,final_enstrophy,relative_enstrophy_drift,final_enstrophy_ratio,initial_max_abs_vorticity,final_max_abs_vorticity,finite_throughout,real_throughout,input_not_mutated_each_step,solver_w_unchanged,run_disabled,metadata_method_ok,metadata_run_disabled_ok,metadata_no_turbulence_claim,metadata_no_k_minus_3_claim,final_rms_nonexplosive,final_energy_nonexplosive,final_enstrophy_nonexplosive,energy_monotone_nonincreasing_logged,enstrophy_monotone_nonincreasing_logged,overall_result
fd_centered,128,1000000,1e-06,0.001,1000,1.0,PASS,0.01,0.00999988951644766,0.999988951644766,5.059681223643774e-06,5.059581310709718e-06,-1.9746883180955043e-05,0.999980253116819,4.9999999999999996e-05,4.9998895170579906e-05,-2.20965884017944e-05,0.9999779034115982,0.031829093294364445,0.03182977656961643,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
pseudo_spectral,128,1000000,1e-06,0.001,1000,1.0,PASS,0.01,0.009999889308042496,0.9999889308042496,5.059681223643774e-06,5.059581224752943e-06,-1.9763871756112047e-05,0.9999802361282439,4.9999999999999996e-05,4.999889308655131e-05,-2.2138268973684363e-05,0.9999778617310263,0.031829093294364445,0.03182977815779816,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
arakawa,128,1000000,1e-06,0.001,1000,1.0,PASS,0.01,0.009999889308046815,0.9999889308046815,5.059681223643774e-06,5.0595812247529685e-06,-1.9763871751089796e-05,0.9999802361282489,4.9999999999999996e-05,4.99988930865945e-05,-2.2138268109846282e-05,0.9999778617318902,0.031829093294364445,0.03182972036112121,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
