phase,test_type,method_a,method_b,pair,N,Re,dt,steps,final_time,field_max_abs_difference,field_l2_difference,field_relative_l2_difference,energy_relative_difference,enstrophy_relative_difference,rms_relative_difference,spectrum_relative_l2_difference,spectrum_energy_sum_relative_difference,spectrum_cosine_similarity,dominant_shell_a,dominant_shell_b,dominant_shell_matches,spectra_same_length,spectra_same_k_bins,metrics_finite,pairwise_result
12I,pairwise_comparison,pseudo_spectral,fd_centered,pseudo_spectral vs fd_centered,256,1000,0.001,500,0.5,1.1782348154597277e-07,3.2927244091859584e-08,2.7851042745750086e-06,1.0216373567754742e-09,2.6064788798852835e-09,1.3032394457677876e-09,3.603956018851144e-09,1.0216371328290907e-09,1.0,3.0,3.0,PASS,PASS,PASS,PASS,PASS
12I,pairwise_comparison,arakawa,fd_centered,arakawa vs fd_centered,256,1000,0.001,500,0.5,5.304063741256443e-08,1.805274543988107e-08,1.5269658873412183e-06,1.1026008049181344e-09,2.6537716834350078e-09,1.3268858716291617e-09,2.0816999553743524e-09,1.1026008049181348e-09,1.0000000000000002,3.0,3.0,PASS,PASS,PASS,PASS,PASS
12I,pairwise_comparison,arakawa,pseudo_spectral,arakawa vs pseudo_spectral,256,1000,0.001,500,0.5,1.4555719874721762e-07,3.7769157783725294e-08,3.1946506860453037e-06,8.09634482253754e-11,4.7292803672991815e-11,2.3646425892191104e-11,3.3467773666811036e-09,8.096367217175953e-11,0.9999999999999999,3.0,3.0,PASS,PASS,PASS,PASS,PASS
