row_type,run,saved_index,step,window_start_index,window_end_index,fit_kmin,fit_kmax,removed_k,fit_points,baseline_slope,loo_slope,slope_change,abs_slope_change,baseline_r_squared,loo_r_squared,r_squared_change,abs_r_squared_change,loo_rmse_log10,within_near_minus3_band,loo_slope_mean,loo_slope_median,loo_slope_std,loo_slope_min,loo_slope_max,max_abs_slope_change,mean_abs_slope_change,median_abs_slope_change,most_influential_k_by_slope,most_influential_slope_after_removal,most_influential_slope_change,loo_r_squared_mean,loo_r_squared_min,loo_r_squared_max,max_abs_r_squared_change,most_influential_k_by_r2,most_influential_r2_after_removal,most_influential_r2_change,n_leave_one_out_fits,n_within_near_minus3_band,n_snapshots_all_within_near_minus3_band
window_baseline,nu_5e-05_f_0.01_m_2,38:43,38000:43000,38,43,9,41,none,33,-3.0004034112696227,-3.0004034112696227,0.0,0.0,0.9668214210155479,0.9668214210155479,0.0,0.0,0.10389951559249794,True,,,,,,,,,,,,,,,,,,,,,
window_leave_one_out,nu_5e-05_f_0.01_m_2,38:43,38000:43000,38,43,9,41,9,32,-3.0004034112696227,-3.0369061587191024,-0.03650274744947968,0.03650274744947968,0.9668214210155479,0.9630711497210559,-0.0037502712944920136,0.0037502712944920136,0.10419339026966608,True,,,,,,,,,,,,,,,,,,,,,
window_leave_one_out,nu_5e-05_f_0.01_m_2,38:43,38000:43000,38,43,9,41,10,32,-3.0004034112696227,-3.07782938844645,-0.07742597717682731,0.07742597717682731,0.9668214210155479,0.9694664594777268,0.0026450384621788947,0.0026450384621788947,0.09745175330940736,True,,,,,,,,,,,,,,,,,,,,,
window_leave_one_out,nu_5e-05_f_0.01_m_2,38:43,38000:43000,38,43,9,41,11,32,-3.0004034112696227,-3.0303416213800265,-0.029938210110403762,0.029938210110403762,0.9668214210155479,0.965286591593692,-0.0015348294218558989,0.0015348294218558989,0.10397886830045637,True,,,,,,,,,,,,,,,,,,,,,
window_leave_one_out,nu_5e-05_f_0.01_m_2,38:43,38000:43000,38,43,9,41,12,32,-3.0004034112696227,-3.0396921494637956,-0.03928873819417289,0.03928873819417289,0.9668214210155479,0.9674485248001542,0.0006271037846062866,0.0006271037846062866,0.10200962618655837,True,,,,,,,,,,,,,,,,,,,,,
window_leave_one_out,nu_5e-05_f_0.01_m_2,38:43,38000:43000,38,43,9,41,13,32,-3.0004034112696227,-2.9992402938997285,0.0011631173698942732,0.0011631173698942732,0.9668214210155479,0.9649463514444715,-0.0018750695710764154,0.0018750695710764154,0.10550646183968175,True,,,,,,,,,,,,,,,,,,,,,
window_leave_one_out,nu_5e-05_f_0.01_m_2,38:43,38000:43000,38,43,9,41,14,32,-3.0004034112696227,-3.0080851417010646,-0.0076817304314418244,0.0076817304314418244,0.9668214210155479,0.9657566988517513,-0.0010647221637966053,0.0010647221637966053,0.10527664139155651,True,,,,,,,,,,,,,,,,,,,,,
window_leave_one_out,nu_5e-05_f_0.01_m_2,38:43,38000:43000,38,43,9,41,15,32,-3.0004034112696227,-3.0050877485241,-0.0046843372544773665,0.0046843372544773665,0.9668214210155479,0.9659855313879376,-0.0008358896276102756,0.0008358896276102756,0.10539183295005156,True,,,,,,,,,,,,,,,,,,,,,
window_leave_one_out,nu_5e-05_f_0.01_m_2,38:43,38000:43000,38,43,9,41,16,32,-3.0004034112696227,-2.9943869367484366,0.006016474521186144,0.006016474521186144,0.9668214210155479,0.966137395261693,-0.0006840257538549555,0.0006840257538549555,0.10523608725746908,True,,,,,,,,,,,,,,,,,,,,,
window_leave_one_out,nu_5e-05_f_0.01_m_2,38:43,38000:43000,38,43,9,41,17,32,-3.0004034112696227,-2.9809338777505894,0.019469533519033355,0.019469533519033355,0.9668214210155479,0.9685084262873752,0.001687005271827302,0.001687005271827302,0.10125427110735223,True,,,,,,,,,,,,,,,,,,,,,
window_leave_one_out,nu_5e-05_f_0.01_m_2,38:43,38000:43000,38,43,9,41,18,32,-3.0004034112696227,-2.99391774928991,0.006485661979712898,0.006485661979712898,0.9668214210155479,0.966793156710156,-2.826430539193403e-05,2.826430539193403e-05,0.10479915819790836,True,,,,,,,,,,,,,,,,,,,,,
window_leave_one_out,nu_5e-05_f_0.01_m_2,38:43,38000:43000,38,43,9,41,19,32,-3.0004034112696227,-2.994860317485824,0.005543093783798803,0.005543093783798803,0.9668214210155479,0.9670328124609199,0.00021139144537196675,0.00021139144537196675,0.10464864341104536,True,,,,,,,,,,,,,,,,,,,,,
window_leave_one_out,nu_5e-05_f_0.01_m_2,38:43,38000:43000,38,43,9,41,20,32,-3.0004034112696227,-2.996989596843751,0.0034138144258717418,0.0034138144258717418,0.9668214210155479,0.967018821137731,0.0001974001221830557,0.0001974001221830557,0.10489558724643987,True,,,,,,,,,,,,,,,,,,,,,
window_leave_one_out,nu_5e-05_f_0.01_m_2,38:43,38000:43000,38,43,9,41,21,32,-3.0004034112696227,-2.994571684527247,0.0058317267423757535,0.0058317267423757535,0.9668214210155479,0.9692702825179994,0.0024488615024514937,0.0024488615024514937,0.10114785439226241,True,,,,,,,,,,,,,,,,,,,,,
window_leave_one_out,nu_5e-05_f_0.01_m_2,38:43,38000:43000,38,43,9,41,22,32,-3.0004034112696227,-2.9983292174583633,0.002074193811259395,0.002074193811259395,0.9668214210155479,0.9681906608289772,0.0013692398134292905,0.0013692398134292905,0.10314969771614078,True,,,,,,,,,,,,,,,,,,,,,
window_leave_one_out,nu_5e-05_f_0.01_m_2,38:43,38000:43000,38,43,9,41,23,32,-3.0004034112696227,-3.0005016084377156,-9.819716809289503e-05,9.819716809289503e-05,0.9668214210155479,0.9705548594814951,0.003733438465947203,0.003733438465947203,0.09920890839857259,True,,,,,,,,,,,,,,,,,,,,,
window_leave_one_out,nu_5e-05_f_0.01_m_2,38:43,38000:43000,38,43,9,41,24,32,-3.0004034112696227,-3.0015105800624924,-0.0011071687928696505,0.0011071687928696505,0.9668214210155479,0.9672274816985258,0.00040606068297788234,0.00040606068297788234,0.10486250089842737,True,,,,,,,,,,,,,,,,,,,,,
