field_name,classification,primary_evidence,fd_N64_error,fd_N128_error,fd_N128_over_N64_error_ratio,fd_improved_at_N128,fd_second_order_window,arakawa_N64_error,arakawa_N128_error,arakawa_N128_over_N64_error_ratio,arakawa_improved_at_N128,arakawa_second_order_window,resolution_result
higher_smooth_multimode,higher_smooth_nonlinear,True,0.16568472830956393,0.042222951044083946,0.25483912412974447,PASS,PASS,0.13699792228880936,0.03587552292981179,0.2618691023224538,PASS,PASS,PASS
low_mode_pair,low_k_nonlinear,True,0.04522161377787814,0.011352896069005877,0.25105021958680246,PASS,PASS,0.029652077585805906,0.007484768129074658,0.2524196865267049,PASS,PASS,PASS
phase6d_like_multimode,phase6d_like_low_k_nonlinear,True,0.037961505695557576,0.009549903183481478,0.2515680821532601,PASS,PASS,0.04333502934896141,0.01098536655970038,0.25349853743582756,PASS,PASS,PASS
single_mode_k2_2,near_null_reference,False,0.7580097248347016,0.6634777425015014,0.8752892222407638,PASS,FAIL,0.820219564019173,0.8648968498467959,1.0544699099942203,FAIL,FAIL,PASS
