method_a,method_b_reference,N,Re,nu,dt,steps,final_time,method_a_l2,method_b_l2,diff_l2,diff_max_abs,relative_error_vs_method_b,cosine_similarity,method_a_energy,method_b_energy,energy_abs_diff,method_a_enstrophy,method_b_enstrophy,enstrophy_abs_diff,positive_alignment,no_large_pairwise_disagreement,pairwise_result
pseudo_spectral,fd_centered,64,1000000,1e-06,0.001,5000,5.0,0.009999446535699088,0.009999466242702442,4.63666946208232e-06,1.653707681058096e-05,0.00046369169609089257,0.9999998924967357,5.059181251322257e-06,5.059189410024989e-06,8.158702732573059e-12,4.9994465510152245e-05,4.999466256947285e-05,1.9705932060285793e-10,PASS,PASS,PASS
arakawa,fd_centered,64,1000000,1e-06,0.001,5000,5.0,0.009999446537769316,0.009999466242702442,2.5763018128647804e-06,7.521338323688426e-06,0.00025764393321943077,0.9999999668116781,5.059181251322195e-06,5.059189410024989e-06,8.158702794406464e-12,4.999446553085337e-05,4.999466256947285e-05,1.97038619476769e-10,PASS,PASS,PASS
arakawa,pseudo_spectral,64,1000000,1e-06,0.001,5000,5.0,0.009999446537769316,0.009999446535699088,5.291251024269265e-06,2.1230640704537722e-05,0.0005291543892333376,0.999999859997816,5.059181251322195e-06,5.059181251322257e-06,6.183340514956392e-20,4.999446553085337e-05,4.9994465510152245e-05,2.0701126088925464e-14,PASS,PASS,PASS
