N,field_name,classification,primary_evidence,field_rms,field_max_abs,finite_all,real_all,input_w_unchanged,input_psi_unchanged,solver_w_unchanged,fd_l2,pseudo_spectral_l2,arakawa_l2,fd_vs_pseudo_spectral_diff_l2,arakawa_vs_pseudo_spectral_diff_l2,arakawa_vs_fd_diff_l2,fd_vs_pseudo_spectral_relative_error,arakawa_vs_pseudo_spectral_relative_error,arakawa_vs_fd_relative_error,fd_vs_pseudo_spectral_cosine,arakawa_vs_pseudo_spectral_cosine,arakawa_vs_fd_cosine,arakawa_max_abs,pseudo_spectral_max_abs,fd_max_abs,nonzero_primary_operator,sign_matches_pseudo_spectral,sign_not_flipped,overall_case_result
64,single_mode_k2_2,near_null_reference,False,0.005,0.01,PASS,PASS,PASS,PASS,PASS,2.6030621162235434e-20,4.2859358782583806e-20,1.3455226848559968e-20,3.2487810757378105e-20,3.51540845747922e-20,2.1070067999574987e-20,0.7580097248347016,0.820219564019173,0.8094339304566004,0.6539024468067242,0.6781532688405385,0.5919929670374589,7.323509828255025e-20,2.693564772268675e-19,1.3383120566617945e-19,PASS,PASS,PASS,PASS
64,low_mode_pair,low_k_nonlinear,True,0.00625,0.016594684928137097,PASS,PASS,PASS,PASS,PASS,2.8469621541444396e-06,2.9646353064078514e-06,2.88005069890391e-06,1.3406559281863726e-07,8.790759611922507e-08,7.52205939828681e-08,0.04522161377787814,0.029652077585805906,0.02642135367811841,0.9997555383637141,0.9999664342064702,0.9997217303365301,7.543874907853454e-06,7.771230112051888e-06,7.426523344674285e-06,PASS,PASS,PASS,PASS
64,phase6d_like_multimode,phase6d_like_low_k_nonlinear,True,0.01,0.031829093294364445,PASS,PASS,PASS,PASS,PASS,2.3579183883252408e-05,2.4422000796351023e-05,2.3397985523488124e-05,9.270959223275911e-07,1.0583281212702306e-06,5.159415819328957e-07,0.037961505695557576,0.04333502934896141,0.0218812315340292,0.9998704816526539,0.99993747993564,0.9997885077171157,8.873303566251453e-05,9.267948178443831e-05,9.001152129818103e-05,PASS,PASS,PASS,PASS
64,higher_smooth_multimode,higher_smooth_nonlinear,True,0.01,0.02745625891934577,PASS,PASS,PASS,PASS,PASS,1.132540669492105e-05,1.2852469912898224e-05,1.1175286412343004e-05,2.129457985625387e-06,1.7607616743464914e-06,1.4765878967032562e-06,0.16568472830956393,0.13699792228880936,0.13037835518661253,0.9924337813208385,0.9989997315514516,0.9914755996780944,3.008657279880187e-05,3.4654786863227974e-05,3.016581305525758e-05,PASS,PASS,PASS,PASS
128,single_mode_k2_2,near_null_reference,False,0.005,0.01,PASS,PASS,PASS,PASS,PASS,6.015584764359176e-20,8.803602144450858e-20,2.7423459874333016e-20,5.840994076681632e-20,7.614207762040045e-20,5.1978381982068916e-20,0.6634777425015014,0.8648968498467959,0.8640619992594525,0.7512768089113883,0.5601674765177984,0.5058612798797401,1.5425142575762146e-19,4.692562527788824e-19,2.761327408049019e-19,PASS,PASS,PASS,PASS
128,low_mode_pair,low_k_nonlinear,True,0.0062499999999999995,0.016630983846194745,PASS,PASS,PASS,PASS,PASS,2.9349563673906885e-06,2.9646353064078543e-06,2.9432762947283535e-06,3.3657196516153765e-08,2.2189607855730992e-08,1.8848003439596016e-08,0.011352896069005877,0.007484768129074658,0.006421902434056544,0.9999855209012486,0.9999979273211517,0.999983444477185,7.729375360842618e-06,7.786866011644093e-06,7.700487289405303e-06,PASS,PASS,PASS,PASS
128,phase6d_like_multimode,phase6d_like_low_k_nonlinear,True,0.01,0.031829093294364445,PASS,PASS,PASS,PASS,PASS,2.4209407758541943e-05,2.442200079635103e-05,2.416228873414446e-05,2.332277431520599e-07,2.6828463086921063e-07,1.311594437019964e-07,0.009549903183481478,0.01098536655970038,0.005417705588263252,0.9999922202941273,0.999996164757156,0.999987193369672,9.312247710081893e-05,9.414725486653648e-05,9.342288398170748e-05,PASS,PASS,PASS,PASS
128,higher_smooth_multimode,higher_smooth_nonlinear,True,0.010000000000000002,0.02745625891934577,PASS,PASS,PASS,PASS,PASS,1.2446454399035693e-05,1.285246991289823e-05,1.2412219135104626e-05,5.426692079278638e-07,4.610890790648966e-07,3.7939109140580623e-07,0.042222951044083946,0.03587552292981179,0.0304818608771989,0.9995947891749757,0.9999411312434595,0.9995379400453432,3.346282189720612e-05,3.46547868632259e-05,3.350951067849792e-05,PASS,PASS,PASS,PASS
