method,N,Re,nu,dt,steps,step,time,rms_vorticity,kinetic_energy,enstrophy,max_abs_vorticity,finite,real
fd_centered,128,1000000,1e-06,0.001,1000,0,0.0,0.01,5.059681223643774e-06,4.9999999999999996e-05,0.031829093294364445,PASS,PASS
fd_centered,128,1000000,1e-06,0.001,1000,100,0.1,0.010354773383842435,5.511018297761867e-06,5.3610665915365856e-05,0.032809941807244856,PASS,PASS
fd_centered,128,1000000,1e-06,0.001,1000,200,0.2,0.010721130807404649,5.9936042506180525e-06,5.7471322894740526e-05,0.03379077849270033,PASS,PASS
fd_centered,128,1000000,1e-06,0.001,1000,300,0.3,0.011097925060595914,6.5074390048043435e-06,6.15819703253014e-05,0.03477160338632462,PASS,PASS
fd_centered,128,1000000,1e-06,0.001,1000,400,0.4,0.011484128838828154,7.052522482757851e-06,6.594260759340224e-05,0.03575241652421514,PASS,PASS
fd_centered,128,1000000,1e-06,0.001,1000,500,0.5,0.011878824359723053,7.628854606761028e-06,7.05532340845749e-05,0.03673321794298218,PASS,PASS
fd_centered,128,1000000,1e-06,0.001,1000,600,0.6,0.0122811928723174,8.23643529894177e-06,7.541384918352987e-05,0.03771513359006594,PASS,PASS
fd_centered,128,1000000,1e-06,0.001,1000,700,0.7000000000000001,0.012690504503301487,8.875264481273566e-06,8.052445227415766e-05,0.03871038561002703,PASS,PASS
fd_centered,128,1000000,1e-06,0.001,1000,800,0.8,0.013106108708501485,9.5453420755756e-06,8.588504273952924e-05,0.039705633719752574,PASS,PASS
fd_centered,128,1000000,1e-06,0.001,1000,900,0.9,0.013527425472860505,1.0246668003512983e-05,9.149561996189763e-05,0.04070087793989257,PASS,PASS
fd_centered,128,1000000,1e-06,0.001,1000,1000,1.0,0.01395393731695095,1.0979242186596745e-05,9.735618332269813e-05,0.04169611829111335,PASS,PASS
pseudo_spectral,128,1000000,1e-06,0.001,1000,0,0.0,0.01,5.059681223643774e-06,4.9999999999999996e-05,0.031829093294364445,PASS,PASS
pseudo_spectral,128,1000000,1e-06,0.001,1000,100,0.1,0.010354773381678168,5.511018296830296e-06,5.3610665892955356e-05,0.03280994196391511,PASS,PASS
pseudo_spectral,128,1000000,1e-06,0.001,1000,200,0.2,0.010721130798434338,5.993604246587312e-06,5.7471322798568656e-05,0.033790778787840606,PASS,PASS
pseudo_spectral,128,1000000,1e-06,0.001,1000,300,0.3,0.01109792503972896,6.507438995026639e-06,6.15819700937215e-05,0.03477160380253516,PASS,PASS
pseudo_spectral,128,1000000,1e-06,0.001,1000,400,0.4,0.011484128800549403,7.05252246407391e-06,6.594260715380413e-05,0.0357524170449064,PASS,PASS
pseudo_spectral,128,1000000,1e-06,0.001,1000,500,0.5,0.011878824298112697,7.628854575468719e-06,7.05532333527163e-05,0.036733218552384525,PASS,PASS
pseudo_spectral,128,1000000,1e-06,0.001,1000,600,0.6,0.012281192781067174,8.236435250764721e-06,7.541384806286824e-05,0.03771513318073194,PASS,PASS
pseudo_spectral,128,1000000,1e-06,0.001,1000,700,0.7000000000000001,0.012690504375727656,8.875264411329775e-06,8.052445065518139e-05,0.03871038509396228,PASS,PASS
pseudo_spectral,128,1000000,1e-06,0.001,1000,800,0.8,0.01310610853755521,9.545341978345989e-06,8.588504049908879e-05,0.039705633086985964,PASS,PASS
pseudo_spectral,128,1000000,1e-06,0.001,1000,900,0.9,0.013527425251136087,1.024666787280998e-05,9.149561696253712e-05,0.040700877180846334,PASS,PASS
pseudo_spectral,128,1000000,1e-06,0.001,1000,1000,1.0,0.01395393703669226,1.0979242015532832e-05,9.7356179411986e-05,0.04169611739660593,PASS,PASS
arakawa,128,1000000,1e-06,0.001,1000,0,0.0,0.01,5.059681223643774e-06,4.9999999999999996e-05,0.031829093294364445,PASS,PASS
arakawa,128,1000000,1e-06,0.001,1000,100,0.1,0.010354773381663946,5.511018296811885e-06,5.3610665892808094e-05,0.03280993623376995,PASS,PASS
arakawa,128,1000000,1e-06,0.001,1000,200,0.2,0.010721130798322516,5.99360424643741e-06,5.747132279736979e-05,0.03379076745165045,PASS,PASS
arakawa,128,1000000,1e-06,0.001,1000,300,0.3,0.01109792503935801,6.5074389945118785e-06,6.158197008960473e-05,0.03477158698367251,PASS,PASS
arakawa,128,1000000,1e-06,0.001,1000,400,0.4,0.01148412879968513,7.052522462832835e-06,6.594260714387872e-05,0.035752394865997905,PASS,PASS
arakawa,128,1000000,1e-06,0.001,1000,500,0.5,0.011878824296453205,7.628854573003803e-06,7.05532333330035e-05,0.03673319113529199,PASS,PASS
arakawa,128,1000000,1e-06,0.001,1000,600,0.6,0.012281192778247465,8.236435246434587e-06,7.541384802823884e-05,0.03771509951236322,PASS,PASS
arakawa,128,1000000,1e-06,0.001,1000,700,0.7000000000000001,0.012690504371323649,8.875264404341241e-06,8.052445059929231e-05,0.03871034596029563,PASS,PASS
arakawa,128,1000000,1e-06,0.001,1000,800,0.8,0.013106108531087401,9.545341967746293e-06,8.588504041432099e-05,0.039705588528769584,PASS,PASS
arakawa,128,1000000,1e-06,0.001,1000,900,0.9,0.013527425242072576,1.0246667857478745e-05,9.149561683993116e-05,0.04070082723845508,PASS,PASS
arakawa,128,1000000,1e-06,0.001,1000,1000,1.0,0.013953937024451529,1.0979241994174226e-05,9.735617924117959e-05,0.041696062110041066,PASS,PASS
