phase,test_type,pair,N64_result,N128_result,both_pairwise_results_pass,dominant_shell_match_both,N64_field_relative_l2_difference,N128_field_relative_l2_difference,field_reduction_ratio_N64_over_N128,field_difference_decreased,N64_energy_relative_difference,N128_energy_relative_difference,energy_reduction_ratio_N64_over_N128,N64_enstrophy_relative_difference,N128_enstrophy_relative_difference,enstrophy_reduction_ratio_N64_over_N128,N64_rms_relative_difference,N128_rms_relative_difference,rms_reduction_ratio_N64_over_N128,N64_spectrum_relative_l2_difference,N128_spectrum_relative_l2_difference,spectrum_reduction_ratio_N64_over_N128,spectrum_difference_decreased,N64_spectrum_cosine_similarity,N128_spectrum_cosine_similarity,numeric_finite,pairwise_trend_result
12A,pairwise_resolution_trend,pseudo_spectral vs fd_centered,PASS,PASS,PASS,PASS,8.41628680971417e-05,2.1171357686322e-05,3.975317471090486,PASS,5.699784851319133e-08,1.5041887502384823e-08,3.7892750164601736,1.4933390066119454e-07,3.9387654256456335e-08,3.791388532276356,7.466695312719813e-08,1.9693827305845785e-08,3.791388640085947,1.8988536305558175e-07,4.913982615902831e-08,3.8641846725518927,PASS,0.9999999999999836,0.9999999999999988,PASS,PASS
12A,pairwise_resolution_trend,arakawa vs fd_centered,PASS,PASS,PASS,PASS,4.4630339100307e-05,1.1342976109783433e-05,3.93462338881353,PASS,6.419339335323449e-08,1.6941199282327622e-08,3.7891882554146243,1.5345394474865674e-07,4.048776482116572e-08,3.7901313008130266,7.672697532157882e-08,2.024388254876089e-08,3.7901314205300607,1.1617417638107169e-07,3.0495329712214245e-08,3.80957272728029,PASS,0.9999999999999986,0.9999999999999998,PASS,PASS
12A,pairwise_resolution_trend,arakawa vs pseudo_spectral,PASS,PASS,PASS,PASS,9.526899745687436e-05,2.4146099891130234e-05,3.945523206083904,PASS,7.1955452501737635e-09,1.899311808512034e-09,3.788501297115045,4.120044702724546e-09,1.1001106080401575e-09,3.7451186022689016,2.0600223481962748e-09,5.500552537477973e-10,3.7451189387981088,1.6889207800375505e-07,4.385026889381057e-08,3.851563109287889,PASS,0.9999999999999868,0.999999999999999,PASS,PASS
