phase,test_type,method,N64_method_result,N128_method_result,N256_method_result,source_method_results_pass,N64_final_rms,N128_final_rms,N256_final_rms,N64_N128_final_rms_relative_difference,N128_N256_final_rms_relative_difference,N64_final_energy,N128_final_energy,N256_final_energy,N64_N128_final_energy_relative_difference,N128_N256_final_energy_relative_difference,N64_final_enstrophy,N128_final_enstrophy,N256_final_enstrophy,N64_N128_final_enstrophy_relative_difference,N128_N256_final_enstrophy_relative_difference,N64_dominant_shell,N128_dominant_shell,N256_dominant_shell,dominant_shell_all_same,N64_low_k_fraction_k_le_4,N128_low_k_fraction_k_le_4,N256_low_k_fraction_k_le_4,N64_high_k_fraction_k_ge_10,N128_high_k_fraction_k_ge_10,N256_high_k_fraction_k_ge_10,N64_spectrum_direct_relative_error,N128_spectrum_direct_relative_error,N256_spectrum_direct_relative_error,numeric_finite,method_summary_result
12O,method_three_resolution_summary,fd_centered,PASS,PASS,PASS,PASS,0.0138383261748864,0.0138383254141516,0.0138383252106627,5.497303879187615e-08,1.4704734711667563e-08,1.0816100364762377e-05,1.0816099910964457e-05,1.0816099789492077e-05,4.1955781091314984e-08,1.1230700750175294e-08,9.574963566127409e-05,9.57496251339775e-05,9.574962231803184e-05,1.099460867460294e-07,2.9409470062194618e-08,3.0,3.0,3.0,PASS,0.9999994138820876,0.9999993822142555,0.999999374086047,3.940095470626035e-14,4.8111729431662725e-14,5.0598941147245326e-14,1.5662446143969546e-16,6.264978720439882e-16,3.1324893953999924e-16,PASS,PASS
12O,method_three_resolution_summary,pseudo_spectral,PASS,PASS,PASS,PASS,0.0138383251416208,0.013838325141622,0.0138383251416208,8.674667151484831e-14,8.674667151485585e-14,1.0816099748267923e-05,1.08160997482699e-05,1.081609974826806e-05,1.8278075691820112e-13,1.7009417481850915e-13,9.57496213626075e-05,9.574962136262437e-05,9.574962136260772e-05,1.7607739375072452e-13,1.7381273273788366e-13,3.0,3.0,3.0,PASS,0.9999993713576256,0.9999993713576258,0.9999993713576258,5.145804156149937e-14,5.145804105619643e-14,5.145804145840379e-14,1.566244703669533e-16,4.698734111007742e-16,6.264978814678054e-16,PASS,PASS
12O,method_three_resolution_summary,arakawa,PASS,PASS,PASS,PASS,0.0138383251131135,0.0138383251340101,0.0138383251396866,1.5100527137422789e-09,4.102013172798213e-10,1.081609967044019e-05,1.0816099727726753e-05,1.0816099743062452e-05,5.296415919227938e-09,1.417858524501785e-09,9.57496209681148e-05,9.57496212572892e-05,9.57496213358422e-05,3.020110175399869e-09,8.204000619089152e-10,3.0,3.0,3.0,PASS,0.9999994315887628,0.9999993869242946,0.9999993752818984,3.456885984340001e-14,4.663544254778328e-14,5.0210716820142754e-14,1.5662447149395176e-16,4.698734119932103e-16,6.264978817693283e-16,PASS,PASS
