omega,A,Phi,Phi2
0.1,0.001,41.83333333299732,0.5015007537467203
0.1,0.001,41.83333333299732,0.5015007537467203
0.1,0.005,16666.833333333,0.5000037500046789
0.1,0.005,16666.833333333,0.5000037500046789
0.1,0.01,16666.833333333,0.5000037500046789
0.1,0.01,16666.833333333,0.5000037500046789
0.1,0.05,16666.833333333,0.5000037500046789
0.1,0.05,16666.833333333,0.5000037500046789
0.1,0.1,16666.833333333,0.5000037500046789
0.1,0.1,16666.833333333,0.5000037500046789
0.2782559402207124,0.01,16666.833333333,0.5000037500046789
0.2782559402207124,0.05,16666.833333333,0.5000037500046789
0.2782559402207124,0.1,16666.833333333,0.5000037500046789
0.2,0.001,41.83333333299732,0.5015007537467203
0.2,0.005,16666.833333333,0.5000037500046789
0.2,0.01,16666.833333333,0.5000037500046789
0.2,0.05,16666.833333333,0.5000037500046789
0.2,0.1,16666.833333333,0.5000037500046789
0.46415888336127786,0.001,41.83333333299732,0.5015007537467203
0.46415888336127786,0.005,163.16666666633267,0.5003834846521891
0.46415888336127786,0.01,16666.833333333,0.5000037500046789
0.46415888336127786,0.05,16666.833333333,0.5000037500046789
0.46415888336127786,0.1,16666.833333333,0.5000037500046789
0.4,0.001,41.83333333299732,0.5015007537467203
0.4,0.005,201.99999999966613,0.500309693432508
0.4,0.01,16666.833333333,0.5000037500046789
0.4,0.05,16666.833333333,0.5000037500046789
0.4,0.1,16666.833333333,0.5000037500046789
0.6,0.001,41.83333333299732,0.5015007537467203
0.6,0.005,120.1666666663324,0.5005209239115679
0.6,0.01,16666.833333333,0.5000037500046789
0.6,0.05,16666.833333333,0.5000037500046789
0.6,0.1,16666.833333333,0.5000037500046789
0.774263682681127,0.001,41.83333333299732,0.5015007537467203
0.774263682681127,0.005,91.16666666633212,0.5006869707826583
0.774263682681127,0.01,16666.833333333,0.5000037500046789
0.774263682681127,0.05,16666.833333333,0.5000037500046789
0.774263682681127,0.1,16666.833333333,0.5000037500046789
0.8,0.001,41.83333333299732,0.5015007537467203
0.8,0.005,87.9999999996654,0.5007117441308925
0.8,0.01,16666.833333333,0.5000037500046789
0.8,0.05,16666.833333333,0.5000037500046789
0.8,0.1,16666.833333333,0.5000037500046789
1.0,0.001,41.83333333299732,0.5015007537467203
1.0,0.005,69.3333333329984,0.5009038874485908
1.0,0.01,166.83333333299933,0.5003750469327272
1.0,0.01,16666.833333333,0.5000037500046789
1.0,0.01,333.49999999966633,0.5001875117256409
1.0,0.05,16666.833333333,0.5000037500046789
1.0,0.1,16666.833333333,0.5000037500046789
1.291549665014884,0.001,41.83333333299732,0.5015007537467203
1.291549665014884,0.005,41.83333333299732,0.5015007537467203
1.291549665014884,0.01,16666.833333333,0.5000037500046789
1.2,0.001,41.83333333299732,0.5015007537467203
1.2,0.005,54.333333332997945,0.5011542916450948
1.2,0.01,16666.833333333,0.5000037500046789
1.2,0.05,16666.833333333,0.5000037500046789
1.2,0.1,16666.833333333,0.5000037500046789
1.5,0.001,41.83333333299732,0.5015007537467203
1.5,0.005,41.83333333299732,0.5015007537467203
1.5,0.01,57.666666666331395,0.5010873517710016
1.5,0.05,16666.833333333,0.5000037500046789
1.5,0.1,16666.833333333,0.5000037500046789
10.0,0.001,41.83333333299732,0.5015007537467203
10.0,0.005,41.83333333299732,0.5015007537467203
10.0,0.01,41.83333333299732,0.5015007537467203
10.0,0.05,41.83333333299732,0.5015007537467203
10.0,0.1,16666.833333333,0.5000037500046789
2.0,0.001,41.83333333299732,0.5015007537467203
2.0,0.005,41.83333333299732,0.5015007537467203
2.0,0.01,45.33333333299753,0.5013844050460635
2.0,0.01,45.33333333299753,0.5013844050460635
2.0,0.05,16666.833333333,0.5000037500046789
2.0,0.1,16666.833333333,0.5000037500046789
3.0,0.001,41.83333333299732,0.5015007537467203
3.0,0.005,41.83333333299732,0.5015007537467203
3.0,0.01,41.83333333299732,0.5015007537467203
3.0,0.05,113.66666666633235,0.5005507620529784
3.0,0.1,16666.833333333,0.5000037500046789
5.0,0.001,41.83333333299732,0.5015007537467203
5.0,0.005,41.83333333299732,0.5015007537467203
5.0,0.01,41.83333333299732,0.5015007537467203
5.0,0.05,16666.833333333,0.5000037500046789
5.0,0.1,16666.833333333,0.5000037500046789
