phase,test_type,method_a,method_b,pair,N,Re,dt,steps,final_time,field_max_abs_difference,field_l2_difference,field_relative_l2_difference,energy_relative_difference,enstrophy_relative_difference,rms_relative_difference,spectrum_relative_l2_difference,spectrum_energy_sum_relative_difference,spectrum_cosine_similarity,dominant_shell_a,dominant_shell_b,dominant_shell_matches,spectra_same_length,spectra_same_k_bins,metrics_finite,pairwise_result
12L,pairwise_comparison,pseudo_spectral,fd_centered,pseudo_spectral vs fd_centered,256,1000,0.001,1000,1.0,2.5597835429623517e-07,7.33574214294999e-08,5.301033204001914e-06,3.811356702065697e-09,9.978359023821445e-09,4.989179505085386e-09,1.2391182380521599e-08,3.8113570153146376e-09,0.9999999999999999,3.0,3.0,PASS,PASS,PASS,PASS,PASS
12L,pairwise_comparison,arakawa,fd_centered,arakawa vs fd_centered,256,1000,0.001,1000,1.0,1.1522413688545147e-07,3.9405113311585696e-08,2.8475348506207386e-06,4.2926400473739706e-09,1.0257895613118843e-08,5.128947822450056e-09,7.716663892674177e-09,4.292640360622912e-09,0.9999999999999999,3.0,3.0,PASS,PASS,PASS,PASS,PASS
12L,pairwise_comparison,arakawa,pseudo_spectral,arakawa vs pseudo_spectral,256,1000,0.001,1000,1.0,3.1379042475347674e-07,8.382263491230092e-08,6.057281792013382e-06,4.812833471426161e-10,2.7953659208671427e-10,1.39768318062e-10,1.1067112219156474e-08,4.812833471426164e-10,0.9999999999999999,3.0,3.0,PASS,PASS,PASS,PASS,PASS
