phase,test_type,method_a,method_b,pair,N,Re,dt,steps,final_time,field_max_abs_difference,field_l2_difference,field_relative_l2_difference,energy_relative_difference,enstrophy_relative_difference,rms_relative_difference,spectrum_relative_l2_difference,spectrum_energy_sum_relative_difference,spectrum_cosine_similarity,dominant_shell_a,dominant_shell_b,dominant_shell_matches,spectra_same_length,spectra_same_k_bins,metrics_finite,pairwise_result
11V,pairwise_comparison,pseudo_spectral,fd_centered,pseudo_spectral vs fd_centered,128,1000,0.001,1000,1.0,1.020117323695044e-06,2.9297613712272426e-07,2.1171357686322e-05,1.5041887502384823e-08,3.9387654256456335e-08,1.9693827305845785e-08,4.913982615902831e-08,1.5041887345760365e-08,0.9999999999999987,3.0,3.0,PASS,PASS,PASS,PASS,PASS
11V,pairwise_comparison,arakawa,fd_centered,arakawa vs fd_centered,128,1000,0.001,1000,1.0,4.575767648447998e-07,1.569677945721309e-07,1.1342976109783431e-05,1.6941199282327622e-08,4.0487764821165715e-08,2.024388254876089e-08,3.049532971221424e-08,1.6941199125703167e-08,0.9999999999999998,3.0,3.0,PASS,PASS,PASS,PASS,PASS
11V,pairwise_comparison,arakawa,pseudo_spectral,arakawa vs pseudo_spectral,128,1000,0.001,1000,1.0,1.2504825961552613e-06,3.3414158119554477e-07,2.4146099891130234e-05,1.8993118085120346e-09,1.1001106080401577e-09,5.500552537477973e-10,4.3850268893810565e-08,1.899311808512036e-09,0.999999999999999,3.0,3.0,PASS,PASS,PASS,PASS,PASS
