method_a,method_b_reference,N,Re,nu,dt,steps,final_time,method_a_l2,method_b_l2,diff_l2,diff_max_abs,relative_error_vs_method_b,cosine_similarity,method_a_energy,method_b_energy,energy_abs_diff,method_a_enstrophy,method_b_enstrophy,enstrophy_abs_diff,positive_alignment,no_large_pairwise_disagreement,pairwise_result
pseudo_spectral,fd_centered,64,1000000,1e-06,0.001,1000,1.0,0.013953937036691065,0.013953938098726294,1.19453447719108e-06,4.102300006008502e-06,8.560554509698708e-05,0.9999999963358481,1.0979242015530884e-05,1.0979242663457463e-05,6.479265789936491e-13,9.73561794119693e-05,9.735619423154259e-05,1.4819573289337994e-11,PASS,PASS,PASS
arakawa,fd_centered,64,1000000,1e-06,0.001,1000,1.0,0.013953936990300486,0.013953938098726294,6.341330636077291e-07,1.8409995860332179e-06,4.544473818940134e-05,0.9999999989673908,1.0979241934584279e-05,1.0979242663457463e-05,7.288731843421844e-13,9.735617876463808e-05,9.735619423154259e-05,1.546690450411961e-11,PASS,PASS,PASS
arakawa,pseudo_spectral,64,1000000,1e-06,0.001,1000,1.0,0.013953936990300486,0.013953937036691065,1.3568525974596263e-06,5.080241515796266e-06,9.723797619925197e-05,0.999999995272388,1.0979241934584279e-05,1.0979242015530884e-05,8.094660534853533e-14,9.735617876463808e-05,9.73561794119693e-05,6.473312147816171e-13,PASS,PASS,PASS
