row_type,run,N,dealias_rule,window_start_index,window_end_index,fit_kmin,fit_kmax,peak_mask_kmin,peak_mask_kmax,k,region,full_mode_count,active_dealiased_mode_count,window_mean_shell_sum_E,window_mean_shell_mean_E_full_count,window_mean_shell_mean_E_active_count,shell_sum_slope_k9_41,shell_sum_r2_k9_41,shell_mean_full_count_slope_k9_41,shell_mean_full_count_r2_k9_41,shell_mean_active_count_slope_k9_41,shell_mean_active_count_r2_k9_41,full_mode_count_slope_k9_41,full_mode_count_r2_k9_41,active_mode_count_slope_k9_41,active_mode_count_r2_k9_41,per_snapshot_shell_sum_slope_mean,per_snapshot_shell_sum_slope_std,per_snapshot_shell_mean_full_count_slope_mean,per_snapshot_shell_mean_full_count_slope_std,full_count_min,full_count_median,full_count_max,full_count_mean,active_count_min,active_count_median,active_count_max,active_count_mean,n_shells,full_sparse_lt_16,full_sparse_lt_32,full_sparse_lt_64,active_sparse_lt_16,active_sparse_lt_32,active_sparse_lt_64
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,97,middle_or_transition,612,224,1.55460423503207e-23,2.540202998418415e-26,6.940197477821741e-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,98,middle_or_transition,664,236,1.0948466610481906e-23,1.6488654533858292e-26,4.63918076715335e-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,99,middle_or_transition,592,188,5.2480012138082666e-24,8.864866915216666e-27,2.7914900073448226e-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,100,middle_or_transition,640,204,3.9463809117971816e-24,6.166220174683096e-27,1.934500446959403e-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,101,middle_or_transition,596,168,2.007630397806888e-24,3.368507378870618e-27,1.1950180939326714e-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,102,middle_or_transition,664,164,1.395408193800888e-24,2.1015183641579638e-27,8.50858654756639e-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,103,middle_or_transition,672,180,9.143444041681692e-25,1.3606315538216804e-27,5.079691134267607e-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,104,middle_or_transition,620,136,5.494798419810165e-25,8.862578096468008e-28,4.040292955742768e-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,105,middle_or_transition,664,148,3.1873522091110447e-25,4.8002292305889225e-28,2.1536163575074628e-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,106,middle_or_transition,656,124,1.4350512174140445e-25,2.187578075326287e-28,1.1572993688822939e-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,107,middle_or_transition,680,116,8.456613355084275e-26,1.243619611041805e-28,7.290183926796788e-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,108,middle_or_transition,692,120,6.292890506851679e-26,9.093772408745201e-29,5.244075422376399e-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,109,middle_or_transition,672,92,3.143522110499624e-26,4.6778602834815836e-29,3.416871859238722e-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,110,middle_or_transition,720,100,2.0872935802906756e-26,2.8990188615148274e-29,2.0872935802906757e-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,111,middle_or_transition,668,80,1.06880639738881e-26,1.6000095769293563e-29,1.3360079967360126e-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,112,middle_or_transition,704,76,7.005875743883878e-27,9.9515280452896e-30,9.218257557741945e-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,113,middle_or_transition,704,68,4.672392587969134e-27,6.636921289728883e-30,6.871165570542844e-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,114,middle_or_transition,716,40,1.480225967647959e-27,2.067354703418937e-30,3.700564919119898e-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,115,high_k_tail,744,68,1.750644423477522e-27,2.3530166982224758e-30,2.574477093349297e-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,116,high_k_tail,728,28,3.941829794547715e-28,5.414601366136971e-31,1.4077963551956126e-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,117,high_k_tail,728,44,4.498572558731205e-28,6.179357910345062e-31,1.022402854257092e-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,118,high_k_tail,724,16,4.759965297320136e-29,6.574537703480851e-32,2.974978310825085e-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,119,high_k_tail,736,12,8.026470715782286e-29,1.0905530863834628e-31,6.688725596485239e-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,120,high_k_tail,776,12,2.2136963898059337e-29,2.852701533255069e-32,1.844746991504945e-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,121,high_k_tail,772,0,1.5303341594322049e-40,1.98229813397954e-43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
