phase,test_type,pair,N64_pairwise_result,N128_pairwise_result,N256_pairwise_result,source_pairwise_results_pass,dominant_shell_match_all,numeric_finite,pairwise_trend_result,N64_field_relative_l2_difference,N128_field_relative_l2_difference,N256_field_relative_l2_difference,field_relative_l2_difference_N64_over_N128_reduction_ratio,field_relative_l2_difference_N128_over_N256_reduction_ratio,field_relative_l2_difference_observed_order_64_to_128,field_relative_l2_difference_observed_order_128_to_256,field_relative_l2_difference_monotone_decrease,N64_energy_relative_difference,N128_energy_relative_difference,N256_energy_relative_difference,energy_relative_difference_N64_over_N128_reduction_ratio,energy_relative_difference_N128_over_N256_reduction_ratio,energy_relative_difference_observed_order_64_to_128,energy_relative_difference_observed_order_128_to_256,energy_relative_difference_monotone_decrease,N64_enstrophy_relative_difference,N128_enstrophy_relative_difference,N256_enstrophy_relative_difference,enstrophy_relative_difference_N64_over_N128_reduction_ratio,enstrophy_relative_difference_N128_over_N256_reduction_ratio,enstrophy_relative_difference_observed_order_64_to_128,enstrophy_relative_difference_observed_order_128_to_256,enstrophy_relative_difference_monotone_decrease,N64_rms_relative_difference,N128_rms_relative_difference,N256_rms_relative_difference,rms_relative_difference_N64_over_N128_reduction_ratio,rms_relative_difference_N128_over_N256_reduction_ratio,rms_relative_difference_observed_order_64_to_128,rms_relative_difference_observed_order_128_to_256,rms_relative_difference_monotone_decrease,N64_spectrum_relative_l2_difference,N128_spectrum_relative_l2_difference,N256_spectrum_relative_l2_difference,spectrum_relative_l2_difference_N64_over_N128_reduction_ratio,spectrum_relative_l2_difference_N128_over_N256_reduction_ratio,spectrum_relative_l2_difference_observed_order_64_to_128,spectrum_relative_l2_difference_observed_order_128_to_256,spectrum_relative_l2_difference_monotone_decrease,N64_spectrum_cosine_similarity,N128_spectrum_cosine_similarity,N256_spectrum_cosine_similarity
12O,pairwise_three_resolution_trend,pseudo_spectral vs fd_centered,PASS,PASS,PASS,PASS,PASS,PASS,PASS,8.41628680971417e-05,2.1171357686322e-05,5.301033204001914e-06,3.975317471090486,3.993817218563937,1.991070079435674,1.9977683077679913,PASS,5.699784851319133e-08,1.5041887502384823e-08,3.811356702065697e-09,3.7892750164601736,3.946596626401394,1.92192185098011,1.9806090718459055,PASS,1.4933390066119454e-07,3.9387654256456335e-08,9.978359023821444e-09,3.791388532276356,3.9473077850201386,1.922726307963657,1.9808690154585593,PASS,7.466695312719813e-08,1.9693827305845785e-08,4.989179505085386e-09,3.791388640085947,3.9473078260207317,1.9227263489872446,1.9808690304437986,PASS,1.8988536305558175e-07,4.913982615902831e-08,1.23911823805216e-08,3.8641846725518927,3.9657092156333666,1.9501640433994472,1.9875788962899912,PASS,0.9999999999999836,0.9999999999999988,1.0
12O,pairwise_three_resolution_trend,arakawa vs fd_centered,PASS,PASS,PASS,PASS,PASS,PASS,PASS,4.4630339100307e-05,1.1342976109783433e-05,2.847534850620738e-06,3.93462338881353,3.9834371499652623,1.9762255515921026,1.9940138124864464,PASS,6.419339335323449e-08,1.6941199282327622e-08,4.29264004737397e-09,3.7891882554146243,3.9465688004032464,1.9218888179691491,1.980598899899072,PASS,1.5345394474865674e-07,4.048776482116572e-08,1.0257895613118844e-08,3.7901313008130266,3.946985458634014,1.9222478282778017,1.9807512041068107,PASS,7.672697532157882e-08,2.024388254876089e-08,5.128947822450056e-09,3.7901314205300607,3.9469854733461793,1.9222478738475075,1.9807512094843749,PASS,1.1617417638107169e-07,3.0495329712214245e-08,7.716663892674177e-09,3.80957272728029,3.9518800010409962,1.929629197508391,1.9825391401079484,PASS,0.9999999999999986,0.9999999999999998,1.0
12O,pairwise_three_resolution_trend,arakawa vs pseudo_spectral,PASS,PASS,PASS,PASS,PASS,PASS,PASS,9.526899745687436e-05,2.4146099891130234e-05,6.057281792013382e-06,3.945523206083904,3.986292980948523,1.98021662514939,1.995047747966277,PASS,7.1955452501737635e-09,1.899311808512034e-09,4.812833471426161e-10,3.788501297115045,3.946348486371421,1.9216272418441456,1.9805183603597136,PASS,4.120044702724546e-09,1.1001106080401575e-09,2.7953659208671427e-10,3.7451186022689016,3.9354797875581715,1.905011407387846,1.9765395302526374,PASS,2.0600223481962748e-09,5.500552537477973e-10,1.39768318062e-10,3.7451189387981088,3.935478807892627,1.9050115370256622,1.9765391711201108,PASS,1.6889207800375505e-07,4.385026889381057e-08,1.1067112219156474e-08,3.851563109287889,3.9622141734416063,1.9454440646012745,1.986306865742533,PASS,0.9999999999999868,0.999999999999999,1.0
