method_a,method_b_reference,N,Re,nu,dt,steps,final_time,method_a_l2,method_b_l2,diff_l2,diff_max_abs,relative_error_vs_method_b,cosine_similarity,method_a_energy,method_b_energy,energy_abs_diff,method_a_enstrophy,method_b_enstrophy,enstrophy_abs_diff,positive_alignment,no_large_pairwise_disagreement,pairwise_result
pseudo_spectral,fd_centered,128,1000000,1e-06,0.001,1000,1.0,0.01395393703669226,0.01395393731695095,3.004886970438853e-07,1.0453658170362506e-06,2.15343304343827e-05,0.9999999997681366,1.0979242015532832e-05,1.0979242186596745e-05,1.7106391275018267e-13,9.7356179411986e-05,9.735618332269813e-05,3.910712140405004e-12,PASS,PASS,PASS
arakawa,fd_centered,128,1000000,1e-06,0.001,1000,1.0,0.013953937024451529,0.01395393731695095,1.61187924910353e-07,4.699547548926708e-07,1.1551429625138511e-05,0.9999999999332828,1.0979241994174226e-05,1.0979242186596745e-05,1.9242251936529408e-13,9.735617924117959e-05,9.735618332269813e-05,4.08151854328076e-12,PASS,PASS,PASS
arakawa,pseudo_spectral,128,1000000,1e-06,0.001,1000,1.0,0.013953937024451529,0.01395393703669226,3.439057255719249e-07,1.2885945788959977e-06,2.4645784531463443e-05,0.9999999996962926,1.0979241994174226e-05,1.0979242015532832e-05,2.135860661511141e-14,9.735617924117959e-05,9.7356179411986e-05,1.708064028757561e-13,PASS,PASS,PASS
