loop_index,completed_steps,physical_time,k,energy,mode_count,direct_energy,spectrum_energy_sum,relative_energy_consistency_error,dominant_shell,dominant_shell_energy,k1_energy,k2_energy,k3_energy,k4_energy,low_k_fraction_k_le_4,middle_k_fraction_5_le_k_le_9,high_k_fraction_k_ge_10,tail_fraction_k_gt_4,finite_shell_count,nonzero_shell_count,minimum_spectral_value,maximum_spectral_value
0,1,0.005,1,2.327352108194028e-28,8,3.162144516939324e-11,3.162144516939323e-11,4.087320172087207e-16,3,2.7527671261414998e-11,2.327352108194028e-28,8.484345953695851e-28,2.7527671261414998e-11,4.0937739079782334e-12,1.0000000000000002,3.256188444112059e-17,1.0465732133220663e-32,3.25618844411206e-17,45,45,2.1129587807314567e-48,2.7527671261414998e-11
0,1,0.005,2,8.484345953695851e-28,12,3.162144516939324e-11,3.162144516939323e-11,4.087320172087207e-16,3,2.7527671261414998e-11,2.327352108194028e-28,8.484345953695851e-28,2.7527671261414998e-11,4.0937739079782334e-12,1.0000000000000002,3.256188444112059e-17,1.0465732133220663e-32,3.25618844411206e-17,45,45,2.1129587807314567e-48,2.7527671261414998e-11
0,1,0.005,3,2.7527671261414998e-11,16,3.162144516939324e-11,3.162144516939323e-11,4.087320172087207e-16,3,2.7527671261414998e-11,2.327352108194028e-28,8.484345953695851e-28,2.7527671261414998e-11,4.0937739079782334e-12,1.0000000000000002,3.256188444112059e-17,1.0465732133220663e-32,3.25618844411206e-17,45,45,2.1129587807314567e-48,2.7527671261414998e-11
0,1,0.005,4,4.0937739079782334e-12,32,3.162144516939324e-11,3.162144516939323e-11,4.087320172087207e-16,3,2.7527671261414998e-11,2.327352108194028e-28,8.484345953695851e-28,2.7527671261414998e-11,4.0937739079782334e-12,1.0000000000000002,3.256188444112059e-17,1.0465732133220663e-32,3.25618844411206e-17,45,45,2.1129587807314567e-48,2.7527671261414998e-11
0,1,0.005,5,2.623936752240193e-28,28,3.162144516939324e-11,3.162144516939323e-11,4.087320172087207e-16,3,2.7527671261414998e-11,2.327352108194028e-28,8.484345953695851e-28,2.7527671261414998e-11,4.0937739079782334e-12,1.0000000000000002,3.256188444112059e-17,1.0465732133220663e-32,3.25618844411206e-17,45,45,2.1129587807314567e-48,2.7527671261414998e-11
0,1,0.005,6,6.314253137331068e-28,40,3.162144516939324e-11,3.162144516939323e-11,4.087320172087207e-16,3,2.7527671261414998e-11,2.327352108194028e-28,8.484345953695851e-28,2.7527671261414998e-11,4.0937739079782334e-12,1.0000000000000002,3.256188444112059e-17,1.0465732133220663e-32,3.25618844411206e-17,45,45,2.1129587807314567e-48,2.7527671261414998e-11
0,1,0.005,7,1.3268914756027524e-28,40,3.162144516939324e-11,3.162144516939323e-11,4.087320172087207e-16,3,2.7527671261414998e-11,2.327352108194028e-28,8.484345953695851e-28,2.7527671261414998e-11,4.0937739079782334e-12,1.0000000000000002,3.256188444112059e-17,1.0465732133220663e-32,3.25618844411206e-17,45,45,2.1129587807314567e-48,2.7527671261414998e-11
0,1,0.005,8,3.1393982180999665e-30,48,3.162144516939324e-11,3.162144516939323e-11,4.087320172087207e-16,3,2.7527671261414998e-11,2.327352108194028e-28,8.484345953695851e-28,2.7527671261414998e-11,4.0937739079782334e-12,1.0000000000000002,3.256188444112059e-17,1.0465732133220663e-32,3.25618844411206e-17,45,45,2.1129587807314567e-48,2.7527671261414998e-11
0,1,0.005,9,6.308731511861802e-33,68,3.162144516939324e-11,3.162144516939323e-11,4.087320172087207e-16,3,2.7527671261414998e-11,2.327352108194028e-28,8.484345953695851e-28,2.7527671261414998e-11,4.0937739079782334e-12,1.0000000000000002,3.256188444112059e-17,1.0465732133220663e-32,3.25618844411206e-17,45,45,2.1129587807314567e-48,2.7527671261414998e-11
0,1,0.005,10,4.54683282793355e-44,56,3.162144516939324e-11,3.162144516939323e-11,4.087320172087207e-16,3,2.7527671261414998e-11,2.327352108194028e-28,8.484345953695851e-28,2.7527671261414998e-11,4.0937739079782334e-12,1.0000000000000002,3.256188444112059e-17,1.0465732133220663e-32,3.25618844411206e-17,45,45,2.1129587807314567e-48,2.7527671261414998e-11
