loop_index,completed_steps,physical_time,energy,enstrophy,forcing_rms,energy_injection_rate,enstrophy_injection_rate,viscous_energy_dissipation_rate,viscous_enstrophy_dissipation_rate,continuous_energy_rhs,continuous_enstrophy_rhs,stage1_advection_rms,stage2_advection_rms,mask_removal_rms,vorticity_rms,maximum_absolute_vorticity,forcing_sha256,forcing_identity_matches,interval_duration,observed_energy_rate,mean_continuous_energy_rhs,energy_budget_residual,mean_energy_injection_rate,mean_viscous_energy_dissipation_rate,normalized_energy_budget_residual,observed_enstrophy_rate,mean_continuous_enstrophy_rhs,enstrophy_budget_residual,mean_enstrophy_injection_rate,mean_viscous_enstrophy_dissipation_rate,normalized_enstrophy_budget_residual,stationarity_window_member,subwindow_id,residual_interval_fully_inside_window
16000,16001,80.005,0.003060138015577159,0.024593015774847835,0.005,5.766661134530487e-05,0.0005119302170705589,4.918603154969567e-05,0.00066922622567094,8.480579795609202e-06,-0.00015729600860038117,0.01701498839494639,0.01701553936959225,4.871265273844217e-06,0.2217792405742604,0.708490728085523,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True,0.5,9.625488439145985e-06,9.028161726673397e-06,5.973267124725882e-07,5.8269881706520736e-05,4.924171997984734e-05,0.010251036984784951,-0.00011137686030333882,-0.0001504446057819666,3.906774547862777e-05,0.0005175380557590944,0.000667982661541061,0.058486166974000525,True,1,False
16100,16101,80.505,0.0030644092521246854,0.024530682509317323,0.005,5.64852951419824e-05,0.0005009626455259421,4.9061365018634645e-05,0.0006713343374621668,7.423930123347754e-06,-0.00017037169193622468,0.01707472608317205,0.017075155700980144,5.005659410513482e-06,0.22149800229039232,0.7048876819391563,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True,0.5,8.542473095052988e-06,7.952254959478478e-06,5.902181355745104e-07,5.707595324364364e-05,4.912369828416516e-05,0.010340924715790727,-0.000124666531061024,-0.00016383385026830292,3.9167319207278936e-05,0.0005064464312982505,0.0006702802815665534,0.05843424054745961,True,1,True
16200,16201,81.005,0.00306815838778768,0.024462015184438857,0.005,5.5333217713978946e-05,0.0004902876636337199,4.8924030368877715e-05,0.0006730523062574192,6.40918734510123e-06,-0.00018276464262369934,0.017122950556228235,0.017123262274693195,5.1286147788398615e-06,0.22118777174355211,0.6988580821221866,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True,0.5,7.4982713259893335e-06,6.916558734224492e-06,5.817125917648414e-07,5.590925642798067e-05,4.8992697693756184e-05,0.01040458465968283,-0.00013733464975693166,-0.000176568167279962,3.923351752303035e-05,0.000495625154579831,0.000672193321859793,0.05836641966998555,True,1,True
16300,16301,81.505,0.0030714063326347588,0.024387351076826283,0.005,5.421422301557181e-05,0.00047994831631707036,4.877470215365257e-05,0.0006743719342884439,5.439520861919242e-06,-0.00019442361797137355,0.0171600108257333,0.017160209606388078,5.2376115983319865e-06,0.22084995393626997,0.6948257576295,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True,0.5,6.495889694157347e-06,5.924354103510236e-06,5.715355906471112e-07,5.477372036477538e-05,4.884936626126514e-05,0.010434485494884552,-0.0001493282152251474,-0.00018859413029753645,3.926591507238906e-05,0.00048511798997539514,0.0006737121202729315,0.05828292810953411,True,1,True
16400,16401,82.005,0.003074175368426152,0.024307051301460027,0.005,5.313194584435323e-05,0.00046998562237825063,4.8614102602920056e-05,0.0006752879327533871,4.5178432414331725e-06,-0.0002053023103751365,0.017186393517159816,0.017186485806197947,5.330473601340931e-06,0.2204860598834313,0.6913879297778811,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True,0.5,5.538071582786817e-06,4.978682051676207e-06,5.593895311106101e-07,5.367308442996252e-05,4.869440237828631e-05,0.01042216107107748,-0.00016059955073251253,-0.00019986296417325502,3.926341344074249e-05,0.00047496696934766047,0.0006748299335209156,0.05818267905794604,True,1,True
16500,16501,82.505,0.003076489008956313,0.024221497892524094,0.005,5.208977422099882e-05,0.00046043798305584496,4.844299578504819e-05,0.0006757978550832099,3.646778435950626e-06,-0.0002153598720273649,0.017202722484398626,0.017202716146978766,5.4054507917545455e-06,0.22009769600122622,0.6852183021960853,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True,0.5,4.627281060321821e-06,4.082310838691899e-06,5.449702216299216e-07,5.261086003267602e-05,4.852854919398412e-05,0.010358511936346348,-0.00017110681787186471,-0.0002103310912012507,3.922427332938598e-05,0.00046521180271704777,0.0006755428939182984,0.0580633349599409,True,1,True
16600,16601,83.005,0.003078371853974831,0.024131090680101854,0.005,5.109081368639005e-05,0.00045134059998568684,4.826218136020371e-05,0.0006759020000346825,2.8286323261863397e-06,-0.00022456140004899563,0.0172097543458276,0.017209658554288482,5.461292287588538e-06,0.21968655252473626,0.680915379279848,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True,0.5,3.7656900370355156e-06,3.237705381068483e-06,5.279846559670327e-07,5.159029395369443e-05,4.8352588572625954e-05,0.010234185842029364,-0.0001808144248444804,-0.00021996063603818027,3.9146211193699865e-05,0.00045588929152076587,0.0006758499275589462,0.05792145504119421,True,1,True
16700,16701,83.505,0.0030798494382041253,0.024036244010851204,0.005,5.013785425831843e-05,0.00044272491765732705,4.8072488021702405e-05,0.000675603301602665,2.0653662366160272e-06,-0.00023287838394533798,0.01720836970677534,0.01720819478544732,5.497305043543904e-06,0.2192543911115634,0.6763841815199516,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True,0.5,2.95516845858889e-06,2.4469992814011835e-06,5.081691771877067e-07,5.061433397235424e-05,4.8167334690953054e-05,0.010040024975242602,-0.0001896933385013011,-0.0002287198919971668,3.9026553495865706e-05,0.0004470327588215069,0.0006757526508186738,0.05775271979856101,True,1,True
16800,16801,84.005,0.0030809480769046866,0.023937383354670126,0.005,4.923334083897291e-05,0.00043461810656249364,4.787476670934025e-05,0.0006749072212519291,1.3585741296326596e-06,-0.00024028911468943544,0.017199559988394092,0.017199317220204825,5.513388157695155e-06,0.2188030317645079,0.6680814519865379,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True,0.5,2.197277401122695e-06,1.7119701831243434e-06,4.853072179983516e-07,4.968559754864567e-05,4.797362736552133e-05,0.009767563276726258,-0.0001977213123621549,-0.0002365837493173867,3.886243695523181e-05,0.0004386715121099103,0.0006752552614272971,0.057552216436029986,True,1,True
16900,16901,84.505,0.0030816947094408536,0.023834941833214215,0.005,4.8379347891906125e-05,0.0004270426038158078,4.766988366642843e-05,0.0006738216548603056,7.09464225477696e-07,-0.00024677905104449787,0.017184409959643196,0.017184111362085783,5.510027397756387e-06,0.2183343391828881,0.666482030489363,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True,0.5,1.4932650723338547e-06,1.0340191775551778e-06,4.59245894778677e-07,4.880634436543952e-05,4.777232518788434e-05,0.009409553219967764,-0.00020488304291182285,-0.00024353408286696666,3.86510399551438e-05,0.0004308303551891507,0.0006743644380561174,0.05731476598403821,True,1,True
